NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	OLR1	60	6.6495256423950195	0.0031250191	No	
row_1	SERPINE1	151	1.3116568326950073	0.0048185354	No	
row_2	ICOSLG	213	0.6903265714645386	0.007895838	No	
row_3	ADGRE1	216	0.6791289448738098	0.013788428	No	
row_4	SELL	689	0.05981867015361786	-0.0027458544	No	
row_5	C3AR1	713	0.05562864616513252	0.0021446843	No	
row_6	F3	886	0.03725128248333931	-7.45728E-5	No	
row_7	MARCO	1033	0.02685832977294922	-0.0010531945	No	
row_8	PTGER2	1085	0.02398090995848179	0.0025012754	No	
row_9	CCRL2	1168	0.02107756771147251	0.0045765257	No	
row_10	EBI3	1288	0.017418142408132553	0.0048862565	No	
row_11	PVR	1402	0.01495677512139082	0.0054822876	No	
row_12	ITGA5	1730	0.009368883445858955	-0.004133066	No	
row_13	GPR183	1834	0.008233214728534222	-0.0030598675	No	
row_14	CXCR6	1836	0.008195041678845882	0.0028804399	No	
row_15	SLC7A1	2006	0.006780974101275206	8.0433296E-4	No	
row_16	LY6E	2204	0.005450541619211435	-0.0026078431	No	
row_17	AXL	2456	0.004334586672484875	-0.008596724	No	
row_18	CD69	2465	0.004300081171095371	-0.0029904335	No	
row_19	HIF1A	2497	0.004151239059865475	0.0015183713	No	
row_20	KLF6	2557	0.003907097969204187	0.004691107	No	
row_21	TAPBP	2571	0.0038737193681299686	0.010058814	No	
row_22	CD55	2580	0.003826226107776165	0.015665103	No	
row_23	IFNAR1	2715	0.003381960326805711	0.015259083	No	
row_24	CYBB	2773	0.0032399429474025965	0.018527253	No	
row_25	GCH1	2902	0.0029057853389531374	0.018407533	No	
row_26	LYN	2917	0.0028604601975530386	0.023727521	No	
row_27	ABI1	3572	0.0016981629887595773	-0.0014912101	No	
row_28	SLC7A2	3592	0.001672139624133706	0.003590196	No	
row_29	KIF1B	3716	0.0015267154667526484	0.0037090594	No	
row_30	BST2	3934	0.0012833891669288278	-6.574516E-4	No	
row_31	IL6	4110	0.0011205067858099937	-0.003019859	No	
row_32	ICAM1	4402	8.979304693639278E-4	-0.01091741	No	
row_33	ADM	5329	4.4664330198429525E-4	-0.0491151	No	
row_34	RASGRP1	5339	4.4472256558947265E-4	-0.043556526	No	
row_35	RNF144B	5494	3.9592705434188247E-4	-0.04491688	No	
row_36	RHOG	5856	3.034855762962252E-4	-0.056154605	No	
row_37	INHBA	5861	3.0198096646927297E-4	-0.050357446	No	
row_38	IL10RA	5899	2.950833586510271E-4	-0.04613494	No	
row_39	IL15	5950	2.8268570895306766E-4	-0.042532757	No	
row_40	RIPK2	6173	2.3749476531520486E-4	-0.04713785	No	
row_41	IL15RA	6195	2.3143182625062764E-4	-0.04215188	No	
row_42	NPFFR2	6869	1.2375412916298956E-4	-0.068277225	No	
row_43	TLR1	6951	1.1373507004464045E-4	-0.066154264	No	
row_44	MET	7351	6.950690294615924E-5	-0.07920522	No	
row_45	SLC31A1	7354	6.942569598322734E-5	-0.07331263	No	
row_46	EDN1	7371	6.749913154635578E-5	-0.06808808	No	
row_47	ACVR2A	7544	5.535529999178834E-5	-0.07030733	No	
row_48	SEMA4D	7548	5.5014876124914736E-5	-0.06446246	No	
row_49	LIF	7662	4.730401633423753E-5	-0.06386643	No	
row_50	IL1R1	7682	4.618354432750493E-5	-0.05878502	No	
row_51	BDKRB1	7711	4.392403570818715E-5	-0.054133065	No	
row_52	EMP3	7743	4.194476059637964E-5	-0.04962426	No	
row_53	GNAI3	7756	4.1217514080926776E-5	-0.044208836	No	
row_54	SGMS2	8110	2.360010694246739E-5	-0.055064827	No	
row_55	EIF2AK2	8983	7.760496032460651E-7	-0.09068581	No	
row_56	ADRM1	9039	4.0254732880384836E-7	-0.087322205	No	
row_57	SRI	9273	-1.987091451383094E-7	-0.09245218	No	
row_58	GABBR1	9295	-3.4510500768192287E-7	-0.08746622	No	
row_59	ABCA1	9567	-3.5370035220694263E-6	-0.09440943	No	
row_60	ATP2A2	9635	-4.931843250233214E-6	-0.091618426	No	
row_61	CDKN1A	9713	-6.3991988099587616E-6	-0.089304596	No	
row_62	SLC4A4	9777	-8.253230589616578E-6	-0.086322725	No	
row_63	SLC31A2	9884	-1.1168951459694654E-5	-0.08539268	No	
row_64	RELA	10351	-3.112953345407732E-5	-0.10164066	No	
row_65	PSEN1	10554	-4.5201260945759714E-5	-0.10529142	No	
row_66	IL4R	10914	-7.420149631798267E-5	-0.11643371	No	
row_67	NMI	10935	-7.63701245887205E-5	-0.11140002	No	
row_68	P2RX4	11101	-9.570932888891548E-5	-0.11328526	No	
row_69	ADORA2B	11123	-9.780444815987721E-5	-0.108299285	No	
row_70	ATP2B1	11663	-1.770914241205901E-4	-0.1280306	No	
row_71	RAF1	11730	-1.8800407997332513E-4	-0.12519187	No	
row_72	ATP2C1	11972	-2.317131875315681E-4	-0.13070358	No	
row_73	TACR1	11984	-2.362086233915761E-4	-0.12524045	No	
row_74	FZD5	12131	-2.654875279404223E-4	-0.12621906	No	
row_75	BEST1	12293	-3.0705242534168065E-4	-0.12791345	No	
row_76	OSMR	12517	-3.726847062353045E-4	-0.13256626	No	
row_77	CSF3R	12537	-3.800925042014569E-4	-0.12748484	No	
row_78	SCARF1	12577	-3.890234511345625E-4	-0.12335778	No	
row_79	NFKB1	12691	-4.2875512735918164E-4	-0.12276175	No	
row_80	ACVR1B	13100	-5.745182861573994E-4	-0.13624215	No	
row_81	RGS16	13156	-5.968509358353913E-4	-0.13287856	No	
row_82	CD82	13355	-6.947237998247147E-4	-0.13633844	Yes	
row_83	IRF7	13461	-7.569406880065799E-4	-0.13536069	Yes	
row_84	GNA15	13468	-7.641541305929422E-4	-0.12965895	Yes	
row_85	FPR1	13696	-8.912797784432769E-4	-0.13450263	Yes	
row_86	SLC11A2	13710	-9.056688286364079E-4	-0.12913492	Yes	
row_87	NLRP3	13780	-9.490264928899705E-4	-0.12643936	Yes	
row_88	NFKBIA	13788	-9.537987061776221E-4	-0.120785356	Yes	
row_89	CSF1	13801	-9.606716339476407E-4	-0.11536993	Yes	
row_90	IFNGR2	13863	-0.0010128752328455448	-0.11229263	Yes	
row_91	TNFRSF9	14095	-0.0011726048542186618	-0.117327176	Yes	
row_92	HRH1	14180	-0.0012559478636831045	-0.115347356	Yes	
row_93	BTG2	14392	-0.0014361160574480891	-0.11942757	Yes	
row_94	TIMP1	14580	-0.001608238322660327	-0.12236258	Yes	
row_95	RTP4	14701	-0.0017575393430888653	-0.12210056	Yes	
row_96	LDLR	14736	-0.0018009087070822716	-0.11773491	Yes	
row_97	IRF1	15005	-0.0021482957527041435	-0.12453497	Yes	
row_98	PTPRE	15008	-0.0021558289881795645	-0.11864238	Yes	
row_99	PTGIR	15031	-0.0021810904145240784	-0.11370413	Yes	
row_100	NOD2	15042	-0.0021968050859868526	-0.10819327	Yes	
row_101	C5AR1	15305	-0.002622090047225356	-0.11470704	Yes	
row_102	CD40	15429	-0.002860743086785078	-0.11458817	Yes	
row_103	NAMPT	15496	-0.0029879086650907993	-0.111749455	Yes	
row_104	IL18	15554	-0.0031188444700092077	-0.10848129	Yes	
row_105	MMP14	15647	-0.003339186077937484	-0.106883205	Yes	
row_106	TLR3	15710	-0.0035183096770197153	-0.10385361	Yes	
row_107	MYC	15924	-0.0041860612109303474	-0.10802926	Yes	
row_108	P2RY2	16257	-0.005270764231681824	-0.1178832	Yes	
row_109	MSR1	16352	-0.005699838045984507	-0.11638055	Yes	
row_110	LTA	16420	-0.0059798466973006725	-0.11358955	Yes	
row_111	GP1BA	16527	-0.006509818602353334	-0.1126595	Yes	
row_112	IL2RB	16558	-0.00664763618260622	-0.10810298	Yes	
row_113	HBEGF	16648	-0.007165762595832348	-0.10636175	Yes	
row_114	KCNMB2	16781	-0.008022538386285305	-0.10667233	Yes	
row_115	ROS1	16997	-0.009431191720068455	-0.11094341	Yes	
row_116	LPAR1	17159	-0.010775179602205753	-0.11263778	Yes	
row_117	PLAUR	17271	-0.011851660907268524	-0.111946315	Yes	
row_118	TLR2	17494	-0.014365795999765396	-0.116551414	Yes	
row_119	AHR	17630	-0.016125859692692757	-0.11700515	Yes	
row_120	CHST2	17934	-0.020857462659478188	-0.1254753	Yes	
row_121	MXD1	17990	-0.022363832220435143	-0.1221117	Yes	
row_122	TPBG	17998	-0.022431770339608192	-0.11645769	Yes	
row_123	IL7R	18093	-0.024205200374126434	-0.11495504	Yes	
row_124	GPR132	18217	-0.027330264449119568	-0.11483618	Yes	
row_125	TNFSF10	18232	-0.027621973305940628	-0.10951619	Yes	
row_126	PTAFR	18511	-0.03704610839486122	-0.116793424	Yes	
row_127	TNFSF9	18514	-0.03712311014533043	-0.11090083	Yes	
row_128	PCDH7	18644	-0.041987642645835876	-0.11106826	Yes	
row_129	ITGB3	18955	-0.062447983771562576	-0.119872436	Yes	
row_130	CCL22	19212	-0.08632800728082657	-0.1260999	Yes	
row_131	NDP	19268	-0.09230507165193558	-0.1227363	Yes	
row_132	SCN1B	19345	-0.10442136228084564	-0.12037475	Yes	
row_133	SPHK1	19403	-0.11570077389478683	-0.11710658	Yes	
row_134	CD14	19431	-0.12212053686380386	-0.1124069	Yes	
row_135	PTGER4	19773	-0.22895434498786926	-0.1226903	Yes	
row_136	CALCRL	19879	-0.2901512384414673	-0.12171253	Yes	
row_137	P2RX7	19880	-0.29044467210769653	-0.115724504	Yes	
row_138	IRAK2	19923	-0.31428998708724976	-0.11174058	Yes	
row_139	IFITM1	19973	-0.3633887469768524	-0.108090684	Yes	
row_140	NMUR1	19981	-0.3726024627685547	-0.10243668	Yes	
row_141	CXCL10	20014	-0.40081217885017395	-0.09797559	Yes	
row_142	CXCL11	20048	-0.4397408664226532	-0.093562216	Yes	
row_143	CCL2	20061	-0.4549611210823059	-0.08814679	Yes	
row_144	GPC3	20089	-0.48990824818611145	-0.08344712	Yes	
row_145	CD70	20091	-0.4972992539405823	-0.07750681	Yes	
