NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC12A3	3	32.12483596801758	0.0071034245	No	
row_1	PAX3	160	1.1766074895858765	0.0069162743	No	
row_2	DTNB	330	0.25476881861686707	0.0061096638	No	
row_3	ADRA2C	355	0.21809609234333038	0.012212422	No	
row_4	IDUA	474	0.12240072339773178	0.013836002	No	
row_5	THRB	489	0.11569750308990479	0.020415267	No	
row_6	SPRR3	515	0.10532598197460175	0.026470374	No	
row_7	TFCP2L1	516	0.10501785576343536	0.033716753	No	
row_8	NTF3	633	0.07244366407394409	0.035435636	No	
row_9	THNSL2	671	0.06402578949928284	0.04091893	No	
row_10	PDE6B	714	0.05559123307466507	0.046163972	No	
row_11	ACTC1	914	0.035276904702186584	0.043927837	No	
row_12	NPY4R	1147	0.021631453186273575	0.040119227	No	
row_13	KCND1	1355	0.015920313075184822	0.037501886	No	
row_14	SLC29A3	1379	0.015440165996551514	0.043652292	No	
row_15	MX1	1537	0.012022659182548523	0.04341749	No	
row_16	CLSTN3	1952	0.007146885618567467	0.030936433	No	
row_17	GAMT	2029	0.006512854713946581	0.034561347	No	
row_18	EDN2	2087	0.0061362856067717075	0.039091628	No	
row_19	FGFR3	2909	0.0028789127245545387	0.007216687	No	
row_20	SHOX2	2944	0.002793185180053115	0.0128429355	No	
row_21	SGK1	3134	0.0023743000347167253	0.011083309	No	
row_22	LFNG	3212	0.0022296931128948927	0.014660574	No	
row_23	PTPRJ	3400	0.00193578761536628	0.012996248	No	
row_24	MFSD6	3587	0.0016843235353007913	0.0113795735	No	
row_25	P2RX6	3608	0.0016461933264508843	0.017672934	No	
row_26	TGFB2	3665	0.0015801058616489172	0.022250867	No	
row_27	SPHK2	3759	0.0014814572641626	0.025065716	No	
row_28	ATP6V1B1	4028	0.00117783946916461	0.019541675	No	
row_29	SIDT1	4251	0.001006473321467638	0.016209573	No	
row_30	MTHFR	4848	6.350690964609385E-4	-0.004943936	No	
row_31	SLC16A7	5692	3.4509217948652804E-4	-0.037867196	No	
row_32	COQ8A	5781	3.1942815985530615E-4	-0.03481409	No	
row_33	SKIL	6209	2.294152363901958E-4	-0.04791461	No	
row_34	MSH5	6321	2.0611243962775916E-4	-0.045957476	No	
row_35	FGGY	6782	1.333709224127233E-4	-0.06063047	No	
row_36	PDK2	6839	1.270802749786526E-4	-0.05605254	No	
row_37	PNMT	7103	9.709075675345957E-5	-0.061338328	No	
row_38	EDN1	7371	6.749913154635578E-5	-0.06681472	No	
row_39	GDNF	7742	4.2020830733235925E-5	-0.07719914	No	
row_40	TENM2	7948	3.029240178875625E-5	-0.07972118	No	
row_41	ALOX12B	8885	1.5641652453268762E-6	-0.117075965	No	
row_42	UPK3B	8933	1.0619454542393214E-6	-0.112069175	No	
row_43	NRIP2	9484	-2.2738963707524817E-6	-0.13103075	No	
row_44	HNF1A	9645	-5.1058377721346915E-6	-0.1314085	No	
row_45	EGF	9696	-6.0910019783477765E-6	-0.12654467	No	
row_46	VPS50	10600	-4.872319186688401E-5	-0.16232698	No	
row_47	CCDC106	10753	-5.963513467577286E-5	-0.16232352	No	
row_48	KMT2D	11382	-1.326724304817617E-4	-0.18500185	No	
row_49	EPHA5	11924	-2.2145900584291667E-4	-0.20353457	No	
row_50	C5	12275	-3.019425203092396E-4	-0.21296598	No	
row_51	SLC25A23	12437	-3.4907268127426505E-4	-0.21339138	No	
row_52	SOX10	13141	-5.914990906603634E-4	-0.23964353	Yes	
row_53	BARD1	13181	-6.065779598429799E-4	-0.23425554	Yes	
row_54	IFI44L	13182	-6.068578804843128E-4	-0.22700915	Yes	
row_55	ZNF112	13237	-6.313376361504197E-4	-0.22233592	Yes	
row_56	LYPD3	13344	-6.86024664901197E-4	-0.22014053	Yes	
row_57	ZC2HC1C	13370	-7.026782841421664E-4	-0.21408543	Yes	
row_58	HSD11B2	13889	-0.0010306013282388449	-0.23152217	Yes	
row_59	EFHD1	13994	-0.0011012516915798187	-0.22923148	Yes	
row_60	RSAD2	14276	-0.0013449699617922306	-0.23537497	Yes	
row_61	BTG2	14392	-0.0014361160574480891	-0.23360844	Yes	
row_62	ENTPD7	14474	-0.0015207234537228942	-0.23022178	Yes	
row_63	TCL1A	14520	-0.0015610463451594114	-0.2251197	Yes	
row_64	CPEB3	14578	-0.0016056742751970887	-0.22058941	Yes	
row_65	GTF3C5	14621	-0.0016637383960187435	-0.21534437	Yes	
row_66	COL2A1	14749	-0.001814933610148728	-0.21414964	Yes	
row_67	SLC38A3	15019	-0.002169791841879487	-0.21972133	Yes	
row_68	NR4A2	15324	-0.002658472629263997	-0.22696081	Yes	
row_69	IRS4	15380	-0.002749670296907425	-0.22233522	Yes	
row_70	CALML5	15406	-0.002809366676956415	-0.21628012	Yes	
row_71	KLK8	15504	-0.002998218173161149	-0.21365587	Yes	
row_72	DLK2	15682	-0.003431562101468444	-0.21484369	Yes	
row_73	HTR1D	15764	-0.0036808669101446867	-0.21145703	Yes	
row_74	MYO15A	15786	-0.003742431290447712	-0.20521131	Yes	
row_75	CELSR2	15820	-0.0038501496892422438	-0.19953741	Yes	
row_76	SPTBN2	15951	-0.00423957034945488	-0.19848564	Yes	
row_77	MAST3	16139	-0.004821664188057184	-0.20014997	Yes	
row_78	ITGB1BP2	16258	-0.005273005459457636	-0.1985264	Yes	
row_79	SLC30A3	16495	-0.006320044863969088	-0.2025256	Yes	
row_80	GP1BA	16527	-0.006509818602353334	-0.19675641	Yes	
row_81	PLAG1	16530	-0.006532736588269472	-0.18960533	Yes	
row_82	CPA2	16575	-0.006762472912669182	-0.18445559	Yes	
row_83	ABCB11	16633	-0.007053908426314592	-0.17992531	Yes	
row_84	WNT16	16731	-0.007691424805670977	-0.17730106	Yes	
row_85	COPZ2	16978	-0.009348652325570583	-0.18177678	Yes	
row_86	RIBC2	17089	-0.0101912971585989	-0.17977199	Yes	
row_87	YPEL1	17156	-0.010750877670943737	-0.17567058	Yes	
row_88	TCF7L1	17557	-0.01519864797592163	-0.18748452	Yes	
row_89	RYR1	17590	-0.015488802455365658	-0.18176296	Yes	
row_90	GPR19	17622	-0.01602286845445633	-0.17599377	Yes	
row_91	TEX15	17634	-0.01617150753736496	-0.16927154	Yes	
row_92	ASB7	17671	-0.016647813841700554	-0.1637406	Yes	
row_93	CHST2	17934	-0.020857462659478188	-0.16897874	Yes	
row_94	NR6A1	18051	-0.02346869185566902	-0.16725986	Yes	
row_95	SNN	18088	-0.024161994457244873	-0.1617289	Yes	
row_96	TGM1	18118	-0.024731844663619995	-0.1558644	Yes	
row_97	GPR3	18353	-0.031086495146155357	-0.15976831	Yes	
row_98	ABCG4	18413	-0.03342333436012268	-0.15533334	Yes	
row_99	CACNG1	18565	-0.03937903046607971	-0.15528223	Yes	
row_100	KLK7	18707	-0.04549400508403778	-0.15475462	Yes	
row_101	IGFBP2	18861	-0.055494848638772964	-0.15479882	Yes	
row_102	CYP39A1	18863	-0.055601902306079865	-0.1476001	Yes	
row_103	KRT1	18894	-0.05751537159085274	-0.14178324	Yes	
row_104	YBX2	19116	-0.07619206607341766	-0.14506769	Yes	
row_105	P2RY4	19477	-0.13046304881572723	-0.15497561	Yes	
row_106	CDKAL1	19518	-0.13883554935455322	-0.14963527	Yes	
row_107	SLC5A5	19532	-0.14368459582328796	-0.14300835	Yes	
row_108	CACNA1F	19556	-0.15175741910934448	-0.13685794	Yes	
row_109	KRT4	19608	-0.16805383563041687	-0.13204175	Yes	
row_110	PTGFR	19609	-0.16833101212978363	-0.12479538	Yes	
row_111	TG	19779	-0.23081456124782562	-0.12560199	Yes	
row_112	SYNPO	19814	-0.2480148822069168	-0.11997574	Yes	
row_113	STAG3	19993	-0.38746342062950134	-0.12121121	Yes	
row_114	MEFV	20186	-0.6360608339309692	-0.12311379	Yes	
row_115	RGS11	20203	-0.6716017723083496	-0.116629824	Yes	
row_116	PKP1	20214	-0.6980186104774475	-0.10985996	Yes	
row_117	CLDN16	20330	-0.9743613600730896	-0.108093426	Yes	
row_118	TAS2R4	20364	-1.0512970685958862	-0.102419525	Yes	
row_119	KRT13	20401	-1.1378155946731567	-0.09688857	Yes	
row_120	KCNN1	20423	-1.2188669443130493	-0.09064286	Yes	
row_121	RYR2	20446	-1.3273478746414185	-0.084444806	Yes	
row_122	GPRC5C	20459	-1.3718572854995728	-0.07777024	Yes	
row_123	CAMK1D	20465	-1.3912841081619263	-0.07076211	Yes	
row_124	PRODH	20485	-1.5047156810760498	-0.0644211	Yes	
row_125	TNNI3	20529	-1.7503679990768433	-0.05922371	Yes	
row_126	CCNA1	20772	-4.772216796875	-0.06350883	Yes	
row_127	BMPR1B	20871	-7.736186504364014	-0.060932234	Yes	
row_128	KRT15	20882	-8.484399795532227	-0.05416237	Yes	
row_129	KCNQ2	20898	-9.039423942565918	-0.047630753	Yes	
row_130	EDAR	20970	-13.266560554504395	-0.043767583	Yes	
row_131	TFF2	20979	-13.805414199829102	-0.036902413	Yes	
row_132	CLDN8	21021	-17.847148895263672	-0.031609718	Yes	
row_133	SERPINB2	21029	-18.562671661376953	-0.024696898	Yes	
row_134	KRT5	21062	-22.61296844482422	-0.018975347	Yes	
