NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TRIO	450	0.14157766103744507	-0.016400253	Yes	
row_1	LLGL1	523	0.10342353582382202	-0.01473858	Yes	
row_2	FLNB	670	0.06407535821199417	-0.016612839	Yes	
row_3	CEP72	700	0.05755297467112541	-0.012896501	Yes	
row_4	MYH10	719	0.05475844442844391	-0.0086545525	Yes	
row_5	CDC42BPA	769	0.0492134653031826	-0.005893873	Yes	
row_6	TIAM1	877	0.03780370205640793	-0.0059046	Yes	
row_7	EPB41L2	899	0.036287080496549606	-0.0018059999	Yes	
row_8	RANBP9	961	0.03183107450604439	3.8128538E-4	Yes	
row_9	ITSN1	994	0.029202686622738838	0.003954274	Yes	
row_10	CYTH2	1131	0.022170139476656914	0.0025578437	Yes	
row_11	RALBP1	1241	0.01867658458650112	0.002451551	Yes	
row_12	EZR	1311	0.016939276829361916	0.004256573	Yes	
row_13	SSH2	1412	0.014772910624742508	0.0045803264	Yes	
row_14	ARHGAP10	1522	0.012263437733054161	0.004474033	Yes	
row_15	SPTAN1	1562	0.011504659429192543	0.007712542	Yes	
row_16	UXT	1621	0.010660216212272644	0.010043176	Yes	
row_17	KPTN	1626	0.010587488301098347	0.0149540845	Yes	
row_18	DYNLL2	1889	0.007700164336711168	0.007537012	Yes	
row_19	TBCD	2187	0.005567304324358702	-0.0015524614	Yes	
row_20	ARHGEF3	2383	0.004634002689272165	-0.0057680816	Yes	
row_21	MYO1E	2426	0.004457200411707163	-0.0026729216	Yes	
row_22	MID1	2616	0.0037181428633630276	-0.0066018444	Yes	
row_23	HDAC6	2759	0.0032683720346540213	-0.008284972	Yes	
row_24	SPTBN1	2826	0.003102651098743081	-0.0063366015	Yes	
row_25	SMC1A	2922	0.002844901755452156	-0.005773934	Yes	
row_26	DYNC1H1	2963	0.0027478395495563745	-0.0025832083	Yes	
row_27	ALS2	2972	0.0027341695968061686	0.0021365695	Yes	
row_28	NET1	3088	0.0024908599443733692	0.0017435794	Yes	
row_29	ARF6	3241	0.0021783176343888044	-4.1737704E-4	Yes	
row_30	KIF3C	3339	0.0020176596008241177	4.972469E-5	Yes	
row_31	KATNB1	3357	0.001986988354474306	0.0043394566	Yes	
row_32	ABR	3418	0.001914679305627942	0.0065745246	Yes	
row_33	CDC42	3472	0.0018245807150378823	0.009144073	Yes	
row_34	ABI1	3572	0.0016981629887595773	0.009515609	Yes	
row_35	MAPRE1	3686	0.0015630671987310052	0.009218184	Yes	
row_36	STAU1	3692	0.0015556716825813055	0.0140813105	Yes	
row_37	KIF5B	3693	0.0015546339564025402	0.01918335	Yes	
row_38	KIF1B	3716	0.0015267154667526484	0.02323417	Yes	
row_39	PCNT	3744	0.0014956978848204017	0.027046071	Yes	
row_40	CAPZB	3776	0.0014625306939706206	0.030666843	Yes	
row_41	MYO9B	3793	0.0014397680060938	0.03500436	Yes	
row_42	NOTCH2	3795	0.001437200466170907	0.040058617	Yes	
row_43	RASAL2	3978	0.0012317454675212502	0.036464173	Yes	
row_44	MAP1S	4190	0.0010523695964366198	0.031484026	Yes	
row_45	ACTN4	4361	9.205791284330189E-4	0.02846298	Yes	
row_46	TUBA4A	4478	8.464276907034218E-4	0.028022205	Yes	
row_47	CD2AP	4524	8.156344410963356E-4	0.030974017	Yes	
row_48	CSNK1D	4668	7.302043377421796E-4	0.029243106	Yes	
row_49	PAFAH1B1	4671	7.29013467207551E-4	0.03424958	Yes	
row_50	YWHAE	4855	6.327152368612587E-4	0.030607356	Yes	
row_51	TUBGCP6	4867	6.2614242779091E-4	0.035183784	Yes	
row_52	NIN	4954	5.971405189484358E-4	0.0361765	Yes	
row_53	PXN	4961	5.940505652688444E-4	0.040991843	Yes	
row_54	ARHGDIA	4975	5.838064826093614E-4	0.045472704	Yes	
row_55	ARHGEF7	5154	5.121611757203937E-4	0.042069394	Yes	
row_56	WASF2	5276	4.635589721146971E-4	0.041389707	Yes	
row_57	BRCA2	5315	4.511692386586219E-4	0.044676	Yes	
row_58	SHROOM1	5646	3.542675985954702E-4	0.03400969	Yes	
row_59	ARHGEF11	5768	3.238267672713846E-4	0.03333	Yes	
row_60	CKAP5	5846	3.0602229526266456E-4	0.03475276	Yes	
row_61	GEMIN4	5893	2.962372964248061E-4	0.03765679	Yes	
row_62	NUMA1	5903	2.9407721012830734E-4	0.042328786	Yes	
row_63	CLIP1	6096	2.536286774557084E-4	0.038256515	Yes	
row_64	KIF3B	6190	2.321369101991877E-4	0.038914748	Yes	
row_65	MARK4	6463	1.8307143182028085E-4	0.031019844	Yes	
row_66	LRPPRC	6466	1.828716922318563E-4	0.03602632	Yes	
row_67	TUBGCP3	6568	1.6667529416736215E-4	0.03630229	Yes	
row_68	MAP3K11	6699	1.454424054827541E-4	0.035192557	Yes	
row_69	MYH9	6723	1.4192609523888677E-4	0.03919559	Yes	
row_70	CNTROB	6888	1.2143536150688305E-4	0.03646124	Yes	
row_71	PDLIM5	6954	1.13078516733367E-4	0.038457394	Yes	
row_72	FARP1	7025	1.053192318067886E-4	0.040214635	Yes	
row_73	ANLN	7042	1.0386331268819049E-4	0.044552147	Yes	
row_74	SAC3D1	7291	7.539569196524099E-5	0.037804037	Yes	
row_75	CENPJ	7319	7.263307634275407E-5	0.04161594	Yes	
row_76	PLK1	7507	5.784224777016789E-5	0.037782583	Yes	
row_77	CEP192	7573	5.320494165061973E-5	0.039778735	Yes	
row_78	CCNB2	7587	5.2093724661972374E-5	0.0442596	Yes	
row_79	NEDD9	7644	4.809984966414049E-5	0.0466858	Yes	
row_80	DLG1	7672	4.692353468271904E-5	0.050497703	Yes	
row_81	RAB3GAP1	7974	2.9083625122439116E-5	0.041217096	Yes	
row_82	ARFIP2	8008	2.748427687038202E-5	0.0447423	Yes	
row_83	ARFGEF1	8113	2.351785406062845E-5	0.044874925	Yes	
row_84	SMC4	8225	1.8917304259957746E-5	0.044673067	Yes	
row_85	INCENP	8256	1.7125854355981573E-5	0.04834162	Yes	
row_86	NDC80	8259	1.693383092060685E-5	0.053348094	Yes	
row_87	ATG4B	8340	1.403879105055239E-5	0.054627504	Yes	
row_88	ARHGAP27	8366	1.3276666322781239E-5	0.058534972	Yes	
row_89	PKD2	8407	1.2137517842347734E-5	0.0617257	Yes	
row_90	CDC42EP2	8549	8.189109394152183E-6	0.060090356	Yes	
row_91	TLK1	8607	6.410267360479338E-6	0.06246877	Yes	
row_92	CEP131	8814	2.4688013127160957E-6	0.057727538	Yes	
row_93	PPP4R2	8961	9.080551990336971E-7	0.05585328	Yes	
row_94	KIF4A	9034	4.251882330663648E-7	0.057514954	Yes	
row_95	KLC1	9096	1.3281849930990575E-7	0.05970224	Yes	
row_96	ARHGEF2	9151	1.377882163922095E-8	0.062224004	Yes	
row_97	TPX2	9159	8.132728268606115E-9	0.06699157	Yes	
row_98	DST	9245	-9.761620134440818E-8	0.06803206	Yes	
row_99	RHOT2	9293	-3.34620978037492E-7	0.07088831	Yes	
row_100	SASS6	9299	-3.4911099078271945E-7	0.07575143	Yes	
row_101	WASL	9744	-7.2125712904380634E-6	0.059637878	Yes	
row_102	CDC27	9812	-9.165863957605325E-6	0.061538465	Yes	
row_103	CLASP1	9830	-9.613690963305999E-6	0.0658282	Yes	
row_104	ROCK1	9839	-9.765065442479681E-6	0.070547976	Yes	
row_105	PALLD	9962	-1.3796721759717911E-5	0.06982051	Yes	
row_106	KIF23	10002	-1.4825064681645017E-5	0.073059015	Yes	
row_107	APC	10265	-2.6869149223784916E-5	0.06564194	Yes	
row_108	PIF1	10271	-2.7292815502732992E-5	0.07050507	Yes	
row_109	ARL8A	10331	-3.0010372938704677E-5	0.07278792	Yes	
row_110	OPHN1	10437	-3.7111894926056266E-5	0.07287276	Yes	
row_111	LATS1	10621	-4.999956945539452E-5	0.069230534	Yes	
row_112	ARHGAP29	10681	-5.3994168411009014E-5	0.071513385	Yes	
row_113	CDC42EP4	10852	-6.811971979914233E-5	0.06849233	Yes	
row_114	TSC1	10932	-7.610586180817336E-5	0.069819525	Yes	
row_115	DLGAP5	11011	-8.590116340201348E-5	0.0711945	Yes	
row_116	RACGAP1	11067	-9.150822734227404E-5	0.07366849	Yes	
row_117	FGD6	11203	-1.0738318087533116E-4	0.072319835	Yes	
row_118	HOOK3	11209	-1.082404560293071E-4	0.07718296	Yes	
row_119	DOCK4	11352	-1.2946683273185045E-4	0.07549984	Yes	
row_120	TUBGCP2	11388	-1.3301899889484048E-4	0.07892948	Yes	
row_121	KIFAP3	11493	-1.5114722191356122E-4	0.0790621	Yes	
row_122	CDK5RAP2	11516	-1.5397706010844558E-4	0.08311292	Yes	
row_123	BIRC5	11580	-1.6221325495280325E-4	0.08520464	Yes	
row_124	CEP250	11621	-1.691995857981965E-4	0.088395365	Yes	
row_125	KATNA1	11691	-1.8060742877423763E-4	0.09020039	Yes	
row_126	BUB1	11801	-2.0068883895874023E-4	0.09009409	Yes	
row_127	CDC42EP1	11930	-2.2392139362636954E-4	0.089079924	Yes	
row_128	ARHGAP5	11978	-2.3490226885769516E-4	0.09193617	Yes	
row_129	FGD4	12055	-2.5062283384613693E-4	0.093406714	Yes	
row_130	ECT2	12061	-2.5227555306628346E-4	0.098269835	Yes	
row_131	PREX1	12075	-2.545344177633524E-4	0.1027507	Yes	
row_132	VCL	12222	-2.876360376831144E-4	0.10087644	Yes	
row_133	FBXO5	12405	-3.399140841793269E-4	0.097282	Yes	
row_134	AURKA	12411	-3.4131042775698006E-4	0.10214513	Yes	
row_135	RAPGEF6	12431	-3.458902065176517E-4	0.10633929	Yes	
row_136	RASA1	12462	-3.5773779381997883E-4	0.110007845	Yes	
row_137	NF1	12644	-4.137455252930522E-4	0.10646118	Yes	
row_138	CDK1	12685	-4.265459137968719E-4	0.10965191	Yes	
row_139	ABL1	12727	-4.3886713683605194E-4	0.112794854	Yes	
row_140	EPB41	12772	-4.523569659795612E-4	0.11579445	Yes	
row_141	TTK	12801	-4.6448284410871565E-4	0.119558565	Yes	
row_142	NEK2	12874	-4.8678662278689444E-4	0.12122024	Yes	
row_143	FLNA	12882	-4.890701966360211E-4	0.1259878	Yes	
row_144	MID1IP1	12890	-4.908282426185906E-4	0.13075536	Yes	
row_145	LMNB1	13201	-6.16171455476433E-4	0.12104471	Yes	
row_146	TAOK2	13204	-6.168810068629682E-4	0.12605119	Yes	
row_147	ALMS1	13281	-6.497390568256378E-4	0.12752172	Yes	
row_148	PCM1	13310	-6.645413814112544E-4	0.13128585	Yes	
row_149	PRC1	13351	-6.897015846334398E-4	0.13447657	Yes	
row_150	ARHGEF12	13369	-7.020716439001262E-4	0.1387663	Yes	
row_151	BCAR1	13423	-7.325029000639915E-4	0.14133586	Yes	
row_152	CENPF	13465	-7.605646969750524E-4	0.1444788	Yes	
row_153	TOP2A	13522	-7.898834301158786E-4	0.146905	Yes	
row_154	KIF15	13581	-8.255228749476373E-4	0.14923564	Yes	
row_155	RABGAP1	13639	-8.585156756453216E-4	0.15161406	Yes	
row_156	NCK2	13915	-0.0010470981942489743	0.1435758	Yes	
row_157	BCR	13945	-0.0010655100923031569	0.14729214	Yes	
row_158	CLIP2	13992	-0.0010975664481520653	0.15019616	Yes	
row_159	SUN2	14014	-0.0011129820486530662	0.15429476	Yes	
row_160	KIF20B	14046	-0.0011402381351217628	0.15791553	Yes	
row_161	RHOF	14209	-0.0012781493132933974	0.15527675	Yes	
row_162	KIF11	14282	-0.0013516680337488651	0.15693842	Yes	
row_163	TUBD1	14428	-0.0014715284341946244	0.15511195	Yes	
row_164	BIN1	14446	-0.0014941710978746414	0.15940168	Yes	
row_165	KIF2C	14654	-0.0017012174939736724	0.15461266	No	
row_166	KNTC1	14676	-0.001721193315461278	0.15871127	No	
row_167	GSN	14860	-0.0019477630266919732	0.15506904	No	
row_168	CTTN	14927	-0.002023744862526655	0.15701741	No	
row_169	ESPL1	15142	-0.0023710159584879875	0.15189391	No	
row_170	RFC1	15233	-0.0025018607266247272	0.15269549	No	
row_171	RASA2	15368	-0.0027380718383938074	0.15139464	No	
row_172	CENPE	15534	-0.003080381080508232	0.1486125	No	
row_173	NUSAP1	15573	-0.003146206494420767	0.15189879	No	
row_174	BCL2L11	15604	-0.0032346807420253754	0.15556735	No	
row_175	DOCK2	15903	-0.00412121694535017	0.14643009	No	
row_176	KIF22	15950	-0.004235082771629095	0.14933412	No	
row_177	STK38L	16247	-0.005218313541263342	0.14029242	No	
row_178	RICTOR	16324	-0.005554473493248224	0.14176297	No	
row_179	AKAP13	16710	-0.00757818017154932	0.1284686	No	
row_180	SMC3	16915	-0.008942685090005398	0.123822935	No	
row_181	PLEKHG2	17290	-0.012096257880330086	0.11105418	No	
row_182	ARAP3	17392	-0.013140657916665077	0.11133015	No	
row_183	CNTRL	17416	-0.013426362536847591	0.115333185	No	
row_184	PCGF5	17546	-0.014981474727392197	0.11427124	No	
row_185	NCK1	17642	-0.016266321763396263	0.1148339	No	
row_186	CEP57	17744	-0.0177006833255291	0.115109876	No	
row_187	SOS1	17918	-0.020644711330533028	0.11194547	No	
row_188	ARHGAP4	17930	-0.020808903500437737	0.1165219	No	
row_189	WASF1	18505	-0.03669252246618271	0.09419657	No	
row_190	RAPGEF5	18666	-0.04332201927900314	0.091653354	No	
row_191	CCDC88A	18763	-0.0488918162882328	0.09216824	No	
row_192	FSCN1	19028	-0.06930329650640488	0.0846556	No	
row_193	SORBS2	19454	-0.12615779042243958	0.06944992	No	
row_194	SHROOM2	19758	-0.22175364196300507	0.06007375	No	
row_195	SYNPO	19814	-0.2480148822069168	0.06254773	No	
