NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LSM2	100	3.0473904609680176	3.7680834E-4	Yes	
row_1	SRPK1	982	0.029893625527620316	-0.03656124	Yes	
row_2	RPS10	1386	0.015289111994206905	-0.05066126	Yes	
row_3	DEK	1417	0.014672272838652134	-0.04693997	Yes	
row_4	PRPF31	1747	0.00919252634048462	-0.057504393	Yes	
row_5	CCT3	1772	0.008899935521185398	-0.053496435	Yes	
row_6	CTPS1	1831	0.008290545083582401	-0.05111294	Yes	
row_7	PSMA1	1914	0.007426777854561806	-0.04987612	Yes	
row_8	TRIM28	1985	0.006914115510880947	-0.04806596	Yes	
row_9	RAD23B	2030	0.00650698971003294	-0.04501357	Yes	
row_10	C1QBP	2104	0.00603514164686203	-0.043346744	Yes	
row_11	POLD2	2111	0.005999014712870121	-0.038478777	Yes	
row_12	MRPS18B	2288	0.005097412504255772	-0.04173312	Yes	
row_13	RPS3	2310	0.0050004892982542515	-0.037581824	Yes	
row_14	AIMP2	2360	0.004724673926830292	-0.034768324	Yes	
row_15	SLC25A3	2381	0.004647514317184687	-0.03056925	Yes	
row_16	CLNS1A	2408	0.00451551703736186	-0.026656847	Yes	
row_17	PSMC6	2423	0.004464124329388142	-0.022171104	Yes	
row_18	RUVBL2	2487	0.004191450774669647	-0.020026498	Yes	
row_19	HDGF	2507	0.004122328944504261	-0.015779648	Yes	
row_20	PCNA	2546	0.00395605806261301	-0.012440584	Yes	
row_21	SRM	2574	0.0038450390566140413	-0.008575959	Yes	
row_22	TYMS	2711	0.0034008300863206387	-0.00991917	Yes	
row_23	CCT5	2742	0.003312669461593032	-0.00619788	Yes	
row_24	GLO1	2890	0.0029656090773642063	-0.008066652	Yes	
row_25	PHB2	2893	0.002952887676656246	-0.0030075698	Yes	
row_26	EIF3B	2924	0.002832507947459817	7.1372004E-4	Yes	
row_27	GOT2	2955	0.002766669262200594	0.00443501	Yes	
row_28	RPL18	3002	0.0026545748114585876	0.0073918467	Yes	
row_29	UBE2E1	3005	0.0026473882608115673	0.012450929	Yes	
row_30	HSP90AB1	3027	0.00258881994523108	0.016602224	Yes	
row_31	RPLP0	3099	0.0024649042170494795	0.018364603	Yes	
row_32	EXOSC7	3141	0.0023586817551404238	0.021560332	Yes	
row_33	VDAC1	3281	0.0020984963048249483	0.020073786	Yes	
row_34	RPS2	3323	0.002044714754447341	0.023269514	Yes	
row_35	CDK2	3413	0.0019176574423909187	0.024171883	Yes	
row_36	PSMC4	3555	0.0017159853596240282	0.022589782	Yes	
row_37	FAM120A	3579	0.0016903880750760436	0.026645519	Yes	
row_38	PWP1	3609	0.0016458745812997222	0.030414587	Yes	
row_39	CANX	3617	0.0016388591611757874	0.03523478	Yes	
row_40	PA2G4	3731	0.0015106992796063423	0.034990467	Yes	
row_41	EIF4A1	3734	0.0015069714281708002	0.040049553	Yes	
row_42	PSMD8	3789	0.0014500555116683245	0.04262416	Yes	
row_43	CDK4	3888	0.001329489634372294	0.043096527	Yes	
row_44	PSMD1	3956	0.0012540953466668725	0.045050018	Yes	
row_45	RPL22	3974	0.001239180564880371	0.04939243	Yes	
row_46	NPM1	4029	0.0011776606552302837	0.051967036	Yes	
row_47	EIF4H	4033	0.0011753893923014402	0.05697834	Yes	
row_48	NOP56	4051	0.0011585400206968188	0.06132075	Yes	
row_49	COPS5	4167	0.0010699507547542453	0.060980882	Yes	
row_50	MCM5	4300	9.69749758951366E-4	0.059828784	Yes	
row_51	PSMB2	4348	9.313489426858723E-4	0.062737845	Yes	
row_52	PRPS2	4353	9.279355290345848E-4	0.06770137	Yes	
row_53	RPL6	4399	9.005792089737952E-4	0.07070599	Yes	
row_54	KPNA2	4464	8.538169786334038E-4	0.07280281	Yes	
row_55	CCT2	4522	8.163363090716302E-4	0.075234085	Yes	
row_56	HDDC2	4525	8.155727991834283E-4	0.08029317	Yes	
row_57	PSMA2	4527	8.134611416608095E-4	0.08540003	Yes	
row_58	XRCC6	4536	8.07104748673737E-4	0.09017245	Yes	
row_59	RPS5	4578	7.84508534707129E-4	0.09336817	Yes	
row_60	HNRNPC	4632	7.516965852119029E-4	0.09599056	Yes	
row_61	EIF1AX	4739	6.900571752339602E-4	0.0960807	Yes	
row_62	TOMM70	4827	6.431075744330883E-4	0.09707863	Yes	
row_63	YWHAE	4855	6.327152368612587E-4	0.10094325	Yes	
row_64	MCM4	4859	6.29837391898036E-4	0.10595456	Yes	
row_65	HSPD1	4870	6.236114422790706E-4	0.110631414	Yes	
row_66	SMARCC1	4878	6.206322577781975E-4	0.115451604	Yes	
row_67	PABPC1	4883	6.190859712660313E-4	0.12041513	Yes	
row_68	EIF2S1	4905	6.107651861384511E-4	0.12456642	Yes	
row_69	TUFM	4951	5.984174204058945E-4	0.12757103	Yes	
row_70	PSMD3	5013	5.731019773520529E-4	0.1298112	Yes	
row_71	ILF2	5052	5.536719691008329E-4	0.13315026	Yes	
row_72	NAP1L1	5062	5.484834546223283E-4	0.1378749	Yes	
row_73	NME1	5073	5.430020391941071E-4	0.14255175	Yes	
row_74	UBE2L3	5074	5.428469739854336E-4	0.14770639	Yes	
row_75	RPL14	5171	5.04231546074152E-4	0.14827432	Yes	
row_76	NDUFAB1	5203	4.936102195642889E-4	0.15194783	Yes	
row_77	NHP2	5216	4.892389406450093E-4	0.15652913	Yes	
row_78	ETF1	5309	4.521211958490312E-4	0.15728816	Yes	
row_79	SSB	5375	4.3396480032242835E-4	0.15933721	Yes	
row_80	PPIA	5449	4.088220011908561E-4	0.16100404	Yes	
row_81	ORC2	5511	3.930094535462558E-4	0.16324419	Yes	
row_82	SERBP1	5560	3.8026736001484096E-4	0.16610548	Yes	
row_83	TFDP1	5572	3.766391600947827E-4	0.17073455	Yes	
row_84	KPNB1	5588	3.7235807394608855E-4	0.17517251	Yes	
row_85	PSMA6	5689	3.454861871432513E-4	0.17554933	Yes	
row_86	HPRT1	5702	3.4184622927568853E-4	0.18013062	Yes	
row_87	MRPL9	5744	3.2879275386221707E-4	0.18332635	Yes	
row_88	HSPE1	5756	3.2673479290679097E-4	0.18795542	Yes	
row_89	DHX15	5783	3.186567046213895E-4	0.19186783	Yes	
row_90	GNL3	5789	3.175367310177535E-4	0.19678357	Yes	
row_91	RSL1D1	5832	3.0844955472275615E-4	0.19993153	Yes	
row_92	RAN	5940	2.841183159034699E-4	0.1999739	Yes	
row_93	CBX3	6008	2.701276389416307E-4	0.20192738	Yes	
row_94	RACK1	6010	2.6979215908795595E-4	0.20703425	Yes	
row_95	GSPT1	6062	2.596346603240818E-4	0.20975219	Yes	
row_96	CCT7	6070	2.5836078566499054E-4	0.21457238	Yes	
row_97	SNRPD2	6224	2.272835117764771E-4	0.21241693	Yes	
row_98	FBL	6254	2.2251969494391233E-4	0.216186	Yes	
row_99	PRDX4	6312	2.081255370285362E-4	0.21861728	Yes	
row_100	SNRPD3	6381	1.9505088857840747E-4	0.220523	Yes	
row_101	RRM1	6450	1.8489531066734344E-4	0.22242871	Yes	
row_102	PSMD14	6521	1.7469849262852222E-4	0.22423887	Yes	
row_103	LSM7	6557	1.6841602337080985E-4	0.22772126	Yes	
row_104	RRP9	6629	1.5809277829248458E-4	0.22948365	Yes	
row_105	SRSF3	6642	1.5608036483172327E-4	0.23406494	Yes	
row_106	HNRNPA2B1	6668	1.5004460874479264E-4	0.23802513	Yes	
row_107	CCT4	6707	1.4432476018555462E-4	0.24136418	Yes	
row_108	AP3S1	6848	1.2616072490345687E-4	0.23982987	Yes	
row_109	HNRNPR	6976	1.1074265057686716E-4	0.23891667	Yes	
row_110	MRPL23	7002	1.0773927351692691E-4	0.24287684	Yes	
row_111	LDHA	7066	1.011411368381232E-4	0.24502145	Yes	
row_112	CNBP	7140	9.265308472095057E-5	0.24668826	Yes	
row_113	APEX1	7156	9.056920680450276E-5	0.25112623	Yes	
row_114	TXNL4A	7181	8.799256465863436E-5	0.2551342	Yes	
row_115	ERH	7327	7.215612276922911E-5	0.253361	Yes	
row_116	SET	7341	7.03248952049762E-5	0.2578945	Yes	
row_117	PRDX3	7357	6.91299355821684E-5	0.26233247	Yes	
row_118	MCM2	7386	6.641577783739194E-5	0.2661493	Yes	
row_119	TRA2B	7602	5.081796916783787E-5	0.2610316	Yes	
row_120	SYNCRIP	7659	4.745728801935911E-5	0.26351067	Yes	
row_121	TARDBP	7829	3.7312802305677906E-5	0.26059076	Yes	
row_122	NOLC1	7973	2.911197952926159E-5	0.2589131	Yes	
row_123	PSMD7	7995	2.8105732781114057E-5	0.2630644	Yes	
row_124	CYC1	8064	2.5366927729919553E-5	0.26497012	Yes	
row_125	IMPDH2	8245	1.783068000804633E-5	0.26152468	Yes	
row_126	SNRPG	8373	1.3065118764643557E-5	0.26061144	Yes	
row_127	SSBP1	8392	1.2637313375307713E-5	0.26490608	Yes	
row_128	HNRNPU	8689	4.456121132534463E-6	0.25591835	Yes	
row_129	POLE3	8796	2.6752290978038218E-6	0.25600848	Yes	
row_130	EEF1B2	8824	2.3707179934717715E-6	0.25987312	Yes	
row_131	RNPS1	8842	2.149720103261643E-6	0.26421553	Yes	
row_132	VDAC3	8848	2.0729560219479026E-6	0.26913127	Yes	
row_133	NCBP1	8860	1.9007644596058526E-6	0.27376035	Yes	
row_134	SRSF1	8954	9.371098030896974E-7	0.2744716	Yes	
row_135	XPOT	8976	8.341642114828574E-7	0.2786229	Yes	
row_136	CSTF2	9025	4.827545012631163E-7	0.2814842	Yes	
row_137	SNRPA	9088	1.6439209105101327E-7	0.28367656	Yes	
row_138	G3BP1	9128	3.765334710692514E-8	0.28696784	Yes	
row_139	EIF4G2	9130	3.6040642470425155E-8	0.2920747	Yes	
row_140	EIF3J	9174	9.161233993637552E-10	0.29517487	Yes	
row_141	EIF2S2	9190	-2.646247443394145E-9	0.29961285	Yes	
row_142	CUL1	9205	-1.2225975787316656E-8	0.30409858	Yes	
row_143	PSMA4	9207	-1.262184401440436E-8	0.30920544	Yes	
row_144	PTGES3	9256	-1.4285015481618757E-7	0.31206673	Yes	
row_145	COX5A	9305	-3.9691039432909747E-7	0.314928	Yes	
row_146	PSMA7	9307	-4.0718830973673903E-7	0.32003486	Yes	
row_147	XPO1	9380	-1.0552732874202775E-6	0.32174948	Yes	
row_148	ABCE1	9479	-2.238846946056583E-6	0.32222185	Yes	
row_149	RPL34	9491	-2.3670040718570817E-6	0.32685092	Yes	
row_150	SNRPA1	9498	-2.5009267119457945E-6	0.3317189	Yes	
row_151	HNRNPA3	9600	-4.209552116662962E-6	0.3320479	Yes	
row_152	SNRPD1	9630	-4.842354428546969E-6	0.33581698	Yes	
row_153	TCP1	9693	-6.067229151085485E-6	0.33800936	Yes	
row_154	SRSF7	9758	-7.505710073019145E-6	0.3401062	Yes	
row_155	VBP1	9882	-1.1099461517005693E-5	0.3393841	Yes	
row_156	UBA2	9937	-1.2867951227235608E-5	0.3419587	Yes	
row_157	SF3B3	9955	-1.3364892765821423E-5	0.3463011	Yes	
row_158	SF3A1	10015	-1.527342465124093E-5	0.34863684	Yes	
row_159	SNRPB2	10122	-1.988386793527752E-5	0.34872696	Yes	
row_160	SRSF2	10193	-2.3090364265954122E-5	0.35053712	Yes	
row_161	RFC4	10219	-2.4633209250168875E-5	0.3544973	Yes	
row_162	EIF4E	10296	-2.826645504683256E-5	0.3560208	Yes	
row_163	PCBP1	10352	-3.1248484447132796E-5	0.35854763	Yes	
row_164	BUB3	10466	-3.855884278891608E-5	0.3583033	Yes	
row_165	U2AF1	10517	-4.168912346358411E-5	0.36106905	Yes	
row_166	CAD	10658	-5.223351763561368E-5	0.3595347	Yes	
row_167	EIF3D	10702	-5.558630800805986E-5	0.3626349	Yes	
row_168	DDX18	10826	-6.619779014727101E-5	0.3619128	Yes	
row_169	NCBP2	10887	-7.085069228196517E-5	0.36420074	Yes	
row_170	PPM1G	10927	-7.566111162304878E-5	0.36749202	Yes	
row_171	DDX21	10938	-7.647799793630838E-5	0.37216887	Yes	
row_172	DUT	11040	-8.878413063939661E-5	0.37249792	Yes	
row_173	HNRNPD	11045	-8.996870747068897E-5	0.37746143	Yes	
row_174	RPS6	11057	-9.08982110559009E-5	0.3820905	Yes	
row_175	HNRNPA1	11081	-9.320341632701457E-5	0.38614625	Yes	
row_176	STARD7	11128	-9.880055586108938E-5	0.38910308	Yes	
row_177	MCM6	11277	-1.1809803254436702E-4	0.38718653	No	
row_178	HDAC2	11685	-1.799614547053352E-4	0.37289542	No	
row_179	NOP16	11981	-2.353683958062902E-4	0.36395544	No	
row_180	RANBP1	12122	-2.631322422530502E-4	0.36242113	No	
row_181	PABPC4	12545	-3.828406915999949E-4	0.3474133	No	
row_182	CDC45	12650	-4.1480077197775245E-4	0.347599	No	
row_183	CDC20	12773	-4.5332725858315825E-4	0.3469247	No	
row_184	ACP1	12896	-4.942863015457988E-4	0.34625039	No	
row_185	CCNA2	13279	-6.483360775746405E-4	0.3331537	No	
row_186	PGK1	13509	-7.842260529287159E-4	0.32736713	No	
row_187	IFRD1	13759	-9.370121406391263E-4	0.32062495	No	
row_188	MAD2L1	13796	-9.583453647792339E-4	0.32405958	No	
row_189	YWHAQ	13983	-0.001091748708859086	0.32032746	No	
row_190	USP1	14220	-0.0012840030249208212	0.3142064	No	
row_191	ODC1	14817	-0.0018941846210509539	0.29088518	No	
row_192	MCM7	14916	-0.002008860232308507	0.29135755	No	
row_193	MYC	15924	-0.0041860612109303474	0.24839942	No	
