NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ARRB1	301	0.301927387714386	0.017987927	No	
row_1	PSEN2	740	0.05242673307657242	0.029480807	No	
row_2	SKP1	2448	0.004370777867734432	-0.019188449	No	
row_3	WNT5A	3144	0.0023515690118074417	-0.019879704	No	
row_4	LFNG	3212	0.0022296931128948927	0.00920195	No	
row_5	NOTCH2	3795	0.001437200466170907	0.013867922	No	
row_6	PPARD	5231	4.7828699462115765E-4	-0.021906061	No	
row_7	DTX2	5513	3.928251098841429E-4	-0.0029699525	No	
row_8	APH1A	5737	3.2986345468088984E-4	0.018715883	No	
row_9	DTX4	5835	3.082038601860404E-4	0.046375263	No	
row_10	MAML2	6225	2.272564306622371E-4	0.06019119	No	
row_11	PSENEN	6885	1.2167484237579629E-4	0.061206665	No	
row_12	KAT2A	8474	1.0188552550971508E-5	0.018179089	No	
row_13	CUL1	9205	-1.2225975787316656E-8	0.015828516	No	
row_14	FZD7	9587	-3.853253929264611E-6	0.030023715	No	
row_15	RBX1	11658	-1.755209086695686E-4	-0.035855044	No	
row_16	ST3GAL6	11686	-1.8011558859143406E-4	-0.0048770243	No	
row_17	PRKCA	11943	-2.2640007955487818E-4	0.015244312	No	
row_18	FZD5	12131	-2.654875279404223E-4	0.038636874	No	
row_19	FBXW11	12377	-3.331017214804888E-4	0.05927971	No	
row_20	TCF7L2	13960	-0.0010768333449959755	0.016536592	No	
row_21	NOTCH1	15922	-0.004183250945061445	-0.044174574	No	
row_22	CCND1	16306	-0.005441406276077032	-0.030074194	No	
row_23	HEYL	17525	-0.014804059639573097	-0.055560403	No	
row_24	DTX1	17992	-0.022384334355592728	-0.04539498	No	
row_25	FZD1	18269	-0.02852952666580677	-0.026221823	No	
row_26	SAP30	19152	-0.0804096981883049	-0.03577858	No	
row_27	NOTCH3	20658	-3.027127265930176	-0.0748712	Yes	
row_28	HES1	20796	-5.4858551025390625	-0.04910818	Yes	
row_29	JAG1	20968	-13.148078918457031	-0.024957072	Yes	
row_30	DLL1	21066	-23.032855987548828	0.0027023093	Yes	
