NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DPP4	118	2.190609931945801	0.03607425	No	
row_1	GCG	1176	0.020842170342803	0.027646132	No	
row_2	MAFB	1196	0.020171308889985085	0.06841233	No	
row_3	NKX6-1	1569	0.011358384974300861	0.09244866	No	
row_4	SRPRB	1628	0.010546283796429634	0.13136652	No	
row_5	PDX1	4125	0.0011032667243853211	0.054739345	No	
row_6	SRP9	5395	4.28295781603083E-4	0.03626383	No	
row_7	AKT3	5443	4.099668876733631E-4	0.07570301	No	
row_8	SPCS1	6985	1.0981187369907275E-4	0.0443365	No	
row_9	SRP14	8571	7.629307674505981E-6	0.010884687	No	
row_10	ELP4	9496	-2.453728711770964E-6	0.008759886	No	
row_11	HNF1A	9645	-5.1058377721346915E-6	0.043412335	No	
row_12	STXBP1	9647	-5.1070514928142074E-6	0.08503161	No	
row_13	SEC11A	12775	-4.5344606041908264E-4	-0.021500774	No	
row_14	FOXO1	15813	-0.003834232920780778	-0.123767756	No	
row_15	VDR	16796	-0.008129660971462727	-0.12864137	No	
row_16	ISL1	17905	-0.020492807030677795	-0.13948655	Yes	
row_17	LMO2	18381	-0.032109133899211884	-0.120331734	Yes	
row_18	PAK3	19051	-0.07078491151332855	-0.110371225	Yes	
row_19	PCSK1	19693	-0.19605512917041779	-0.09908371	Yes	
row_20	CHGA	19768	-0.22549930214881897	-0.060924146	Yes	
row_21	PAX6	20475	-1.468023657798767	-0.052717194	Yes	
row_22	SYT13	21085	-26.723369598388672	-0.039913088	Yes	
row_23	FOXA2	21088	-28.216245651245117	0.0016587941	Yes	
