NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CSNK2B	134	1.7891457080841064	0.0038310196	Yes	
row_1	AKT1S1	145	1.4428433179855347	0.0135595	Yes	
row_2	AP2M1	416	0.17680850625038147	0.010922337	Yes	
row_3	TIAM1	877	0.03780370205640793	-7.512566E-4	Yes	
row_4	RIPK1	1150	0.021561618894338608	-0.0034835394	Yes	
row_5	PITX2	1793	0.008774123154580593	-0.023813082	Yes	
row_6	ARPC3	2563	0.003891624743118882	-0.050182767	Yes	
row_7	PPP2R1B	2576	0.003839070675894618	-0.04054941	Yes	
row_8	ITPR2	2593	0.0038076466880738735	-0.031106288	Yes	
row_9	NOD1	2624	0.003679538145661354	-0.022329012	Yes	
row_10	PFN1	2765	0.0032540583051741123	-0.018783353	Yes	
row_11	GRB2	2935	0.002818845212459564	-0.016616939	Yes	
row_12	E2F1	3044	0.0025571612641215324	-0.011549355	Yes	
row_13	PRKAG1	3195	0.0022524897940456867	-0.008479298	Yes	
row_14	NGF	3243	0.002176902489736676	-5.105443E-4	Yes	
row_15	CALR	3251	0.0021648211404681206	0.009360616	Yes	
row_16	MAP2K3	3291	0.00208952440880239	0.017709851	Yes	
row_17	RALB	3335	0.002023587701842189	0.025868846	Yes	
row_18	PTPN11	3338	0.002018123399466276	0.035977807	Yes	
row_19	CDK2	3413	0.0019176574423909187	0.042662434	Yes	
row_20	CDK4	3888	0.001329489634372294	0.030323	Yes	
row_21	ARF1	3984	0.001226163120009005	0.036008865	Yes	
row_22	RPTOR	4093	0.001130102900788188	0.04107645	Yes	
row_23	UBE2N	4201	0.0010408892994746566	0.046191595	Yes	
row_24	RAC1	4573	7.873903959989548E-4	0.038750853	Yes	
row_25	SMAD2	4600	7.698092376813293E-4	0.047718372	Yes	
row_26	NFKBIB	4816	6.484923069365323E-4	0.04769702	Yes	
row_27	ACTR2	4903	6.123959319666028E-4	0.053810924	Yes	
row_28	SQSTM1	4959	5.950044142082334E-4	0.0613992	Yes	
row_29	ARHGDIA	4975	5.838064826093614E-4	0.070889875	Yes	
row_30	RIT1	4986	5.808291025459766E-4	0.08061836	Yes	
row_31	MYD88	5366	4.3719125096686184E-4	0.072797135	Yes	
row_32	TSC2	5441	4.1018376941792667E-4	0.079481766	Yes	
row_33	CFL1	5740	3.29467497067526E-4	0.075512916	Yes	
row_34	PIK3R3	5833	3.084382333327085E-4	0.08134147	Yes	
row_35	MAPK8	5868	3.004224563483149E-4	0.0899285	Yes	
row_36	RPS6KA1	5932	2.859678352251649E-4	0.0971363	Yes	
row_37	DUSP3	5987	2.755510213319212E-4	0.10477213	Yes	
row_38	CLTC	6141	2.435596688883379E-4	0.1076995	Yes	
row_39	ACTR3	6452	1.84641670784913E-4	0.103159934	Yes	
row_40	PIN1	6681	1.4828932762611657E-4	0.102520294	Yes	
row_41	CAB39L	6755	1.379299210384488E-4	0.10925249	Yes	
row_42	MAPKAP1	6891	1.2082757893949747E-4	0.11303595	Yes	
row_43	PRKCB	6960	1.1262904445175081E-4	0.120005935	Yes	
row_44	IRAK4	7064	1.0190171451540664E-4	0.12531132	Yes	
row_45	STAT2	7128	9.43694103625603E-5	0.13251911	Yes	
row_46	TRAF2	7301	7.447945245075971E-5	0.13454285	Yes	
row_47	TNFRSF1A	7344	7.020108751021326E-5	0.1427494	Yes	
row_48	MAPK9	7961	2.9860439099138603E-5	0.12365642	Yes	
row_49	ECSIT	8100	2.3964234060258605E-5	0.12729721	Yes	
row_50	MAPK1	8184	2.0121040506637655E-5	0.13355379	Yes	
row_51	TBK1	8197	1.9825287381536327E-5	0.14318715	Yes	
row_52	AKT1	8545	8.321424502355512E-6	0.13688785	Yes	
row_53	PAK4	9009	5.968021241642418E-7	0.12507159	Yes	
row_54	GSK3B	9057	3.143558728879725E-7	0.13304034	Yes	
row_55	YWHAB	9090	1.4850203911009885E-7	0.14172249	Yes	
row_56	PLA2G12A	9414	-1.5436652347489144E-6	0.13656464	Yes	
row_57	MKNK1	9476	-2.190138047808432E-6	0.14386755	Yes	
row_58	CDKN1A	9713	-6.3991988099587616E-6	0.14284743	Yes	
row_59	PRKAR2A	9907	-1.20411095849704E-5	0.1438724	Yes	
row_60	EIF4E	10296	-2.826645504683256E-5	0.13562314	Yes	
row_61	UBE2D3	10630	-5.0399627070873976E-5	0.12998968	Yes	
row_62	HSP90B1	11206	-1.0777889110613614E-4	0.11284667	Yes	
row_63	MAP2K6	11457	-1.4438075595535338E-4	0.11116072	Yes	
row_64	PDK1	11698	-1.8154626013711095E-4	0.109950356	Yes	
row_65	RAF1	11730	-1.8800407997332513E-4	0.118680075	Yes	
row_66	GNGT1	11769	-1.9536902254913002E-4	0.12707686	Yes	
row_67	MAP3K7	11821	-2.0377049804665148E-4	0.13485539	Yes	
row_68	CAB39	11869	-2.1239106717985123E-4	0.14282414	Yes	
row_69	IL2RG	12046	-2.491714258212596E-4	0.14465763	Yes	
row_70	CDKN1B	12653	-4.1592272464185953E-4	0.12604025	Yes	
row_71	CDK1	12685	-4.265459137968719E-4	0.13476998	Yes	
row_72	MKNK2	12930	-5.071906489320099E-4	0.13336937	Yes	
row_73	HRAS	12999	-5.338946939446032E-4	0.14033936	Yes	
row_74	RPS6KA3	13457	-7.544441614300013E-4	0.12880845	Yes	
row_75	DDIT3	13570	-8.170282817445695E-4	0.1336858	Yes	
row_76	DAPP1	13701	-8.958508842624724E-4	0.13770705	Yes	
row_77	PPP1CA	14216	-0.001281699980609119	0.12346521	Yes	
row_78	MAPK10	14317	-0.0013769512297585607	0.12891327	Yes	
row_79	THEM4	14623	-0.001665086136199534	0.124611504	Yes	
row_80	PLCG1	14665	-0.0017085811123251915	0.13286562	Yes	
row_81	TRIB3	14836	-0.001913520391099155	0.13498448	Yes	
row_82	CXCR4	14941	-0.002046203939244151	0.1402423	Yes	
row_83	PIKFYVE	15053	-0.0022086291573941708	0.1451672	Yes	
row_84	PRKAA2	15310	-0.0026291520334780216	0.14319588	No	
row_85	GNA14	15487	-0.0029732221737504005	0.14502938	No	
row_86	FGF17	15939	-0.004211753606796265	0.13378382	No	
row_87	PTEN	16053	-0.004572808742523193	0.13861361	No	
row_88	SFN	16786	-0.00805345643311739	0.11400365	No	
row_89	NCK1	17642	-0.016266321763396263	0.08354379	No	
row_90	PLCB1	17932	-0.02081899531185627	0.080002986	No	
row_91	VAV3	18017	-0.02271147258579731	0.08621201	No	
row_92	ATF1	18446	-0.03464321047067642	0.07606035	No	
row_93	CAMK4	18492	-0.03612438589334488	0.08412422	No	
row_94	GRK2	18547	-0.03885775804519653	0.091760054	No	
row_95	SLC2A1	19081	-0.0732642263174057	0.076614566	No	
row_96	EGFR	19486	-0.13155418634414673	0.06760434	No	
row_97	LCK	20956	-12.116159439086914	0.007942544	No	
