NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	STAM	318	0.27437537908554077	-0.0044829585	Yes	
row_1	AP2M1	416	0.17680850625038147	0.0015428808	Yes	
row_2	KRT18	649	0.06862708181142807	0.0011493188	Yes	
row_3	AP2S1	777	0.04760511592030525	0.005748624	Yes	
row_4	TPD52	795	0.045552853494882584	0.015578553	Yes	
row_5	NAPA	988	0.029407575726509094	0.017087035	Yes	
row_6	SH3GL2	1071	0.0247243270277977	0.02382614	Yes	
row_7	SCRN1	1512	0.012464248575270176	0.013541946	Yes	
row_8	TSPAN8	1518	0.012343013659119606	0.02394249	Yes	
row_9	ICA1	1553	0.011709553189575672	0.032964047	Yes	
row_10	SCAMP3	1732	0.009353972040116787	0.035138246	Yes	
row_11	CAV2	2051	0.006382772698998451	0.030655287	Yes	
row_12	RAB2A	2075	0.0061977156437933445	0.04019991	Yes	
row_13	ATP6V1H	2144	0.005821840837597847	0.047604732	Yes	
row_14	STX12	2268	0.005169263109564781	0.05239424	Yes	
row_15	ADAM10	2296	0.0050726053304970264	0.061748657	Yes	
row_16	SOD1	2365	0.0047102877870202065	0.06915348	Yes	
row_17	RAB5A	2464	0.004301191307604313	0.07513177	Yes	
row_18	NAPG	2561	0.003900317009538412	0.08120516	Yes	
row_19	RER1	2645	0.0036204203497618437	0.08789671	Yes	
row_20	YKT6	2989	0.0026843808591365814	0.08222498	Yes	
row_21	VAMP7	3093	0.0024725578259676695	0.08796551	Yes	
row_22	SNX2	3187	0.0022688210010528564	0.09418155	Yes	
row_23	SGMS1	3189	0.0022680589463561773	0.1047723	Yes	
row_24	DNM1L	3302	0.0020705899223685265	0.11008487	Yes	
row_25	KIF1B	3716	0.0015267154667526484	0.10108456	Yes	
row_26	ARF1	3984	0.001226163120009005	0.0990267	Yes	
row_27	ATP6V1B1	4028	0.00117783946916461	0.10762031	Yes	
row_28	COPE	4123	0.0011074920184910297	0.1137888	Yes	
row_29	COPB1	4950	5.984925082884729E-4	0.08514987	Yes	
row_30	CLN5	4967	5.9075269382447E-4	0.09502735	Yes	
row_31	STX7	5067	5.456092767417431E-4	0.10095809	Yes	
row_32	SEC31A	5267	4.65091725345701E-4	0.10213371	Yes	
row_33	GOSR2	5452	4.0835869731381536E-4	0.10402261	Yes	
row_34	OCRL	5555	3.8147071609273553E-4	0.10981069	Yes	
row_35	VAMP3	5615	3.628232516348362E-4	0.11764347	Yes	
row_36	COG2	5750	3.276050847489387E-4	0.12190992	Yes	
row_37	GOLGA4	5924	2.889217284973711E-4	0.12432187	Yes	
row_38	CLTC	6141	2.435596688883379E-4	0.124689125	Yes	
row_39	TMED2	6250	2.2286971216090024E-4	0.1301919	Yes	
row_40	VPS45	6335	2.036876103375107E-4	0.1368359	Yes	
row_41	COPB2	6347	2.0069521269761026E-4	0.14695114	Yes	
row_42	PAM	6375	1.962371898116544E-4	0.15630555	Yes	
row_43	ARFGEF2	6461	1.8314945918973535E-4	0.16290201	Yes	
row_44	GBF1	6475	1.8030186765827239E-4	0.17292215	Yes	
row_45	USO1	6517	1.7524161376059055E-4	0.18161085	Yes	
row_46	TMX1	6622	1.5906298358459026E-4	0.18730383	Yes	
row_47	TSG101	6728	1.4131625357549638E-4	0.19294925	Yes	
row_48	AP3S1	6848	1.2616072490345687E-4	0.19792897	Yes	
row_49	SNAP23	6913	1.1831027950393036E-4	0.205524	Yes	
row_50	AP3B1	7149	9.169875556835905E-5	0.20498778	Yes	
row_51	ARFGAP3	7275	7.73619904066436E-5	0.2096822	Yes	
row_52	CTSC	7395	6.596382445422933E-5	0.21466191	Yes	
row_53	ERGIC3	7580	5.256538497633301E-5	0.2165508	Yes	
row_54	ATP1A1	7674	4.68321013613604E-5	0.22276685	Yes	
row_55	M6PR	7737	4.223301584715955E-5	0.23045696	Yes	
row_56	SEC24D	7854	3.55777629010845E-5	0.23557934	Yes	
row_57	CLTA	7901	3.3339118090225384E-5	0.24403028	Yes	
row_58	MON2	8005	2.7564485208131373E-5	0.24977082	Yes	
row_59	ARFGEF1	8113	2.351785406062845E-5	0.25532115	Yes	
row_60	MAPK1	8184	2.0121040506637655E-5	0.26263085	Yes	
row_61	ZW10	8242	1.791342583601363E-5	0.27055874	Yes	
row_62	TMED10	8568	7.691450264246669E-6	0.26574293	Yes	
row_63	AP1G1	8647	5.417204647528706E-6	0.27267224	Yes	
row_64	CD63	9115	7.559440717841426E-8	0.26110417	Yes	
row_65	DST	9245	-9.761620134440818E-8	0.26560837	Yes	
row_66	RAB14	9542	-3.239098305130028E-6	0.26217154	Yes	
row_67	ABCA1	9567	-3.5370035220694263E-6	0.2716686	Yes	
row_68	YIPF6	9773	-8.104541848297231E-6	0.27255893	Yes	
row_69	IGF2R	9875	-1.0825337085407227E-5	0.27839455	Yes	
row_70	RAB9A	10043	-1.654590778343845E-5	0.2810918	Yes	
row_71	GLA	10184	-2.2480204279418103E-5	0.28507295	Yes	
row_72	AP2B1	10322	-2.966530155390501E-5	0.28919676	Yes	
row_73	ANP32E	10324	-2.9700597224291414E-5	0.2997875	Yes	
row_74	ARFIP1	10578	-4.714804163086228E-5	0.29839537	No	
row_75	BET1	10812	-6.516220310004428E-5	0.29795426	No	
row_76	ARCN1	11049	-9.025598410516977E-5	0.2973705	No	
row_77	CLCN3	11491	-1.5073662507347763E-4	0.28703874	No	
row_78	GNAS	11925	-2.2150418953970075E-4	0.2770874	No	
row_79	RPS6KA3	13457	-7.544441614300013E-4	0.21492493	No	
row_80	VPS4B	13572	-8.174366084858775E-4	0.22014241	No	
row_81	LMAN1	14194	-0.0012642174260690808	0.20125146	No	
row_82	LAMP2	15730	-0.00357029028236866	0.13889879	No	
row_83	RAB22A	15865	-0.003993375692516565	0.14316523	No	
row_84	TOM1L1	15899	-0.0041085840202867985	0.15223435	No	
row_85	PPT1	16021	-0.004466121084988117	0.15711896	No	
row_86	STX16	16438	-0.006081867963075638	0.147976	No	
row_87	SCAMP1	16927	-0.0090259350836277	0.13540934	No	
row_88	VAMP4	17244	-0.011599394492805004	0.13102148	No	
row_89	ATP7A	17441	-0.013883543200790882	0.13233976	No	
row_90	BNIP3	18397	-0.03275582194328308	0.097566746	No	
row_91	GALC	18542	-0.03867461159825325	0.10135768	No	
