NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GLRX	83	4.134734153747559	0.016895205	Yes	
row_1	ERCC2	186	0.8691425919532776	0.03288891	Yes	
row_2	FTL	336	0.2412382960319519	0.046652593	Yes	
row_3	PFKP	503	0.10847403854131699	0.05960967	Yes	
row_4	HMOX2	646	0.0694042220711708	0.07370548	Yes	
row_5	GPX3	1170	0.0210568904876709	0.06972386	Yes	
row_6	PRDX6	1192	0.020241321995854378	0.0895608	Yes	
row_7	OXSR1	1418	0.01464066095650196	0.09971848	Yes	
row_8	MGST1	1467	0.013583310879766941	0.118274346	Yes	
row_9	MSRA	1922	0.007352346554398537	0.117566586	Yes	
row_10	GLRX2	2178	0.00559846218675375	0.12630086	Yes	
row_11	NQO1	2237	0.0052824243903160095	0.14438224	Yes	
row_12	SOD1	2365	0.0047102877870202065	0.15918976	Yes	
row_13	ATOX1	2889	0.002971092239022255	0.15520814	Yes	
row_14	TXNRD1	3427	0.001898075919598341	0.15056226	Yes	
row_15	EGLN2	3548	0.0017259840387851	0.16570191	Yes	
row_16	PDLIM1	3921	0.0012945501366630197	0.16888483	Yes	
row_17	NDUFA6	4485	8.413824834860861E-4	0.16300532	Yes	
row_18	TXN	4628	7.55908025894314E-4	0.17710114	Yes	
row_19	NDUFB4	4890	6.167528335936368E-4	0.18555072	Yes	
row_20	MPO	4949	5.986127653159201E-4	0.2036321	Yes	
row_21	STK25	5128	5.249754758551717E-4	0.21601981	Yes	
row_22	LAMTOR5	5385	4.3203632230870426E-4	0.22470662	Yes	
row_23	G6PD	5526	3.885641344822943E-4	0.23889734	Yes	
row_24	SRXN1	5979	2.77453800663352E-4	0.23828447	Yes	
row_25	PRDX4	6312	2.081255370285362E-4	0.24336529	Yes	
row_26	PRDX1	7404	6.528638186864555E-5	0.21243358	No	
row_27	GPX4	8450	1.0947684131679125E-5	0.18368445	No	
row_28	SBNO2	8693	4.369787347968668E-6	0.19303553	No	
row_29	PTPA	8847	2.0744732864841353E-6	0.20660943	No	
row_30	PRDX2	9210	-1.893107537398464E-8	0.21026683	No	
row_31	SCAF4	9272	-1.9444676979674114E-7	0.22820587	No	
row_32	NDUFS2	10105	-1.9209866877645254E-5	0.20956302	No	
row_33	PRNP	11602	-1.659609843045473E-4	0.15941514	No	
row_34	CAT	12340	-3.2153399661183357E-4	0.1452798	No	
row_35	GCLC	12674	-4.217559180688113E-4	0.15031317	No	
row_36	CDKN2D	12699	-4.31377295171842E-4	0.17000777	No	
row_37	GCLM	13015	-5.402719252742827E-4	0.17589518	No	
row_38	JUNB	14094	-0.0011719816830009222	0.14558029	No	
row_39	IPCEF1	14237	-0.001310110092163086	0.1596761	No	
row_40	MBP	14891	-0.00197832053527236	0.14952633	No	
row_41	GSR	14919	-0.002013864926993847	0.16907859	No	
row_42	ABCC1	15141	-0.0023706441279500723	0.17942606	No	
row_43	HHEX	17119	-0.010427229106426239	0.10645601	No	
row_44	SOD2	17128	-0.010484650731086731	0.12690976	No	
row_45	FES	17264	-0.011812674812972546	0.14133771	No	
row_46	LSP1	18218	-0.027376528829336166	0.11695373	No	
row_47	TXNRD2	18920	-0.060002174228429794	0.10452648	No	
