NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	C4BPB	30	10.62229061126709	0.005192106	Yes	
row_1	MAOA	244	0.5326127409934998	0.0016587079	Yes	
row_2	CCNE1	354	0.22030042111873627	0.0030840663	Yes	
row_3	HMOX1	697	0.0579092912375927	-0.0066000973	Yes	
row_4	AP2S1	777	0.04760511592030525	-0.0037443284	Yes	
row_5	PTPRD	1070	0.02485676109790802	-0.011044474	Yes	
row_6	KLHDC3	1164	0.021100914105772972	-0.00885623	Yes	
row_7	GPX3	1170	0.0210568904876709	-0.0024721154	Yes	
row_8	ACAA1	1190	0.02041836641728878	0.0032444745	Yes	
row_9	KCNH2	1227	0.019223395735025406	0.008150498	Yes	
row_10	CLTB	1363	0.01575058326125145	0.008336168	Yes	
row_11	SLC25A4	1478	0.013415536843240261	0.009523124	Yes	
row_12	PDLIM3	1549	0.01186751015484333	0.0128080165	Yes	
row_13	CCND3	1551	0.011830907315015793	0.019382853	Yes	
row_14	BAK1	1806	0.008597277104854584	0.01389456	Yes	
row_15	TAP1	1924	0.007350655738264322	0.014938476	Yes	
row_16	NKX2-5	2112	0.00598694896325469	0.012644766	Yes	
row_17	HLA-F	2402	0.004535340704023838	0.0054876613	Yes	
row_18	APOM	2502	0.004135076887905598	0.0073898234	Yes	
row_19	PSMC3	2504	0.004129910841584206	0.01396466	Yes	
row_20	NAT1	2573	0.003846505656838417	0.017344913	Yes	
row_21	ALAS1	2652	0.0035969025921076536	0.020248361	Yes	
row_22	MGAT1	2801	0.0031549998093396425	0.019814186	Yes	
row_23	ATP6V1F	2815	0.003118460066616535	0.025816858	Yes	
row_24	GCH1	2902	0.0029057853389531374	0.028338864	Yes	
row_25	LYN	2917	0.0028604601975530386	0.034293856	Yes	
row_26	SHOX2	2944	0.002793185180053115	0.039676685	Yes	
row_27	YKT6	2989	0.0026843808591365814	0.044201266	Yes	
row_28	FKBP4	3194	0.0022525936365127563	0.04109699	Yes	
row_29	POLR2H	3285	0.0020950734615325928	0.043428276	Yes	
row_30	CDKN2B	3378	0.001962356036528945	0.0456642	Yes	
row_31	CDK2	3413	0.0019176574423909187	0.050665583	Yes	
row_32	CYB5R1	3514	0.0017772801220417023	0.052520066	Yes	
row_33	EIF2S3	3564	0.0017081781988963485	0.056806244	Yes	
row_34	FOSB	3923	0.0012940545566380024	0.046359196	Yes	
row_35	LHX2	4050	0.001159279141575098	0.04697399	Yes	
row_36	IL6	4110	0.0011205067858099937	0.050783362	Yes	
row_37	FOS	4143	0.0010923442896455526	0.05588011	Yes	
row_38	CDC5L	4310	9.660441428422928E-4	0.05458769	Yes	
row_39	CLCN2	4313	9.647092083469033E-4	0.061114844	Yes	
row_40	ICAM1	4402	8.979304693639278E-4	0.06354149	Yes	
row_41	TUBA4A	4478	8.464276907034218E-4	0.06658798	Yes	
row_42	TGFBRAP1	4561	7.933556917123497E-4	0.0693007	Yes	
row_43	CHKA	4589	7.755624828860164E-4	0.074635856	Yes	
row_44	PLCL1	4607	7.658336544409394E-4	0.08044781	Yes	
row_45	PPIF	4657	7.348335930146277E-4	0.084733985	Yes	
row_46	RXRB	4795	6.604962982237339E-4	0.084824294	Yes	
row_47	SQSTM1	4959	5.950044142082334E-4	0.083674915	Yes	
row_48	GRPEL1	4962	5.940180853940547E-4	0.09020207	Yes	
row_49	STK25	5128	5.249754758551717E-4	0.088957325	Yes	
row_50	RASGRP1	5339	4.4472256558947265E-4	0.08556697	Yes	
row_51	GGH	5400	4.269185592420399E-4	0.08932866	Yes	
row_52	NXF1	5411	4.217431414872408E-4	0.09547438	Yes	
row_53	PRKACA	5543	3.849653003271669E-4	0.095850766	Yes	
row_54	WIZ	5675	3.477378049865365E-4	0.09622716	Yes	
row_55	RHOB	6164	2.3883760150056332E-4	0.07958166	Yes	
row_56	NUP58	6168	2.3821790819056332E-4	0.08606114	Yes	
row_57	BTG3	6472	1.805055799195543E-4	0.07823651	Yes	
row_58	FURIN	6500	1.7767318058758974E-4	0.08357166	Yes	
row_59	HYAL2	6548	1.7078914970625192E-4	0.087953195	Yes	
row_60	FEN1	6598	1.6178147052414715E-4	0.09223938	Yes	
row_61	CASP3	6641	1.5627442917320877E-4	0.09685932	Yes	
row_62	CYP1A1	6937	1.1555074161151424E-4	0.08941613	Yes	
row_63	MRPL23	7002	1.0773927351692691E-4	0.092987105	Yes	
row_64	DGAT1	7146	9.222276275977492E-5	0.092791334	Yes	
row_65	MARK2	7297	7.494704914279282E-5	0.0922618	Yes	
row_66	PPP1R2	7303	7.410561374854296E-5	0.09864591	Yes	
row_67	EIF5	7362	6.871789810247719E-5	0.102502964	Yes	
row_68	TMBIM6	7427	6.36210897937417E-5	0.10607394	Yes	
row_69	BID	7542	5.545963722397573E-5	0.1072609	Yes	
row_70	IL6ST	7758	4.103843093616888E-5	0.10363214	Yes	
row_71	STARD3	7807	3.829623892670497E-5	0.107966	Yes	
row_72	ABCB1	7981	2.8608050342882052E-5	0.10633981	Yes	
row_73	ATF3	8025	2.6935149435303174E-5	0.11091208	Yes	
row_74	ARRB2	8386	1.2733444236801006E-5	0.10036967	Yes	
row_75	GRINA	8456	1.0825329809449613E-5	0.10370224	Yes	
row_76	STIP1	8477	1.0058594853035174E-5	0.10937115	Yes	
row_77	CYB5B	8588	7.0251498982543126E-6	0.11074883	Yes	
row_78	TST	8645	5.529538157134084E-6	0.11470124	Yes	
row_79	SPR	8671	4.802032890438568E-6	0.12013175	Yes	
row_80	HNRNPU	8689	4.456121132534463E-6	0.1259437	Yes	
row_81	GLS	8775	2.9672721666429425E-6	0.12851338	Yes	
row_82	POLE3	8796	2.6752290978038218E-6	0.1341823	Yes	
row_83	TCHH	8798	2.663902478161617E-6	0.14075713	Yes	
row_84	RRAD	9085	1.7483959879882605E-7	0.13374308	Yes	
row_85	CNP	9108	9.874648299046385E-8	0.13931662	Yes	
row_86	RPN1	9211	-2.0779447496011016E-8	0.14107575	Yes	
row_87	FGF18	9575	-3.6026985981152393E-6	0.13039029	No	
row_88	MAPK8IP2	9612	-4.458359853742877E-6	0.13529631	No	
row_89	EPHX1	9863	-1.0603435839584563E-5	0.12999874	No	
row_90	PDAP1	9960	-1.357914607069688E-5	0.13204394	No	
row_91	PRPF3	10047	-1.674699888098985E-5	0.13456595	No	
row_92	RFC4	10219	-2.4633209250168875E-5	0.13303512	No	
row_93	ASNS	10535	-4.3657521018758416E-5	0.124638334	No	
row_94	PARP2	10693	-5.538158438866958E-5	0.123775035	No	
row_95	PPAT	10832	-6.696407217532396E-5	0.12381766	No	
row_96	DDX21	10938	-7.647799793630838E-5	0.12543374	No	
row_97	ATP6V1C1	11225	-1.1056655057473108E-4	0.11841968	No	
row_98	CDC34	11270	-1.1708244710462168E-4	0.12294426	No	
row_99	UROD	11401	-1.3592353207059205E-4	0.12336833	No	
