NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NOS3	61	6.337966442108154	0.017939046	No	
row_1	MAOA	244	0.5326127409934998	0.030136965	No	
row_2	ALDH4A1	747	0.051564957946538925	0.027151737	No	
row_3	LAP3	1180	0.020746130496263504	0.027487824	No	
row_4	SMS	1240	0.0186794213950634	0.045521766	No	
row_5	ALDH9A1	1313	0.016909990459680557	0.06293889	No	
row_6	GAMT	2029	0.006512854713946581	0.04984738	No	
row_7	ASL	2255	0.005213705822825432	0.060005065	No	
row_8	ALDH1B1	2506	0.00412772037088871	0.068976566	No	
row_9	SRM	2574	0.0038450390566140413	0.086630926	No	
row_10	GOT2	2955	0.002766669262200594	0.08943427	No	
row_11	AGMAT	3130	0.002376098884269595	0.10201177	No	
row_12	ARG2	3204	0.0022452969569712877	0.11938145	No	
row_13	SAT2	4044	0.0011638858122751117	0.10040647	No	
row_14	PYCR1	5517	3.920910239685327E-4	0.051397327	No	
row_15	OAT	7073	1.0024556831922382E-4	-0.0015499437	No	
row_16	ALDH18A1	7992	2.823547947627958E-5	-0.024273263	No	
row_17	ACY1	8738	3.5133646179019706E-6	-0.038788192	No	
row_18	GLS	8775	2.9672721666429425E-6	-0.019662963	No	
row_19	PYCR2	10180	-2.2314328816719353E-5	-0.065445684	No	
row_20	AMD1	11623	-1.6968874842859805E-4	-0.11303141	No	
row_21	GLS2	12038	-2.476995869074017E-4	-0.11184127	No	
row_22	P4HA2	12170	-2.7377382502891123E-4	-0.097223535	No	
row_23	GOT1	12328	-3.1824043253436685E-4	-0.08383944	No	
row_24	GLUD1	14053	-0.0011454883497208357	-0.14480531	No	
row_25	ODC1	14817	-0.0018941846210509539	-0.1601743	No	
row_26	GATM	14818	-0.001894921064376831	-0.13934095	No	
row_27	P4HA1	16479	-0.006243374664336443	-0.1972702	Yes	
row_28	CKMT2	16695	-0.007506029214709997	-0.18663804	Yes	
row_29	SAT1	16909	-0.008911186829209328	-0.175911	Yes	
row_30	GLUD2	16979	-0.009356937371194363	-0.15835153	Yes	
row_31	ALDH3A2	17033	-0.009787565097212791	-0.14003289	Yes	
row_32	GLUL	17309	-0.012323814444243908	-0.13224758	Yes	
row_33	P4HA3	17418	-0.013463262468576431	-0.116538554	Yes	
row_34	CKMT1A	19026	-0.0691152811050415	-0.17195308	Yes	
row_35	ALDH2	19120	-0.0764249935746193	-0.15553236	Yes	
row_36	ASS1	19340	-0.10390778630971909	-0.14508998	Yes	
row_37	CKMT1B	19480	-0.1310090571641922	-0.13085184	Yes	
row_38	AOC1	19552	-0.15018974244594574	-0.113387264	Yes	
row_39	ALDH7A1	19803	-0.24151942133903503	-0.10441576	Yes	
row_40	AZIN2	20016	-0.40291672945022583	-0.09364126	Yes	
row_41	CPS1	20279	-0.8440278768539429	-0.08523913	Yes	
row_42	CKB	20285	-0.8538349270820618	-0.06464303	Yes	
row_43	NAGS	20329	-0.9725430011749268	-0.045849934	Yes	
row_44	NOS2	20373	-1.0694255828857422	-0.027056836	Yes	
row_45	PRODH	20485	-1.5047156810760498	-0.011490155	Yes	
row_46	MAOB	20841	-6.597503662109375	-0.007500625	Yes	
row_47	NOS1	21090	-28.41365623474121	0.0015657698	Yes	
