NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CACNA2D3	211	0.701858401298523	0.00611099	No	
row_1	PKP2	438	0.14592090249061584	0.011509797	No	
row_2	LEF1	888	0.03714871034026146	0.0063208146	No	
row_3	DSC2	1266	0.018007108941674232	0.0045503117	No	
row_4	ITGA5	1730	0.009368883445858955	-0.0013033744	No	
row_5	ACTN1	3052	0.002541739959269762	-0.047893934	No	
row_6	CACNG4	3475	0.00182208267506212	-0.051800985	No	
row_7	ACTG1	3657	0.0015873098745942116	-0.044265628	No	
row_8	CTNNB1	3673	0.0015740359667688608	-0.02884878	No	
row_9	CTNNA1	3727	0.001516772317700088	-0.015236129	No	
row_10	ITGB1	3864	0.0013569926377385855	-0.0055642235	No	
row_11	LAMA2	4108	0.0011211542878299952	-9.725579E-4	No	
row_12	ACTN4	4361	9.205791284330189E-4	0.0031917982	No	
row_13	CDH2	4750	6.809515180066228E-4	8.990275E-4	No	
row_14	DSP	4828	6.428274791687727E-4	0.013372187	No	
row_15	CACNG7	5966	2.799725334625691E-4	-0.02448226	No	
row_16	CACNG6	6016	2.67857889411971E-4	-0.010679693	No	
row_17	ACTB	6691	1.4745484804734588E-4	-0.02655142	No	
row_18	DSG2	7245	8.074768993537873E-5	-0.036678206	No	
row_19	LMNA	8310	1.5115304449864198E-5	-0.07106669	No	
row_20	ITGA3	8795	2.6801008061738685E-6	-0.077917434	No	
row_21	CACNB2	8916	1.2352406884019729E-6	-0.06748587	No	
row_22	EMD	8962	9.062315484698047E-7	-0.053493384	No	
row_23	SGCB	9016	5.405241836342611E-7	-0.039880734	No	
row_24	DAG1	9182	3.805534359857532E-11	-0.031585716	No	
row_25	ITGB5	9297	-3.470589717835537E-7	-0.020869276	No	
row_26	CACNA2D1	9376	-1.0218143415841041E-6	-0.008443597	No	
row_27	ATP2A2	9635	-4.931843250233214E-6	-0.004564114	No	
row_28	ITGA1	12000	-2.399085060460493E-4	-0.100675136	No	
row_29	SLC8A1	12562	-3.863598685711622E-4	-0.11118175	No	
row_30	ITGAV	12925	-5.04917639773339E-4	-0.11224007	No	
row_31	CACNG8	13176	-6.033288082107902E-4	-0.10798076	No	
row_32	TCF7L2	13960	-0.0010768333449959755	-0.12902768	No	
row_33	ITGA2	14810	-0.0018882108852267265	-0.15320821	No	
row_34	CACNA1C	15417	-0.002822062699124217	-0.16585138	No	
row_35	JUP	15760	-0.003678377252072096	-0.16596012	Yes	
row_36	ITGB6	15936	-0.0042063770815730095	-0.15813988	Yes	
row_37	CACNB3	16241	-0.005206419620662928	-0.15644443	Yes	
row_38	ITGA2B	16284	-0.005363899748772383	-0.14230952	Yes	
row_39	CACNB1	16440	-0.00609814515337348	-0.1335397	Yes	
row_40	CACNA1D	16455	-0.006173125933855772	-0.118075386	Yes	
row_41	GJA1	16528	-0.006516910158097744	-0.10536483	Yes	
row_42	DMD	16773	-0.007952756248414516	-0.100820646	Yes	
row_43	ITGB7	17314	-0.012370645999908447	-0.1103302	Yes	
row_44	TCF7L1	17557	-0.01519864797592163	-0.10569106	Yes	
row_45	ACTN2	18435	-0.03407201170921326	-0.131201	Yes	
row_46	CACNG1	18565	-0.03937903046607971	-0.12119674	Yes	
row_47	ITGB4	18804	-0.05121807008981705	-0.11636768	Yes	
row_48	ITGB3	18955	-0.062447983771562576	-0.10736048	Yes	
row_49	ITGA6	19432	-0.12226635217666626	-0.11383139	Yes	
row_50	ITGA9	19440	-0.12341394275426865	-0.09803471	Yes	
row_51	CACNA1F	19556	-0.15175741910934448	-0.08736575	Yes	
row_52	CACNB4	19725	-0.20957238972187042	-0.079213165	Yes	
row_53	ITGA11	19781	-0.23115742206573486	-0.06569547	Yes	
row_54	CACNA2D2	19916	-0.3111175000667572	-0.05592861	Yes	
row_55	ITGA7	19925	-0.31667494773864746	-0.04017941	Yes	
row_56	TCF7	20064	-0.4571731686592102	-0.030602463	Yes	
row_57	ITGB8	20403	-1.1411710977554321	-0.03052129	Yes	
row_58	CACNA2D4	20409	-1.1673481464385986	-0.014629652	Yes	
row_59	RYR2	20446	-1.3273478746414185	-2.0985983E-4	Yes	
row_60	ITGA10	20785	-5.253807544708252	-1.2868684E-4	Yes	
row_61	ITGA4	21077	-24.921140670776367	0.002183993	Yes	
