NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	WNT11	422	0.16774754226207733	-4.177807E-4	No	
row_1	FZD2	498	0.11201630532741547	0.015631007	No	
row_2	WNT10A	602	0.07971234619617462	0.03035108	No	
row_3	WNT10B	647	0.069161057472229	0.047870945	No	
row_4	WNT5B	760	0.050166402012109756	0.06216393	No	
row_5	LEF1	888	0.03714871034026146	0.075745106	No	
row_6	DVL1	1394	0.01514424942433834	0.07138863	No	
row_7	WNT3	2248	0.005246718414127827	0.050518144	No	
row_8	DVL3	2484	0.004215121269226074	0.058974277	No	
row_9	WNT5A	3144	0.0023515690118074417	0.047309875	No	
row_10	CTNNB1	3673	0.0015740359667688608	0.041861963	No	
row_11	WNT6	3946	0.0012638194020837545	0.048562296	No	
row_12	TP53	4350	9.293920593336225E-4	0.049046144	No	
row_13	WNT9A	4530	8.114983211271465E-4	0.060159706	No	
row_14	WNT8B	4825	6.443388410843909E-4	0.065816045	No	
row_15	AXIN2	6011	2.6936191716231406E-4	0.029190797	No	
row_16	DVL2	7465	6.124087667558342E-5	-0.020152146	No	
row_17	AXIN1	7853	3.567096428014338E-5	-0.018909033	No	
row_18	GSK3B	9057	3.143558728879725E-7	-0.056388456	No	
row_19	FZD7	9587	-3.853253929264611E-6	-0.061883822	No	
row_20	APC	10265	-2.6869149223784916E-5	-0.0744024	No	
row_21	FZD5	12131	-2.654875279404223E-4	-0.14329642	No	
row_22	STK36	13494	-7.772415410727262E-4	-0.18832105	Yes	
row_23	APC2	13614	-8.405285188928246E-4	-0.17436025	Yes	
row_24	TCF7L2	13960	-0.0010768333449959755	-0.17112406	Yes	
row_25	FZD4	14083	-0.0011622300371527672	-0.15730561	Yes	
row_26	BMP4	14128	-0.0012023902963846922	-0.13978575	Yes	
row_27	SUFU	14592	-0.0016220813849940896	-0.14214915	Yes	
row_28	FZD6	14707	-0.0017647353233769536	-0.12795107	Yes	
row_29	PTCH1	14742	-0.001806797692552209	-0.10995666	Yes	
row_30	WNT7B	15439	-0.002883938141167164	-0.12337686	Yes	
row_31	FZD9	16560	-0.00665792403742671	-0.1569176	Yes	
row_32	WNT16	16731	-0.007691424805670977	-0.14537695	Yes	
row_33	FZD3	17187	-0.010991995222866535	-0.14736071	Yes	
row_34	TCF7L1	17557	-0.01519864797592163	-0.14526342	Yes	
row_35	WNT7A	18239	-0.027748269960284233	-0.15797181	Yes	
row_36	FZD1	18269	-0.02852952666580677	-0.13974014	Yes	
row_37	PTCH2	19036	-0.06974644958972931	-0.15648213	Yes	
row_38	GLI2	19309	-0.09812387079000473	-0.1497818	Yes	
row_39	BMP2	19613	-0.16901665925979614	-0.14455254	Yes	
row_40	WNT2B	19732	-0.21252353489398956	-0.13054428	Yes	
row_41	FZD8	19808	-0.24582935869693756	-0.114495486	Yes	
row_42	TCF7	20064	-0.4571731686592102	-0.10698844	Yes	
row_43	WNT4	20077	-0.4741852581501007	-0.08795004	Yes	
row_44	GLI3	20199	-0.6607246994972229	-0.07408414	Yes	
row_45	SHH	20201	-0.6638893485069275	-0.054523755	Yes	
row_46	GLI1	20263	-0.803897500038147	-0.03781061	Yes	
row_47	SMO	20345	-1.0087385177612305	-0.022046546	Yes	
row_48	WNT3A	20448	-1.3350062370300293	-0.007279019	Yes	
row_49	FZD10	20471	-1.437355637550354	0.011284835	Yes	
row_50	HHIP	21040	-19.937030792236328	0.003938758	Yes	
