NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	OXTR	27	10.95986557006836	0.0059076115	No	
row_1	NOS3	61	6.337966442108154	0.011529304	No	
row_2	PTGER3	66	5.624231338500977	0.018532937	No	
row_3	ERBB3	701	0.05754193663597107	-0.0044848737	No	
row_4	PLCB4	710	0.056028421968221664	0.0023281465	No	
row_5	PDE1A	755	0.05049716308712959	0.0074256556	No	
row_6	TNNC1	792	0.04595985636115074	0.01290439	No	
row_7	RYR3	1019	0.02756582759320736	0.009329037	No	
row_8	SLC25A6	1306	0.01704583317041397	0.0028944998	No	
row_9	SLC25A4	1478	0.013415536843240261	0.0019400673	No	
row_10	PDGFRB	1802	0.00863748136907816	-0.006257634	No	
row_11	ADORA2A	1926	0.007336877286434174	-0.0049247188	No	
row_12	ADRA1B	1992	0.006824223790317774	-8.279244E-4	No	
row_13	HTR2B	2398	0.004561133217066526	-0.012933179	No	
row_14	PHKA2	2586	0.0038174521178007126	-0.014650061	No	
row_15	ITPR2	2593	0.0038076466880738735	-0.0077417344	No	
row_16	PLCD3	2598	0.003789065172895789	-7.381019E-4	No	
row_17	PPP3CC	2727	0.003342555370181799	3.565481E-4	No	
row_18	PRKACB	2844	0.003054617205634713	0.0020230352	No	
row_19	VDAC1	3281	0.0020984963048249483	-0.011559465	No	
row_20	MYLK	3324	0.0020438784267753363	-0.0063666496	No	
row_21	CALM3	3422	0.0019062930950894952	-0.003794754	No	
row_22	P2RX5	3551	0.001720748608931899	-0.002700104	No	
row_23	P2RX6	3608	0.0016461933264508843	0.0018255681	No	
row_24	PDE1C	3669	0.0015770532190799713	0.006160628	No	
row_25	SPHK2	3759	0.0014814572641626	0.009113749	No	
row_26	EDNRB	4258	9.991108672693372E-4	-0.007423243	No	
row_27	ERBB2	4422	8.826314006000757E-4	-0.007996451	No	
row_28	PLCB3	4941	6.00415572989732E-4	-0.025486503	No	
row_29	MYLK3	5155	5.111199570819736E-4	-0.028442366	No	
row_30	CAMK2G	5342	4.437365278135985E-4	-0.030111594	No	
row_31	PRKACA	5543	3.849653003271669E-4	-0.032447968	No	
row_32	ITPR3	5912	2.920397382695228E-4	-0.042790055	No	
row_33	CHP1	6454	1.8420694686938077E-4	-0.061376132	No	
row_34	PPP3CA	6645	1.5546803479082882E-4	-0.06323597	No	
row_35	CALM2	6683	1.4808018750045449E-4	-0.05780489	No	
row_36	GNA11	6685	1.4804635429754853E-4	-0.0506583	No	
row_37	PRKCB	6960	1.1262904445175081E-4	-0.056521	No	
row_38	PTK2B	7330	7.205288420664147E-5	-0.06691074	No	
row_39	ITPKB	7619	4.9817397666629404E-5	-0.07344059	No	
row_40	BDKRB1	7711	4.392403570818715E-5	-0.07058277	No	
row_41	PPP3R1	8205	1.9434717614785768E-5	-0.086881496	No	
row_42	ATP2B4	8439	1.117426927521592E-5	-0.09079042	No	
row_43	PPID	8660	5.099371719552437E-6	-0.09407985	No	
row_44	SLC25A5	8675	4.7533976612612605E-6	-0.087552756	No	
row_45	VDAC3	8848	2.0729560219479026E-6	-0.08855484	No	
row_46	ADCY9	8930	1.0959133760479745E-6	-0.08522049	No	
row_47	GRIN2C	9006	6.16893601090851E-7	-0.081600234	No	
row_48	PHKB	9279	-2.230232496458484E-7	-0.087367624	No	
row_49	VDAC2	9409	-1.452686205993814E-6	-0.08632063	No	
row_50	GNAL	9562	-3.4835650239983806E-6	-0.08636965	No	
row_51	ATP2A2	9635	-4.931843250233214E-6	-0.08260643	No	
row_52	PDGFRA	9791	-8.637746759632137E-6	-0.082798414	No	
row_53	DRD1	9892	-1.13989490273525E-5	-0.08036948	No	
row_54	PHKG2	11035	-8.847899152897298E-5	-0.12759505	No	
row_55	P2RX4	11101	-9.570932888891548E-5	-0.12349826	No	
row_56	ADORA2B	11123	-9.780444815987721E-5	-0.11730473	No	
row_57	GNAQ	11378	-1.3238791143521667E-4	-0.12221437	No	
row_58	ITPR1	11428	-1.3950765423942357E-4	-0.11735512	No	
row_59	PRKX	11503	-1.5223852824419737E-4	-0.11368721	No	
row_60	PRKCG	11599	-1.6526460240129381E-4	-0.111020006	No	
row_61	ATP2B1	11663	-1.770914241205901E-4	-0.10682791	No	
row_62	CALM1	11828	-2.051672781817615E-4	-0.107448764	No	
row_63	TACR2	11866	-2.1184889192227274E-4	-0.102017686	No	
row_64	GNAS	11925	-2.2150418953970075E-4	-0.09758732	No	
row_65	PRKCA	11943	-2.2640007955487818E-4	-0.091203175	No	
row_66	TACR1	11984	-2.362086233915761E-4	-0.08591506	No	
row_67	ADCY7	12469	-3.5967095755040646E-4	-0.10178491	No	
row_68	SLC8A1	12562	-3.863598685711622E-4	-0.09897474	No	
row_69	ATP2B3	12723	-4.3799521517939866E-4	-0.09940499	No	
row_70	GNA15	13468	-7.641541305929422E-4	-0.12766464	No	
row_71	TRPC1	13499	-7.784945773892105E-4	-0.12189999	No	
row_72	LTB4R2	13615	-8.410588488914073E-4	-0.12018585	No	
row_73	PHKA1	13728	-9.158744942396879E-4	-0.11832875	No	
row_74	GRIN1	13844	-9.968876838684082E-4	-0.11661461	No	
row_75	CACNA1B	14173	-0.0012460444122552872	-0.12505057	No	
row_76	HRH1	14180	-0.0012559478636831045	-0.11814225	No	
row_77	PLCG1	14665	-0.0017085811123251915	-0.1340121	No	
row_78	PPP3CB	14670	-0.0017178966663777828	-0.12700847	No	
row_79	MYLK2	14866	-0.0019527279073372483	-0.12910657	No	
row_80	GRIN2D	14953	-0.0020629586651921272	-0.12601049	No	
row_81	ADCY3	15238	-0.0025093001313507557	-0.13234973	No	
row_82	ATP2A1	15283	-0.0025797667913138866	-0.12725222	No	
row_83	CALML5	15406	-0.002809366676956415	-0.12587164	No	
row_84	CACNA1C	15417	-0.002822062699124217	-0.11915393	No	
row_85	GNA14	15487	-0.0029732221737504005	-0.11524775	No	
row_86	ERBB4	15605	-0.0032378064934164286	-0.11362892	No	
row_87	GRPR	15667	-0.003394341329112649	-0.10934151	No	
row_88	CACNA1D	16455	-0.006173125933855772	-0.13965024	No	
row_89	CAMK2D	16749	-0.007816092111170292	-0.14641835	No	
row_90	PLCB2	16797	-0.008134033530950546	-0.1414638	No	
row_91	CD38	16832	-0.008327935822308064	-0.13588977	No	
row_92	ADCY4	17295	-0.01215685810893774	-0.15071124	No	
row_93	BDKRB2	17532	-0.014861692674458027	-0.15476312	Yes	
row_94	RYR1	17590	-0.015488802455365658	-0.15028511	Yes	
row_95	ITPKA	17714	-0.01712469384074211	-0.14895219	Yes	
row_96	ATP2A3	17801	-0.01871499978005886	-0.14585611	Yes	
row_97	CAMK2A	17873	-0.019818255677819252	-0.14204523	Yes	
row_98	PLCB1	17932	-0.02081899531185627	-0.13761488	Yes	
row_99	CACNA1A	18106	-0.02443947084248066	-0.1386646	Yes	
row_100	CAMK4	18492	-0.03612438589334488	-0.1498168	Yes	
row_101	PTAFR	18511	-0.03704610839486122	-0.14348032	Yes	
row_102	TNNC2	18660	-0.04294845089316368	-0.14333872	Yes	
row_103	TBXA2R	18674	-0.04369929060339928	-0.13676398	Yes	
row_104	AGTR1	18886	-0.05693311616778374	-0.13962452	Yes	
row_105	PLCD1	19108	-0.07535452395677567	-0.1429616	Yes	
row_106	ADCY1	19126	-0.0773995891213417	-0.13657747	Yes	
row_107	PHKG1	19349	-0.10457974672317505	-0.13996221	Yes	
row_108	SPHK1	19403	-0.11570077389478683	-0.13529357	Yes	
row_109	CHRNA7	19483	-0.13121497631072998	-0.13186392	Yes	
row_110	EGFR	19486	-0.13155418634414673	-0.12476499	Yes	
row_111	CAMK2B	19504	-0.13569502532482147	-0.118380845	Yes	
row_112	HTR2C	19519	-0.1389518678188324	-0.11185374	Yes	
row_113	CACNA1F	19556	-0.15175741910934448	-0.10637501	Yes	
row_114	PTGFR	19609	-0.16833101212978363	-0.101658724	Yes	
row_115	PLCD4	19750	-0.21792642772197723	-0.10113591	Yes	
row_116	PLCG2	19819	-0.24958623945713043	-0.09718208	Yes	
row_117	P2RX7	19880	-0.29044467210769653	-0.09284702	Yes	
row_118	F2R	20037	-0.42392176389694214	-0.09308665	Yes	
row_119	GRIN2A	20166	-0.6113491058349609	-0.091992006	Yes	
row_120	CACNA1I	20192	-0.6508283615112305	-0.08598909	Yes	
row_121	CHP2	20217	-0.7050451040267944	-0.079938516	Yes	
row_122	NOS2	20373	-1.0694255828857422	-0.080130495	Yes	
row_123	ADRA1D	20375	-1.0748416185379028	-0.072983906	Yes	
row_124	SLC8A2	20435	-1.2933268547058105	-0.06860119	Yes	
row_125	RYR2	20446	-1.3273478746414185	-0.06188348	Yes	
row_126	PLCE1	20478	-1.4804024696350098	-0.05616648	Yes	
