NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IDH1	1058	0.025226987898349762	-0.015671307	Yes	
row_1	SDHA	1511	0.012465872801840305	-0.0026154278	Yes	
row_2	PDHB	1843	0.00812112633138895	0.016176408	Yes	
row_3	OGDH	2284	0.005110633093863726	0.029801143	Yes	
row_4	DLD	3115	0.00241482793353498	0.024938084	Yes	
row_5	PDHA1	3140	0.0023601471912115812	0.05828313	Yes	
row_6	FH	3845	0.0013814348494634032	0.059393052	Yes	
row_7	MDH1	4017	0.0011871586320921779	0.08576962	Yes	
row_8	SUCLA2	4243	0.0010127321584150195	0.10958635	Yes	
row_9	CS	4335	9.428962366655469E-4	0.1397553	Yes	
row_10	ACLY	4826	6.43752224277705E-4	0.1510098	Yes	
row_11	SDHB	5126	5.251644179224968E-4	0.17131858	Yes	
row_12	ACO2	5241	4.752167733386159E-4	0.20039721	Yes	
row_13	IDH3B	5345	4.4256076216697693E-4	0.22999729	Yes	
row_14	PCK2	6510	1.761329040164128E-4	0.2093011	Yes	
row_15	SDHC	6513	1.7561552522238344E-4	0.24368905	Yes	
row_16	SUCLG2P2	7062	1.0213795758318156E-4	0.25219408	Yes	
row_17	DLAT	7862	3.521519829519093E-5	0.24880058	Yes	
row_18	SDHD	8417	1.19083988465718E-5	0.2570212	Yes	
row_19	IDH3G	8926	1.1169867093485664E-6	0.2674224	Yes	
row_20	ACO1	9459	-2.0065390344825573E-6	0.27668592	Yes	
row_21	SUCLG2	9551	-3.371878619873314E-6	0.30685484	Yes	
row_22	DLST	9741	-7.160074801504379E-6	0.33237815	Yes	
row_23	MDH2	9846	-1.0096867299580481E-5	0.36193082	Yes	
row_24	IDH2	10731	-5.7955570810008794E-5	0.35450792	No	
row_25	IDH3A	11927	-2.2317588445730507E-4	0.33234218	No	
row_26	SUCLG1	12316	-3.147182578686625E-4	0.34843194	No	
row_27	PC	15248	-0.0025261915288865566	0.24397184	No	
row_28	OGDHL	16860	-0.008544621989130974	0.20208578	No	
