NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	C4BPB	30	10.62229061126709	0.021304123	No	
row_1	SERPINE1	151	1.3116568326950073	0.0383388	No	
row_2	C3AR1	713	0.05562864616513252	0.03445317	No	
row_3	F3	886	0.03725128248333931	0.049021047	No	
row_4	TFPI	1996	0.006815437693148851	0.019139213	No	
row_5	CFI	2074	0.0062019401229918	0.038213734	No	
row_6	CD55	2580	0.003826226107776165	0.036984652	No	
row_7	PROS1	3704	0.001542107667773962	0.0064386795	No	
row_8	CFD	4780	6.670430302619934E-4	-0.021830253	No	
row_9	C8G	4790	6.619520136155188E-4	4.7007587E-4	No	
row_10	SERPING1	5244	4.735612601507455E-4	0.0017077855	No	
row_11	CD46	5322	4.4894241727888584E-4	0.020782307	No	
row_12	CR2	5371	4.355717683210969E-4	0.04123254	No	
row_13	BDKRB1	7711	4.392403570818715E-5	-0.04699844	No	
row_14	SERPINF2	9548	-3.335430164952413E-6	-0.11136794	No	
row_15	F8	9673	-5.706854153686436E-6	-0.09452302	No	
row_16	FGA	11069	-9.169855911750346E-5	-0.13797222	No	
row_17	MASP2	11824	-2.0439420768525451E-4	-0.15101345	No	
row_18	C5	12275	-3.019425203092396E-4	-0.14963342	No	
row_19	F10	13518	-7.880211342126131E-4	-0.18582456	No	
row_20	C4A	14340	-0.0013964030658826232	-0.20204414	No	
row_21	C1R	14383	-0.0014318251051008701	-0.18130928	No	
row_22	C5AR1	15305	-0.002622090047225356	-0.20227271	No	
row_23	C4B	15491	-0.002980257384479046	-0.18832153	No	
row_24	PROC	15585	-0.0031756481621414423	-0.17000602	No	
row_25	CD59	16243	-0.005207850132137537	-0.17844574	No	
row_26	PLAUR	17271	-0.011851660907268524	-0.20443763	Yes	
row_27	VWF	17458	-0.013999859802424908	-0.19053388	Yes	
row_28	BDKRB2	17532	-0.014861692674458027	-0.17126961	Yes	
row_29	PLAU	17882	-0.019947629421949387	-0.16509831	Yes	
row_30	C1S	17960	-0.021515704691410065	-0.1460238	Yes	
row_31	CFB	18114	-0.02467040903866291	-0.13055459	Yes	
row_32	PLAT	18121	-0.024777866899967194	-0.10811194	Yes	
row_33	C3	18248	-0.02791864052414894	-0.091361895	Yes	
row_34	F5	18377	-0.03190955892205238	-0.074706726	Yes	
row_35	A2M	18524	-0.03764994069933891	-0.05890545	Yes	
row_36	F12	18810	-0.0516875758767128	-0.0496981	Yes	
row_37	FGG	19401	-0.11552117764949799	-0.054959442	Yes	
row_38	F2R	20037	-0.42392176389694214	-0.06235551	Yes	
row_39	C2	20151	-0.5916125178337097	-0.044988766	Yes	
row_40	CFH	20218	-0.7070872187614441	-0.025392424	Yes	
row_41	SERPIND1	20332	-0.9780434370040894	-0.008025682	Yes	
row_42	THBD	20781	-5.084379196166992	-0.00655078	Yes	
row_43	SERPINA1	21083	-26.440444946289062	0.0018975558	Yes	
