NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MAOA	244	0.5326127409934998	0.014744131	No	
row_1	AOX1	1185	0.020628957077860832	-0.0035194193	No	
row_2	MGST1	1467	0.013583310879766941	0.009469993	No	
row_3	CYP3A7	1644	0.010446117259562016	0.027439013	No	
row_4	MGST3	2608	0.0037558183539658785	0.008084691	No	
row_5	GSTO1	5210	4.909508861601353E-4	-0.0889515	No	
row_6	ALDH3B1	5326	4.4803356286138296E-4	-0.06808957	No	
row_7	GSTK1	5380	4.333379620220512E-4	-0.044287294	No	
row_8	FMO5	6969	1.1151158105349168E-4	-0.09328213	No	
row_9	UGT1A6	8882	1.634416321394383E-6	-0.15764262	No	
row_10	MGST2	9365	-9.177241508950829E-7	-0.1541856	No	
row_11	FMO4	9780	-8.384728062083013E-6	-0.14750369	No	
row_12	GSTM4	12112	-2.614358381833881E-4	-0.23173517	No	
row_13	GSTM3	12199	-2.809328434523195E-4	-0.20949793	No	
row_14	CYP2D6	13392	-7.171048200689256E-4	-0.23971254	No	
row_15	GSTZ1	13968	-0.0010813693515956402	-0.24066602	No	
row_16	ADH5	14059	-0.0011495104990899563	-0.21861847	No	
row_17	GSTT2	14579	-0.00160679139662534	-0.21691616	No	
row_18	CYP2E1	14671	-0.0017184090102091432	-0.19491602	No	
row_19	CYP3A5	16206	-0.005073667038232088	-0.24134994	Yes	
row_20	ALDH1A3	16262	-0.005283213220536709	-0.2176425	Yes	
row_21	GSTP1	16640	-0.007115028332918882	-0.20920588	Yes	
row_22	ADH1C	17272	-0.011864381842315197	-0.21281515	Yes	
row_23	CYP2C8	17554	-0.015132952481508255	-0.19982575	Yes	
row_24	UGT1A7	17987	-0.0222468264400959	-0.19399747	Yes	
row_25	CYP3A4	18288	-0.029216356575489044	-0.18190914	Yes	
row_26	UGT1A4	18622	-0.041116390377283096	-0.17138581	Yes	
row_27	ALDH3B2	18852	-0.05488676577806473	-0.15593031	Yes	
row_28	CYP2B6	19841	-0.26491400599479675	-0.17647025	Yes	
row_29	GSTA4	20054	-0.44539913535118103	-0.16020852	Yes	
row_30	UGT2B7	20139	-0.5704798698425293	-0.13787642	Yes	
row_31	GSTO2	20351	-1.0232383012771606	-0.12156728	Yes	
row_32	UGT1A1	20774	-4.884371757507324	-0.115264766	Yes	
row_33	GSTM2	20791	-5.356425762176514	-0.08970777	Yes	
row_34	MAOB	20841	-6.597503662109375	-0.0657158	Yes	
row_35	UGT1A10	21044	-20.367130279541016	-0.048979826	Yes	
row_36	GSTM1	21064	-22.78509521484375	-0.023565106	Yes	
row_37	ALDH3A1	21071	-23.956127166748047	0.0024661338	Yes	
