NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TNXB	182	0.9027493000030518	0.004686842	No	
row_1	FN1	205	0.7494202256202698	0.016974995	No	
row_2	COL5A1	252	0.4841431677341461	0.028122952	No	
row_3	COL4A1	454	0.1386755257844925	0.031907137	No	
row_4	COL4A2	721	0.05424629524350166	0.032603294	No	
row_5	COL3A1	898	0.036309823393821716	0.037575185	No	
row_6	SDC2	1186	0.02059631235897541	0.037273668	No	
row_7	COL4A4	1503	0.012697218917310238	0.03559441	No	
row_8	ITGA5	1730	0.009368883445858955	0.038190894	No	
row_9	LAMC1	2419	0.004484293516725302	0.018838588	No	
row_10	ITGB1	3864	0.0013569926377385855	-0.03642991	No	
row_11	LAMA2	4108	0.0011211542878299952	-0.03464107	No	
row_12	GP6	4953	5.975604872219265E-4	-0.06140465	No	
row_13	COL11A1	6637	1.5688961138948798E-4	-0.1280276	No	
row_14	LAMB1	6961	1.1252181138843298E-4	-0.13003942	No	
row_15	THBS1	7885	3.374942025402561E-5	-0.16055615	No	
row_16	AGRN	7933	3.098466186202131E-5	-0.1494557	No	
row_17	COL6A1	8235	1.8241686120745726E-5	-0.15042233	No	
row_18	ITGA3	8795	2.6801008061738685E-6	-0.16364609	No	
row_19	DAG1	9182	3.805534359857532E-11	-0.16865091	No	
row_20	ITGB5	9297	-3.470589717835537E-7	-0.1607335	No	
row_21	CHAD	10558	-4.562399408314377E-5	-0.2072605	No	
row_22	SDC4	11029	-8.802865340840071E-5	-0.21625602	No	
row_23	ITGA1	12000	-2.399085060460493E-4	-0.24900563	No	
row_24	LAMB2	12014	-2.4346457212232053E-4	-0.2362899	No	
row_25	SV2C	12748	-4.4407128007151186E-4	-0.25778008	Yes	
row_26	ITGAV	12925	-5.04917639773339E-4	-0.25280818	Yes	
row_27	HMMR	12958	-5.170032964088023E-4	-0.24099512	Yes	
row_28	SDC3	13565	-8.149113855324686E-4	-0.25645176	Yes	
row_29	CD44	13664	-8.713456336408854E-4	-0.24777421	Yes	
row_30	LAMA1	14024	-0.0011212670942768455	-0.25149632	Yes	
row_31	COL1A1	14362	-0.0014119239058345556	-0.25417325	Yes	
row_32	COMP	14440	-0.0014867061981931329	-0.24449806	Yes	
row_33	SV2A	14646	-0.0016952030127868056	-0.2409039	Yes	
row_34	COL2A1	14749	-0.001814933610148728	-0.2324164	Yes	
row_35	ITGA2	14810	-0.0018882108852267265	-0.22193356	Yes	
row_36	LAMA3	14935	-0.0020390625577419996	-0.21449125	Yes	
row_37	LAMA5	14968	-0.0020818368066102266	-0.20267817	Yes	
row_38	COL11A2	15109	-0.0023121230769902468	-0.19599599	Yes	
row_39	HSPG2	15135	-0.00235897209495306	-0.18385035	Yes	
row_40	LAMB3	15284	-0.0025850168894976377	-0.17754823	Yes	
row_41	LAMC2	15610	-0.00324273225851357	-0.17965506	Yes	
row_42	ITGB6	15936	-0.0042063770815730095	-0.18176189	Yes	
row_43	ITGA2B	16284	-0.005363899748772383	-0.1849139	Yes	
row_44	COL1A2	16422	-0.00600305013358593	-0.17808919	Yes	
row_45	GP1BA	16527	-0.006509818602353334	-0.1696967	Yes	
row_46	COL6A3	16587	-0.006806189194321632	-0.15916637	Yes	
row_47	THBS3	16782	-0.008027425967156887	-0.15504962	Yes	
row_48	ITGB7	17314	-0.012370645999908447	-0.16694313	Yes	
row_49	LAMA4	17400	-0.013261759653687477	-0.157648	Yes	
row_50	VWF	17458	-0.013999859802424908	-0.14702263	Yes	
row_51	COL5A2	17487	-0.014271612279117107	-0.13501953	Yes	
row_52	COL4A6	18049	-0.02344435825943947	-0.14833829	Yes	
row_53	VTN	18208	-0.027178483083844185	-0.14251125	Yes	
row_54	CD36	18688	-0.04429588094353676	-0.15193434	Yes	
row_55	ITGB4	18804	-0.05121807008981705	-0.14406446	Yes	
row_56	TNC	18846	-0.0543447881937027	-0.13267896	Yes	
row_57	ITGB3	18955	-0.062447983771562576	-0.1244765	Yes	
row_58	SDC1	18974	-0.06351364403963089	-0.11199832	Yes	
row_59	LAMB4	19100	-0.07457076758146286	-0.10460351	Yes	
row_60	THBS4	19348	-0.1045549288392067	-0.1030047	Yes	
row_61	ITGA6	19432	-0.12226635217666626	-0.09361454	Yes	
row_62	ITGA9	19440	-0.12341394275426865	-0.08061377	Yes	
row_63	ITGA11	19781	-0.23115742206573486	-0.08343322	Yes	
row_64	ITGA7	19925	-0.31667494773864746	-0.07689356	Yes	
row_65	CD47	20084	-0.4847266674041748	-0.07106652	Yes	
row_66	COL5A3	20371	-1.065622091293335	-0.07132053	Yes	
row_67	ITGB8	20403	-1.1411710977554321	-0.05945995	Yes	
row_68	THBS2	20550	-1.978751540184021	-0.05306281	Yes	
row_69	RELN	20647	-2.924590587615967	-0.044290267	Yes	
row_70	ITGA10	20785	-5.253807544708252	-0.037465554	Yes	
row_71	COL6A2	20893	-8.98158073425293	-0.029215598	Yes	
row_72	LAMC3	20930	-10.515084266662598	-0.017592559	Yes	
row_73	SPP1	21023	-17.968158721923828	-0.00862998	Yes	
row_74	ITGA4	21077	-24.921140670776367	0.0021854201	Yes	
