NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CSF1R	113	2.3023736476898193	0.012180021	No	
row_1	CSF2RA	310	0.2900221347808838	0.02042023	No	
row_2	IL9R	608	0.07831057906150818	0.023866212	No	
row_3	CD5	1031	0.026937086135149002	0.021378744	No	
row_4	ITGA5	1730	0.009368883445858955	0.0057902182	No	
row_5	IL1R2	1832	0.008275941014289856	0.01853985	No	
row_6	TNF	2293	0.005084556993097067	0.014248613	No	
row_7	CD55	2580	0.003826226107776165	0.018216738	No	
row_8	IL7	2811	0.003133054357022047	0.02484305	No	
row_9	IL6	4110	0.0011205067858099937	-0.019226037	No	
row_10	CD33	4275	9.906566701829433E-4	-0.009466863	No	
row_11	KIT	4900	6.13956362940371E-4	-0.021542788	No	
row_12	CR2	5371	4.355717683210969E-4	-0.0263087	No	
row_13	CD34	6201	2.303149231011048E-4	-0.04811548	No	
row_14	CD9	6585	1.6409650561399758E-4	-0.048751716	No	
row_15	IL1R1	7682	4.618354432750493E-5	-0.08323234	No	
row_16	MME	8118	2.324468550796155E-5	-0.086336896	No	
row_17	CD8A	8783	2.8451195248635486E-6	-0.10031152	No	
row_18	ITGA3	8795	2.6801008061738685E-6	-0.0832898	No	
row_19	HLA-DRA	9417	-1.5596255025229766E-6	-0.09522332	No	
row_20	IL4R	10914	-7.420149631798267E-5	-0.148691	No	
row_21	ITGA1	12000	-2.399085060460493E-4	-0.18264948	No	
row_22	CSF3R	12537	-3.800925042014569E-4	-0.19054826	Yes	
row_23	ITGAM	12632	-4.083547100890428E-4	-0.17746635	Yes	
row_24	KITLG	12820	-4.714479437097907E-4	-0.16879894	Yes	
row_25	CD4	12993	-5.306456005200744E-4	-0.1594195	Yes	
row_26	TFRC	13056	-5.548646440729499E-4	-0.14481863	Yes	
row_27	CD44	13664	-8.713456336408854E-4	-0.1560876	Yes	
row_28	CSF1	13801	-9.606716339476407E-4	-0.14499934	Yes	
row_29	IL3RA	13871	-0.0010188888991251588	-0.13073075	Yes	
row_30	IL6R	14413	-0.0014555534580722451	-0.13886686	Yes	
row_31	EPOR	14793	-0.0018687945557758212	-0.13931322	Yes	
row_32	ITGA2	14810	-0.0018882108852267265	-0.12252884	Yes	
row_33	FLT3LG	15613	-0.0032459471840411425	-0.14305401	Yes	
row_34	CD59	16243	-0.005207850132137537	-0.15536727	Yes	
row_35	ITGA2B	16284	-0.005363899748772383	-0.13972211	Yes	
row_36	GP1BA	16527	-0.006509818602353334	-0.13366541	Yes	
row_37	CD38	16832	-0.008327935822308064	-0.1305517	Yes	
row_38	IL11RA	17009	-0.009544438682496548	-0.121362135	Yes	
row_39	MS4A1	17453	-0.013975998386740685	-0.12484642	Yes	
row_40	ANPEP	17816	-0.018862131983041763	-0.124485835	Yes	
row_41	HLA-DRB5	17916	-0.020633874461054802	-0.11164127	Yes	
row_42	IL7R	18093	-0.024205200374126434	-0.102451704	Yes	
row_43	CD36	18688	-0.04429588094353676	-0.113103606	Yes	
row_44	ITGB3	18955	-0.062447983771562576	-0.108186126	Yes	
row_45	IL11	19038	-0.0697835311293602	-0.094534606	Yes	
row_46	CD14	19431	-0.12212053686380386	-0.09559805	Yes	
row_47	ITGA6	19432	-0.12226635217666626	-0.07805419	Yes	
row_48	HLA-DRB1	19671	-0.18773441016674042	-0.071807615	Yes	
row_49	CD22	19983	-0.37430450320243835	-0.06902618	Yes	
row_50	TPO	20261	-0.8007356524467468	-0.06463085	Yes	
row_51	IL1A	20283	-0.8487224578857422	-0.04808381	Yes	
row_52	CSF2	20467	-1.4093445539474487	-0.03922652	Yes	
row_53	CD37	20848	-6.911953926086426	-0.03972035	Yes	
row_54	IL1B	21054	-21.20761489868164	-0.031907346	Yes	
row_55	ITGA4	21077	-24.921140670776367	-0.015407775	Yes	
row_56	CSF3	21120	-61.63316345214844	1.4244547E-4	Yes	
