NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MGST1	1467	0.013583310879766941	-0.044578828	No	
row_1	CYP3A7	1644	0.010446117259562016	-0.02792639	No	
row_2	MGST3	2608	0.0037558183539658785	-0.048600834	No	
row_3	DHDH	4149	0.001086632488295436	-0.096642	No	
row_4	GSTO1	5210	4.909508861601353E-4	-0.12191709	No	
row_5	ALDH3B1	5326	4.4803356286138296E-4	-0.10237146	No	
row_6	GSTK1	5380	4.333379620220512E-4	-0.079885215	No	
row_7	CYP1A1	6937	1.1555074161151424E-4	-0.12868525	No	
row_8	UGT1A6	8882	1.634416321394383E-6	-0.19588788	No	
row_9	MGST2	9365	-9.177241508950829E-7	-0.1937488	No	
row_10	EPHX1	9863	-1.0603435839584563E-5	-0.19232118	No	
row_11	GSTM4	12112	-2.614358381833881E-4	-0.27394232	No	
row_12	GSTM3	12199	-2.809328434523195E-4	-0.25302124	No	
row_13	GSTZ1	13968	-0.0010813693515956402	-0.3118763	No	
row_14	ADH5	14059	-0.0011495104990899563	-0.29114494	No	
row_15	GSTT2	14579	-0.00160679139662534	-0.29076076	No	
row_16	CYP2E1	14671	-0.0017184090102091432	-0.27007684	No	
row_17	CYP3A5	16206	-0.005073667038232088	-0.31783342	Yes	
row_18	ALDH1A3	16262	-0.005283213220536709	-0.29544204	Yes	
row_19	GSTP1	16640	-0.007115028332918882	-0.2883229	Yes	
row_20	ADH1C	17272	-0.011864381842315197	-0.2932508	Yes	
row_21	CYP2C8	17554	-0.015132952481508255	-0.28157845	Yes	
row_22	UGT1A7	17987	-0.0222468264400959	-0.2770679	Yes	
row_23	CYP3A4	18288	-0.029216356575489044	-0.2662967	Yes	
row_24	CYP2S1	18568	-0.03946210443973541	-0.25452948	Yes	
row_25	UGT1A4	18622	-0.041116390377283096	-0.23204324	Yes	
row_26	ALDH3B2	18852	-0.05488676577806473	-0.21790455	Yes	
row_27	CYP2B6	19841	-0.26491400599479675	-0.23976474	Yes	
row_28	GSTA4	20054	-0.44539913535118103	-0.22481975	Yes	
row_29	UGT2B7	20139	-0.5704798698425293	-0.20380382	Yes	
row_30	GSTO2	20351	-1.0232383012771606	-0.1888114	Yes	
row_31	AKR1C3	20619	-2.588881254196167	-0.17647503	Yes	
row_32	AKR1C1	20737	-4.174595832824707	-0.15702426	Yes	
row_33	UGT1A1	20774	-4.884371757507324	-0.13373172	Yes	
row_34	GSTM2	20791	-5.356425762176514	-0.109490596	Yes	
row_35	CYP1B1	20810	-5.954624652862549	-0.08534432	Yes	
row_36	UGT1A10	21044	-20.367130279541016	-0.07139535	Yes	
row_37	AKR1C2	21047	-20.575708389282227	-0.04649021	Yes	
row_38	GSTM1	21064	-22.78509521484375	-0.022249082	Yes	
row_39	ALDH3A1	21071	-23.956127166748047	0.002466343	Yes	
