NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ALG14	1370	0.015609384514391422	-0.043257546	Yes	
row_1	DPM3	1861	0.007957649417221546	-0.0447654	Yes	
row_2	MAN2A1	2371	0.004693635273724794	-0.047174674	Yes	
row_3	ALG1	2708	0.003407159587368369	-0.041376334	Yes	
row_4	ALG8	2771	0.0032451997976750135	-0.022578659	Yes	
row_5	MGAT1	2801	0.0031549998093396425	-0.0022153696	Yes	
row_6	MAN1A2	3249	0.0021705562248826027	-0.0016831841	Yes	
row_7	DDOST	3346	0.0019990515429526567	0.015501435	Yes	
row_8	GANAB	3970	0.0012416004901751876	0.0076836823	Yes	
row_9	MGAT2	4087	0.001134464400820434	0.023919445	Yes	
row_10	MAN2A2	4287	9.821082931011915E-4	0.03621745	Yes	
row_11	DPM1	4374	9.104658383876085E-4	0.0538765	Yes	
row_12	ALG12	4491	8.392505696974695E-4	0.070112266	Yes	
row_13	STT3A	4720	6.979196914471686E-4	0.08103443	Yes	
row_14	ALG9	4762	6.735281203873456E-4	0.1008284	Yes	
row_15	DPM2	4811	6.517447181977332E-4	0.12029028	Yes	
row_16	ALG3	4915	6.070808740332723E-4	0.13714279	Yes	
row_17	MAN1B1	5280	4.623749409802258E-4	0.14161274	Yes	
row_18	MOGS	5549	3.8244304596446455E-4	0.1506372	Yes	
row_19	MGAT4A	5564	3.7959791370667517E-4	0.17171212	Yes	
row_20	ALG5	5866	3.00759042147547E-4	0.17917097	Yes	
row_21	DAD1	5961	2.803497773129493E-4	0.19645046	Yes	
row_22	DPAGT1	6302	2.1076710254419595E-4	0.20205903	Yes	
row_23	MAN1C1	6414	1.9024693756364286E-4	0.21853201	Yes	
row_24	B4GALT1	6698	1.4552072389051318E-4	0.22684482	Yes	
row_25	ALG11	7238	8.137042459566146E-5	0.22301227	Yes	
row_26	MGAT5	7423	6.395312084350735E-5	0.23602192	Yes	
row_27	STT3B	8055	2.569743628555443E-5	0.22782461	Yes	
row_28	ALG10	8203	1.9490458726068027E-5	0.24258965	Yes	
row_29	DOLPP1	8391	1.264369893760886E-5	0.25545698	Yes	
row_30	RPN2	8494	9.754265192896128E-6	0.27235693	Yes	
row_31	B4GALT3	8542	8.452257134194952E-6	0.29186624	Yes	
row_32	MGAT4B	8756	3.2459690828545718E-6	0.30350006	Yes	
row_33	ALG13	8776	2.9653187993972097E-6	0.32433778	Yes	
row_34	RPN1	9211	-2.0779447496011016E-8	0.32548672	Yes	
row_35	RFT1	9298	-3.471026843726577E-7	0.34314576	Yes	
row_36	ALG6	9853	-1.0427561392134521E-5	0.33860156	No	
row_37	ALG2	10516	-4.159185118624009E-5	0.32893354	No	
row_38	MAN1A1	11558	-1.5941518358886242E-4	0.3012847	No	
row_39	ALG10B	12595	-3.9742287481203675E-4	0.27387306	No	
row_40	B4GALT2	13236	-6.304056150838733E-4	0.26524878	No	
row_41	MGAT5B	13839	-9.91653767414391E-4	0.25842732	No	
row_42	FUT8	17142	-0.010638716630637646	0.12351022	No	
row_43	TUSC3	17452	-0.013940892182290554	0.13058951	No	
row_44	MGAT3	18628	-0.041523527354002	0.09658332	No	
row_45	ST6GAL1	19987	-0.38313865661621094	0.05389509	No	
