NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	UBE2J1	171	1.0666261911392212	0.0013883135	Yes	
row_1	PINK1	199	0.7748714089393616	0.009627571	Yes	
row_2	NDUFC2	533	0.09977064281702042	0.0033085723	Yes	
row_3	NDUFA3	543	0.0970698893070221	0.012404198	Yes	
row_4	GPR37	676	0.06306140869855881	0.015647976	Yes	
row_5	SLC25A6	1306	0.01704583317041397	-0.00475352	Yes	
row_6	SLC25A4	1478	0.013415536843240261	-0.0033652065	Yes	
row_7	SDHA	1511	0.012465872801840305	0.0046361713	Yes	
row_8	UBB	1601	0.010882451198995113	0.009925717	Yes	
row_9	UQCR11	2114	0.005979023873806	-0.0049093864	Yes	
row_10	NDUFB3	2366	0.004710112698376179	-0.0073271533	Yes	
row_11	UBE2J2	2508	0.004121183417737484	-0.00451156	Yes	
row_12	PARK7	2568	0.003879227675497532	0.0022052662	Yes	
row_13	CYCS	2842	0.0030644081998616457	-0.0012591728	Yes	
row_14	NDUFS3	3039	0.0025654786732047796	-0.0010602594	Yes	
row_15	NDUFS6	3180	0.0022770296782255173	0.0018029101	Yes	
row_16	VDAC1	3281	0.0020984963048249483	0.0065691196	Yes	
row_17	NDUFB2	3360	0.001982632791623473	0.012382002	Yes	
row_18	COX7A2L	3381	0.0019556134939193726	0.02095429	Yes	
row_19	NDUFV3	3493	0.0017981082201004028	0.025197165	Yes	
row_20	COX7C	3834	0.0013922840589657426	0.018545134	Yes	
row_21	COX6A1	3856	0.0013693327782675624	0.027069848	Yes	
row_22	NDUFV2	3952	0.001260212971828878	0.032073937	Yes	
row_23	COX8A	3965	0.0012467955239117146	0.041026834	Yes	
row_24	NDUFA2	4089	0.0011319834738969803	0.044698797	Yes	
row_25	COX6B1	4172	0.0010670069605112076	0.050321374	Yes	
row_26	UQCRQ	4179	0.001063188654370606	0.05955973	Yes	
row_27	NDUFS7	4425	8.794693276286125E-4	0.057427417	Yes	
row_28	UQCRB	4479	8.462316473014653E-4	0.0644297	Yes	
row_29	NDUFA6	4485	8.413824834860861E-4	0.07371563	Yes	
row_30	NDUFB4	4890	6.167528335936368E-4	0.064018734	Yes	
row_31	UBE2L3	5074	5.428469739854336E-4	0.06483614	Yes	
row_32	NDUFA1	5112	5.299582262523472E-4	0.072599635	Yes	
row_33	SDHB	5126	5.251644179224968E-4	0.081504956	Yes	
row_34	NDUFAB1	5203	4.936102195642889E-4	0.08741299	Yes	
row_35	CASP9	5213	4.900878411717713E-4	0.096508615	Yes	
row_36	NDUFB1	5358	4.3925450881943107E-4	0.09918148	Yes	
row_37	UBA1	5547	3.835988463833928E-4	0.099761	Yes	
row_38	NDUFB8	5595	3.70656925952062E-4	0.10704874	Yes	
row_39	UQCRC1	5771	3.2292865216732025E-4	0.10824675	Yes	
row_40	COX7B2	5836	3.0813622288405895E-4	0.114725694	Yes	
row_41	NDUFA10	6090	2.546238829381764E-4	0.11221278	Yes	
row_42	UBE2G2	6176	2.369802532484755E-4	0.11769263	Yes	
row_43	NDUFA9	6182	2.354764292249456E-4	0.12697856	Yes	
row_44	HTRA2	6199	2.30847712373361E-4	0.13574114	Yes	
row_45	MT-ND3	6391	1.9328466441947967E-4	0.13617794	Yes	
row_46	UBE2G1	6400	1.9174168119207025E-4	0.14532115	Yes	
row_47	NDUFB5	6433	1.8727242422755808E-4	0.15332252	Yes	
row_48	SDHC	6513	1.7561552522238344E-4	0.15908782	Yes	
row_49	CASP3	6641	1.5627442917320877E-4	0.1625695	Yes	
row_50	UQCRFS1	6663	1.5142587653826922E-4	0.1710942	Yes	
row_51	NDUFS1	6686	1.479981729062274E-4	0.17957133	Yes	
row_52	NDUFB10	6697	1.4552564243786037E-4	0.18861939	Yes	
row_53	NDUFB7	7075	1.000610864139162E-4	0.18020704	Yes	
row_54	NDUFA7	7221	8.275954314740375E-5	0.18283233	Yes	
row_55	NDUFA8	7376	6.715863128192723E-5	0.18502943	Yes	
row_56	UQCRC2	7496	5.8524656196823344E-5	0.18889171	Yes	
row_57	NDUFA4	7831	3.7184134271228686E-5	0.18252513	Yes	
row_58	CYC1	8064	2.5366927729919553E-5	0.1810113	Yes	
row_59	SDHD	8417	1.19083988465718E-5	0.17378837	Yes	
row_60	PPID	8660	5.099371719552437E-6	0.17179878	Yes	
row_61	SLC25A5	8675	4.7533976612612605E-6	0.18065652	Yes	
row_62	VDAC3	8848	2.0729560219479026E-6	0.18199727	Yes	
row_63	NDUFB9	8934	1.0604697990856948E-6	0.18747711	Yes	
row_64	NDUFS8	8944	1.0037753099823021E-6	0.19657274	Yes	
row_65	UQCR10	9107	1.0054218080313149E-7	0.19838923	Yes	
row_66	APAF1	9193	-4.4656518483066066E-9	0.20386909	Yes	
row_67	COX5A	9305	-3.9691039432909747E-7	0.20811196	Yes	
row_68	NDUFC1	9333	-5.704278578377853E-7	0.21635123	Yes	
row_69	UBE2L6	9372	-9.73593500930292E-7	0.22406714	Yes	
row_70	VDAC2	9409	-1.452686205993814E-6	0.23187822	Yes	
row_71	COX5B	9680	-5.768307801190531E-6	0.2285565	Yes	
row_72	NDUFS2	10105	-1.9209866877645254E-5	0.21790808	Yes	
row_73	COX7A2	10107	-1.9316590623930097E-5	0.22738433	Yes	
row_74	COX4I1	10222	-2.473367567290552E-5	0.23148447	Yes	
row_75	NDUFS4	10896	-7.176364306360483E-5	0.20898964	Yes	
row_76	MT-CYB	11062	-9.124053758569062E-5	0.2106634	Yes	
row_77	MT-ATP8	11107	-9.621167555451393E-5	0.21809386	Yes	
row_78	UQCRHL	11118	-9.762061381479725E-5	0.22714192	Yes	
row_79	NDUFA5	11261	-1.1589912901399657E-4	0.22990993	Yes	
row_80	UQCRH	11308	-1.2321029498707503E-4	0.23724525	Yes	
row_81	MT-ND2	11312	-1.2395721569191664E-4	0.24662633	Yes	
row_82	NDUFS5	11464	-1.460027415305376E-4	0.24896616	Yes	
row_83	NDUFB6	11557	-1.5934178372845054E-4	0.254113	Yes	
row_84	COX7B	12048	-2.4932794622145593E-4	0.24032454	No	
row_85	MT-ATP6	12707	-4.338578728493303E-4	0.21854335	No	
row_86	COX6C	13212	-6.199401686899364E-4	0.20408885	No	
row_87	MT-CO2	13594	-8.300936897285283E-4	0.1954862	No	
row_88	UBA7	13956	-0.0010740018915385008	0.18783508	No	
row_89	MT-CO3	14023	-0.0011210734955966473	0.19421887	No	
row_90	MT-ND1	14748	-0.001812287257052958	0.16929765	No	
row_91	SNCA	15060	-0.0022213261108845472	0.16402532	No	
row_92	NDUFV1	15151	-0.0023795408196747303	0.1692673	No	
row_93	MT-ND4L	15838	-0.003907075617462397	0.14615397	No	
row_94	MT-ND6	16425	-0.006014145910739899	0.12779824	No	
row_95	MT-ND4	16534	-0.006545375566929579	0.13218385	No	
row_96	MT-ND5	16641	-0.007122628856450319	0.1366646	No	
row_97	LRRK2	17337	-0.01258451770991087	0.11312308	No	
row_98	MT-CO1	18202	-0.02702147886157036	0.081541225	No	
row_99	NDUFA4L2	18395	-0.03270111232995987	0.08193044	No	
row_100	SNCAIP	19526	-0.1409730166196823	0.037693374	No	
row_101	SLC18A2	19668	-0.1870318353176117	0.040508967	No	
row_102	TH	19670	-0.18744371831417084	0.0499852	No	
row_103	COX6B2	20854	-7.1007561683654785	0.0032265994	No	
row_104	UCHL1	20996	-15.291243553161621	0.006042193	No	
