NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDA	373	0.20399603247642517	-0.006865315	Yes	
row_1	RRM2B	819	0.04258168488740921	-0.017153986	Yes	
row_2	ITPA	1211	0.019676532596349716	-0.02487514	Yes	
row_3	POLR3B	1359	0.01583220437169075	-0.020994924	Yes	
row_4	CTPS1	1831	0.008290545083582401	-0.032519806	Yes	
row_5	POLD2	2111	0.005999014712870121	-0.03491574	Yes	
row_6	POLD1	2131	0.005897495895624161	-0.02494956	Yes	
row_7	POLR2G	2424	0.004463644698262215	-0.027963601	Yes	
row_8	POLR1D	2623	0.0036851544864475727	-0.026508262	Yes	
row_9	DCTD	2653	0.003594660433009267	-0.017017547	Yes	
row_10	TYMS	2711	0.0034008300863206387	-0.008858139	Yes	
row_11	POLR1C	3069	0.0025179898366332054	-0.014962708	Yes	
row_12	PRIM2	3124	0.002397158183157444	-0.006660659	Yes	
row_13	POLR2H	3285	0.0020950734615325928	-0.0033985488	Yes	
row_14	TXNRD1	3427	0.001898075919598341	7.669465E-4	Yes	
row_15	POLR2I	3443	0.0018687836127355695	0.010923313	Yes	
row_16	PNP	3615	0.0016398817533627152	0.01366241	Yes	
row_17	POLR3H	3838	0.0013890558620914817	0.013976632	Yes	
row_18	ENTPD6	3915	0.0013014852302148938	0.021232655	Yes	
row_19	UPP1	4046	0.0011632319074124098	0.025921164	Yes	
row_20	POLR2E	4070	0.0011457577347755432	0.03569716	Yes	
row_21	NT5C2	4294	9.749713353812695E-4	0.03596383	Yes	
row_22	UCK2	4352	9.2859729193151E-4	0.04412324	Yes	
row_23	ENTPD4	4436	8.74265271704644E-4	0.05104644	Yes	
row_24	NME2	4765	6.724776467308402E-4	0.04632072	Yes	
row_25	NME1	5073	5.430020391941071E-4	0.04259348	Yes	
row_26	POLA2	5172	5.032551125623286E-4	0.04880348	Yes	
row_27	POLR2C	5504	3.9402159745804965E-4	0.04393512	Yes	
row_28	CMPK2	5522	3.8997980300337076E-4	0.053996395	Yes	
row_29	POLA1	5592	3.712845500558615E-4	0.061585244	Yes	
row_30	POLR3K	5685	3.458073770161718E-4	0.06808052	Yes	
row_31	PNPT1	5810	3.122401249129325E-4	0.07305431	Yes	
row_32	CTPS2	5827	3.091986000072211E-4	0.08316313	Yes	
row_33	POLR1E	5944	2.834931365214288E-4	0.08851729	Yes	
row_34	POLR2L	5977	2.7772728935815394E-4	0.097865365	Yes	
row_35	POLR3C	6284	2.141499862773344E-4	0.09418567	Yes	
row_36	NT5C	6306	2.0972517086192966E-4	0.10405676	Yes	
row_37	TK1	6376	1.9554630853235722E-4	0.11164561	Yes	
row_38	RRM1	6450	1.8489531066734344E-4	0.119044274	Yes	
row_39	AK3	6483	1.7950990877579898E-4	0.12839235	Yes	
row_40	UMPS	6651	1.5363017155323178E-4	0.13132162	Yes	
row_41	UPB1	6706	1.4437545905821025E-4	0.13962369	Yes	
row_42	NME6	7294	7.509869465138763E-5	0.1225834	Yes	
row_43	CMPK1	7691	4.53544344054535E-5	0.11462451	Yes	
row_44	POLE	7947	3.031251071661245E-5	0.11336969	Yes	
row_45	ENTPD1	8283	1.594507739355322E-5	0.10831115	Yes	
row_46	PRIM1	8289	1.5712663298472762E-5	0.118942976	Yes	
row_47	CANT1	8599	6.63117225485621E-6	0.11512064	Yes	
row_48	ENTPD5	8676	4.738836196338525E-6	0.122376665	Yes	
row_49	POLE3	8796	2.6752290978038218E-6	0.12758818	Yes	
row_50	DPYD	8806	2.5664028271421557E-6	0.13802983	Yes	
row_51	DTYMK	9077	2.3764903289702488E-7	0.13606182	Yes	
row_52	POLE4	9238	-8.343498336671473E-8	0.13932393	Yes	
row_53	POLR2D	9451	-1.948638100657263E-6	0.14011362	Yes	
row_54	NT5C3A	9499	-2.518587734812172E-6	0.14874849	Yes	
row_55	POLR2A	9564	-3.4991137454198906E-6	0.15657507	Yes	
row_56	POLR2K	9604	-4.331948730396107E-6	0.16559032	Yes	
row_57	POLR2F	9787	-8.551036444259807E-6	0.1678064	Yes	
row_58	POLR3GL	10249	-2.586063237686176E-5	0.156757	Yes	
row_59	DHODH	10637	-5.058263923274353E-5	0.14922602	Yes	
row_60	RRM2	10649	-5.124020390212536E-5	0.15957257	Yes	
row_61	CAD	10658	-5.223351763561368E-5	0.17006177	Yes	
