NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CYP3A7	1644	0.010446117259562016	-0.04853987	No	
row_1	RPE65	2949	0.0027823983691632748	-0.08095836	No	
row_2	CYP1A1	6937	1.1555074161151424E-4	-0.24059354	No	
row_3	DGAT1	7146	9.222276275977492E-5	-0.22104426	No	
row_4	DGAT2	8296	1.5601726772729307E-5	-0.2461133	No	
row_5	RDH11	8328	1.450495528843021E-5	-0.21817142	No	
row_6	RETSAT	8333	1.438574145140592E-5	-0.18894932	No	
row_7	UGT1A6	8882	1.634416321394383E-6	-0.18552144	No	
row_8	CYP26B1	12140	-2.6745922514237463E-4	-0.31054306	No	
row_9	PNPLA4	13134	-5.890873144380748E-4	-0.3282152	No	
row_10	DHRS4	13893	-0.0010341238230466843	-0.33474466	No	
row_11	ADH5	14059	-0.0011495104990899563	-0.3131565	No	
row_12	LRAT	15806	-0.0038134315982460976	-0.36653277	Yes	
row_13	CYP3A5	16206	-0.005073667038232088	-0.35603994	Yes	
row_14	RDH10	16588	-0.006814729422330856	-0.3446936	Yes	
row_15	DHRS4L2	17236	-0.011473937891423702	-0.3459599	Yes	
row_16	ADH1C	17272	-0.011864381842315197	-0.31820768	Yes	
row_17	CYP2C8	17554	-0.015132952481508255	-0.30211976	Yes	
row_18	UGT1A7	17987	-0.0222468264400959	-0.29319164	Yes	
row_19	DHRS3	18256	-0.02816636860370636	-0.27648732	Yes	
row_20	CYP3A4	18288	-0.029216356575489044	-0.24854545	Yes	
row_21	UGT1A4	18622	-0.041116390377283096	-0.23492315	Yes	
row_22	ALDH1A2	18805	-0.05124366283416748	-0.21414107	Yes	
row_23	RDH12	18836	-0.05389804765582085	-0.18615179	Yes	
row_24	RDH5	19091	-0.07377523928880692	-0.16878363	Yes	
row_25	BCO1	19465	-0.129087433218956	-0.15705799	Yes	
row_26	CYP26A1	19522	-0.1396813541650772	-0.1303015	Yes	
row_27	RDH16	19836	-0.26103347539901733	-0.1157309	Yes	
row_28	CYP2B6	19841	-0.26491400599479675	-0.086508796	Yes	
row_29	ALDH1A1	19862	-0.2757281959056854	-0.05804535	Yes	
row_30	DHRS9	20112	-0.519325852394104	-0.040440127	Yes	
row_31	UGT2B7	20139	-0.5704798698425293	-0.012261174	Yes	
row_32	UGT1A1	20774	-4.884371757507324	-0.01291105	Yes	
row_33	UGT1A10	21044	-20.367130279541016	0.0037458548	Yes	
