NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPS4Y1	33	10.361989974975586	0.010059317	Yes	
row_1	RPS27L	460	0.134430393576622	0.0014381511	Yes	
row_2	RPS10	1386	0.015289111994206905	-0.030901998	Yes	
row_3	RPL28	1463	0.0136316679418087	-0.022886602	Yes	
row_4	RPL13A	1477	0.013439574278891087	-0.011876625	Yes	
row_5	RPS11	1495	0.012966463342308998	-0.0010567796	Yes	
row_6	RPL21	1525	0.01216202974319458	0.00919267	Yes	
row_7	RPL22L1	1556	0.011608626693487167	0.019394586	Yes	
row_8	RPL36AL	1942	0.007207064423710108	0.012722274	Yes	
row_9	RPS9	2014	0.006647380068898201	0.020975335	Yes	
row_10	RPS3	2310	0.0050004892982542515	0.018580997	Yes	
row_11	RPS26	2313	0.0049927132204174995	0.030113839	Yes	
row_12	RPL24	2793	0.003170410171151161	0.018973421	Yes	
row_13	RPL18	3002	0.0026545748114585876	0.020714458	Yes	
row_14	RPL17	3025	0.0025951233692467213	0.031296637	Yes	
row_15	RPLP0	3099	0.0024649042170494795	0.03945463	Yes	
row_16	RPL10A	3103	0.0024555677082389593	0.05093994	Yes	
row_17	RPS19	3185	0.0022721393033862114	0.05871767	Yes	
row_18	RPS2	3323	0.002044714754447341	0.06383355	Yes	
row_19	RPL36	3426	0.001899041933938861	0.07061309	Yes	
row_20	RPSA	3461	0.0018414132064208388	0.08062487	Yes	
row_21	RPL11	3683	0.0015660261269658804	0.08174798	Yes	
row_22	RPS18	3841	0.001386229763738811	0.0859132	Yes	
row_23	RPS15A	3945	0.0012641737703233957	0.092645206	Yes	
row_24	RPL22	3974	0.001239180564880371	0.10294219	Yes	
row_25	RPL10	4147	0.0010867314413189888	0.10639441	Yes	
row_26	RPLP1	4292	9.77423507720232E-4	0.11117756	Yes	
row_27	RPL6	4399	9.005792089737952E-4	0.11776697	Yes	
row_28	RPS20	4400	8.996613323688507E-4	0.12939487	Yes	
row_29	RPL15	4440	8.706349763087928E-4	0.139169	Yes	
row_30	RPL23	4466	8.533397922292352E-4	0.14960857	Yes	
row_31	RPS13	4469	8.50010197609663E-4	0.16114141	Yes	
row_32	RPL26	4569	7.900357595644891E-4	0.16806355	Yes	
row_33	RPS5	4578	7.84508534707129E-4	0.1793112	Yes	
row_34	RPL12	4751	6.805405719205737E-4	0.18276341	Yes	
row_35	RPS23	5060	5.49702497664839E-4	0.17975116	Yes	
row_36	RPS28	5118	5.267352680675685E-4	0.18866968	Yes	
row_37	RPL14	5171	5.04231546074152E-4	0.19782586	Yes	
row_38	RPL27	5524	3.893494140356779E-4	0.19272214	Yes	
row_39	RPS15	5528	3.8816523738205433E-4	0.20420745	Yes	
row_40	RPL27A	5578	3.742087574210018E-4	0.21350624	Yes	
row_41	RPS27	5820	3.105177020188421E-4	0.21367869	Yes	
row_42	RPL37	5870	3.001299046445638E-4	0.22297747	Yes	
row_43	RPL3	5898	2.9508359148167074E-4	0.233322	Yes	
row_44	RPL29	6111	2.4919668794609606E-4	0.23487289	Yes	
row_45	RPL13	6206	2.300177438883111E-4	0.24203269	Yes	
row_46	RPL30	6213	2.286230883328244E-4	0.2533754	Yes	
