NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_RIBOSOME	KEGG_RIBOSOME	Details ...	86	0.4434412	5.003722	0.0	0.0	0.0	11057	tags=97%, list=52%, signal=202%	
KEGG_SPLICEOSOME	KEGG_SPLICEOSOME	Details ...	124	0.2834992	3.6692328	0.0	0.0	0.0	11081	tags=81%, list=52%, signal=169%	
KEGG_PROTEASOME	KEGG_PROTEASOME	Details ...	39	0.48635134	3.5611615	0.0	0.0	0.0	9785	tags=95%, list=46%, signal=176%	
KEGG_OXIDATIVE_PHOSPHORYLATION	KEGG_OXIDATIVE_PHOSPHORYLATION	Details ...	107	0.27106667	3.3401954	0.0	0.0	0.0	11675	tags=82%, list=55%, signal=183%	
KEGG_HUNTINGTONS_DISEASE	KEGG_HUNTINGTONS_DISEASE	Details ...	156	0.23054425	3.3353217	0.0	0.0	0.0	11685	tags=78%, list=55%, signal=174%	
KEGG_PARKINSONS_DISEASE	KEGG_PARKINSONS_DISEASE	Details ...	105	0.254113	2.9681945	0.0	0.0	0.0	11557	tags=80%, list=55%, signal=176%	
KEGG_STEROID_BIOSYNTHESIS	KEGG_STEROID_BIOSYNTHESIS	Details ...	17	0.5794788	2.845532	0.0	1.8487395E-4	0.001	2679	tags=71%, list=13%, signal=81%	
KEGG_N_GLYCAN_BIOSYNTHESIS	KEGG_N_GLYCAN_BIOSYNTHESIS	Details ...	46	0.34314576	2.7726734	0.0	1.617647E-4	0.001	9298	tags=78%, list=44%, signal=139%	
KEGG_ENDOCYTOSIS	KEGG_ENDOCYTOSIS	Details ...	175	0.17997995	2.7680397	0.0	1.4379085E-4	0.001	8903	tags=60%, list=42%, signal=103%	
KEGG_ALZHEIMERS_DISEASE	KEGG_ALZHEIMERS_DISEASE	Details ...	144	0.19025792	2.686004	0.0	2.635581E-4	0.002	11557	tags=74%, list=55%, signal=161%	
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	Details ...	40	0.35996965	2.6613364	0.0	2.3959826E-4	0.002	6140	tags=65%, list=29%, signal=91%	
KEGG_PYRIMIDINE_METABOLISM	KEGG_PYRIMIDINE_METABOLISM	Details ...	92	0.2319633	2.5976765	0.0	7.7044533E-4	0.007	12341	tags=82%, list=58%, signal=195%	
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	Details ...	126	0.19489162	2.546318	0.0	0.0010343527	0.01	13510	tags=83%, list=64%, signal=230%	
KEGG_LYSOSOME	KEGG_LYSOSOME	Details ...	119	0.19693035	2.4862204	0.0	0.0014449685	0.015	10241	tags=68%, list=48%, signal=131%	
KEGG_TIGHT_JUNCTION	KEGG_TIGHT_JUNCTION	Details ...	112	0.19468299	2.4201548	0.0	0.0027155161	0.029	8545	tags=60%, list=40%, signal=100%	
KEGG_CITRATE_CYCLE_TCA_CYCLE	KEGG_CITRATE_CYCLE_TCA_CYCLE	Details ...	29	0.36193082	2.3386726	0.0	0.004778097	0.054	9846	tags=83%, list=47%, signal=155%	
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	Details ...	22	0.41387722	2.324336	0.0	0.004727377	0.057	10469	tags=91%, list=50%, signal=180%	
KEGG_DNA_REPLICATION	KEGG_DNA_REPLICATION	Details ...	36	0.32473972	2.3018968	0.004048583	0.005068105	0.064	11341	tags=86%, list=54%, signal=186%	
KEGG_APOPTOSIS	KEGG_APOPTOSIS	Details ...	81	0.2173709	2.2898765	0.0	0.0052988124	0.071	7682	tags=58%, list=36%, signal=91%	
KEGG_NUCLEOTIDE_EXCISION_REPAIR	KEGG_NUCLEOTIDE_EXCISION_REPAIR	Details ...	44	0.28958085	2.281421	0.0	0.005300829	0.075	11658	tags=84%, list=55%, signal=187%	
KEGG_PROTEIN_EXPORT	KEGG_PROTEIN_EXPORT		24	0.38631123	2.260805	0.0	0.0057838573	0.086	8571	tags=79%, list=41%, signal=133%	
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM		72	0.22057287	2.1674728	0.0019762847	0.010109827	0.155	8558	tags=63%, list=41%, signal=105%	
KEGG_RNA_DEGRADATION	KEGG_RNA_DEGRADATION		50	0.250857	2.148508	0.0019230769	0.010712383	0.17	14569	tags=94%, list=69%, signal=302%	
KEGG_PYRUVATE_METABOLISM	KEGG_PYRUVATE_METABOLISM		34	0.29559034	2.0865993	0.004115226	0.015017347	0.239	4327	tags=50%, list=20%, signal=63%	
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION		43	0.26194754	2.0641708	0.0057581575	0.016781382	0.272	4302	tags=47%, list=20%, signal=58%	
KEGG_RENAL_CELL_CARCINOMA	KEGG_RENAL_CELL_CARCINOMA		66	0.21694772	2.0468752	0.004016064	0.017907515	0.295	8553	tags=62%, list=40%, signal=104%	
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	KEGG_GLYCEROPHOSPHOLIPID_METABOLISM		65	0.2121892	2.001804	0.0019762847	0.022568531	0.367	6255	tags=51%, list=30%, signal=72%	
KEGG_CELL_CYCLE	KEGG_CELL_CYCLE		122	0.15836814	1.9764082	0.0040899795	0.024656538	0.408	14334	tags=84%, list=68%, signal=259%	
KEGG_BASE_EXCISION_REPAIR	KEGG_BASE_EXCISION_REPAIR		34	0.28706664	1.952608	0.0060728746	0.026774213	0.443	11341	tags=82%, list=54%, signal=178%	
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT		37	0.27310538	1.9520136	0.013833992	0.025924373	0.443	8513	tags=68%, list=40%, signal=113%	
KEGG_MISMATCH_REPAIR	KEGG_MISMATCH_REPAIR		23	0.33300295	1.929757	0.011650485	0.028188592	0.478	11341	tags=87%, list=54%, signal=188%	
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY		77	0.18304425	1.9188944	0.0140280565	0.028904844	0.5	8766	tags=60%, list=41%, signal=102%	
KEGG_PENTOSE_PHOSPHATE_PATHWAY	KEGG_PENTOSE_PHOSPHATE_PATHWAY		23	0.33160183	1.8648784	0.022267206	0.038076665	0.604	12289	tags=91%, list=58%, signal=218%	
KEGG_PROPANOATE_METABOLISM	KEGG_PROPANOATE_METABOLISM		30	0.27196997	1.8218052	0.016096579	0.046658557	0.684	9753	tags=73%, list=46%, signal=136%	
KEGG_INSULIN_SIGNALING_PATHWAY	KEGG_INSULIN_SIGNALING_PATHWAY		122	0.13793138	1.8191061	0.021484375	0.0458939	0.686	12166	tags=71%, list=58%, signal=167%	
KEGG_MELANOMA	KEGG_MELANOMA		57	0.20366769	1.8090432	0.021400778	0.047379434	0.708	9791	tags=67%, list=46%, signal=124%	
KEGG_COLORECTAL_CANCER	KEGG_COLORECTAL_CANCER		60	0.19609447	1.7992368	0.018036073	0.049006563	0.725	9247	tags=63%, list=44%, signal=112%	
KEGG_ENDOMETRIAL_CANCER	KEGG_ENDOMETRIAL_CANCER		49	0.21576582	1.7983302	0.012578616	0.047963157	0.728	9247	tags=65%, list=44%, signal=116%	
KEGG_MTOR_SIGNALING_PATHWAY	KEGG_MTOR_SIGNALING_PATHWAY		48	0.21545835	1.7743853	0.01992032	0.05307226	0.773	11301	tags=75%, list=53%, signal=161%	
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION		64	0.18614674	1.7205168	0.012244898	0.06806209	0.858	7961	tags=56%, list=38%, signal=90%	
