NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	VEGFA	85	7.5895562171936035	0.023252169	No	
row_1	TNFRSF21	193	4.791491508483887	0.045333	No	
row_2	S100A4	1041	1.3040215969085693	0.02801441	No	
row_3	LRPAP1	1911	0.5759663581848145	0.009524484	No	
row_4	PTK2	3985	0.1034761443734169	-0.07306937	No	
row_5	THBD	6477	0.0042177606374025345	-0.17791858	No	
row_6	APOH	8221	-0.0029795842710882425	-0.24294242	No	
row_7	SPP1	9092	-0.014739164151251316	-0.2614856	No	
row_8	PGLYRP1	9427	-0.02224000170826912	-0.2514908	No	
row_9	JAG2	10910	-0.08579160273075104	-0.30261835	Yes	
row_10	CCND2	11001	-0.09151875227689743	-0.2796324	Yes	
row_11	APP	11059	-0.09538150578737259	-0.25488946	Yes	
row_12	JAG1	12203	-0.20555616915225983	-0.2879678	Yes	
row_13	PRG2	12985	-0.34423336386680603	-0.3017724	Yes	
row_14	PF4	13104	-0.37116020917892456	-0.28027722	Yes	
row_15	ITGAV	13757	-0.545507550239563	-0.28721353	Yes	
row_16	PDGFA	13952	-0.6130844354629517	-0.2697648	Yes	
row_17	TIMP1	13985	-0.6255834698677063	-0.24369077	Yes	
row_18	SERPINA5	14455	-0.8521913886070251	-0.24088372	Yes	
row_19	VAV2	14714	-0.9934747219085693	-0.2268425	Yes	
row_20	NRP1	14837	-1.0818181037902832	-0.2055603	Yes	
row_21	SLCO2A1	15160	-1.3068488836288452	-0.1949266	Yes	
row_22	STC1	15295	-1.4223434925079346	-0.17428331	Yes	
row_23	KCNJ8	15482	-1.6126264333724976	-0.15640864	Yes	
row_24	CXCL6	15971	-2.204812526702881	-0.15461318	Yes	
row_25	VTN	16691	-3.53297758102417	-0.16511673	Yes	
row_26	VCAN	16935	-4.15729284286499	-0.15027687	Yes	
row_27	LPL	16949	-4.196103096008301	-0.12319125	Yes	
row_28	MSX1	17126	-4.759884834289551	-0.104784146	Yes	
row_29	FSTL1	17483	-6.219250679016113	-0.095960684	Yes	
row_30	LUM	17530	-6.449961185455322	-0.07063206	Yes	
row_31	COL5A2	18003	-9.136305809020996	-0.06798473	Yes	
row_32	COL3A1	18014	-9.228279113769531	-0.040739376	Yes	
row_33	POSTN	18115	-10.197689056396484	-0.018285844	Yes	
row_34	FGFR1	18537	-16.530427932739258	-0.012923145	Yes	
row_35	OLR1	18795	-55.64262008666992	0.001171319	Yes	
