NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GNAI1	195	4.771581172943115	0.0032958563	Yes	
row_1	FABP5	403	3.096024513244629	0.005951542	Yes	
row_2	ALDOC	611	2.2164785861968994	0.008607227	Yes	
row_3	FDFT1	890	1.5379555225372314	0.0074752364	Yes	
row_4	ETHE1	1422	0.8745555877685547	-0.0071536866	Yes	
row_5	PPARG	1568	0.7684473991394043	-0.0011904525	Yes	
row_6	TP53INP1	2101	0.4909541606903076	-0.015872722	Yes	
row_7	S100A11	2343	0.4062982201576233	-0.015030854	Yes	
row_8	GSTM2	3037	0.22766871750354767	-0.038302083	Yes	
row_9	ACAT2	3053	0.22437581419944763	-0.025403665	Yes	
row_10	TM7SF2	3346	0.17963550984859467	-0.027282523	Yes	
row_11	HMGCR	3719	0.12993603944778442	-0.033429183	Yes	
row_12	ADH4	3847	0.11652376502752304	-0.026505694	Yes	
row_13	MVK	3856	0.11611727625131607	-0.013233844	Yes	
row_14	CD9	4347	0.07497608661651611	-0.025675517	Yes	
row_15	ATXN2	4874	0.04317370802164078	-0.040037703	Yes	
row_16	SCD	5003	0.037525393068790436	-0.03316756	Yes	
row_17	PNRC1	5479	0.020986812189221382	-0.04480902	Yes	
row_18	ECH1	5611	0.017575450241565704	-0.03809892	Yes	
row_19	SREBF2	5646	0.016927974298596382	-0.026214106	Yes	
row_20	PCYT2	6029	0.009604383260011673	-0.032894243	Yes	
row_21	SC5D	6070	0.008958742022514343	-0.021329517	Yes	
row_22	HSD17B7	6135	0.008174007758498192	-0.011045129	Yes	
row_23	FASN	6219	0.006922862492501736	-0.0017743467	Yes	
row_24	DHCR7	6269	0.006268866825848818	0.009310253	Yes	
row_25	CYP51A1	6271	0.006252428982406855	0.022955535	Yes	
row_26	ACTG1	6561	0.00344083271920681	0.021236721	Yes	
row_27	LDLR	6874	0.0012339071836322546	0.018290913	Yes	
row_28	MAL2	6885	0.0011651148088276386	0.03145607	Yes	
row_29	FADS2	7410	2.1622801327225716E-8	0.017200578	Yes	
row_30	ERRFI1	7579	-1.054746680893004E-4	0.021936819	Yes	
row_31	STARD4	7813	-6.202359800226986E-4	0.023205467	Yes	
row_32	CPEB2	7837	-6.891820230521262E-4	0.035677105	Yes	
row_33	LGMN	7994	-0.0014254228444769979	0.041053515	Yes	
row_34	SQLE	8411	-0.004837679211050272	0.03255956	Yes	
row_35	GUSB	8498	-0.00574800418689847	0.0416703	Yes	
row_36	MVD	8603	-0.007087580393999815	0.049820784	Yes	
row_37	LSS	9061	-0.01415124163031578	0.03913958	Yes	
row_38	ATF5	9629	-0.0270941574126482	0.022590145	Yes	
row_39	ACSS2	10001	-0.03912139683961868	0.016496832	Yes	
row_40	SEMA3B	10032	-0.04024470970034599	0.028595034	Yes	
row_41	FBXO6	10374	-0.05482900142669678	0.024102148	Yes	
row_42	PMVK	10433	-0.05807024613022804	0.03470662	Yes	
row_43	PDK3	10649	-0.07008475810289383	0.036935523	Yes	
row_44	ALCAM	10967	-0.08965407311916351	0.033722978	Yes	
row_45	ATF3	11185	-0.10414684563875198	0.03584519	Yes	
row_46	FDPS	11287	-0.11030145734548569	0.044155717	Yes	
row_47	AVPR1A	11505	-0.12894199788570404	0.046277925	Yes	
row_48	ABCA2	11743	-0.15043088793754578	0.047333185	Yes	
row_49	EBP	11817	-0.15927277505397797	0.057137445	Yes	
row_50	ANTXR2	11881	-0.16608083248138428	0.06747518	Yes	
row_51	GLDC	12017	-0.18322180211544037	0.07397189	Yes	
row_52	JAG1	12203	-0.20555616915225983	0.07780122	Yes	
row_53	CTNNB1	12346	-0.22639290988445282	0.083924495	Yes	
row_54	HMGCS1	12499	-0.2506645917892456	0.08951429	Yes	
row_55	NSDHL	12974	-0.3417695164680481	0.07792618	Yes	
row_56	CLU	13385	-0.43417951464653015	0.06975231	Yes	
row_57	PLSCR1	13395	-0.43663322925567627	0.08297082	Yes	
row_58	IDI1	13642	-0.5082787275314331	0.083545946	Yes	
row_59	TNFRSF12A	14268	-0.7525392174720764	0.063902356	Yes	
row_60	TMEM97	14469	-0.8593286871910095	0.06693147	Yes	
row_61	ANXA5	14475	-0.8617041707038879	0.08036336	Yes	
row_62	CBS	14572	-0.9145761728286743	0.08894063	Yes	
row_63	CHKA	14602	-0.9352263808250427	0.10109218	Yes	
row_64	LGALS3	15247	-1.3731215000152588	0.080434985	No	
row_65	CXCL16	15525	-1.6554960012435913	0.07935634	No	
row_66	TRIB3	15569	-1.7011510133743286	0.09076103	No	
row_67	STX5	16504	-3.137204170227051	0.054633036	No	
row_68	NFIL3	16659	-3.4572343826293945	0.060116142	No	
row_69	PLAUR	16820	-3.8771474361419678	0.06527916	No	
row_70	LPL	16949	-4.196103096008301	0.07214931	No	
row_71	GPX8	17169	-4.901180744171143	0.07416482	No	
row_72	ANXA13	18405	-13.93201732635498	0.021979216	No	
