NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CPB2	326	3.5256197452545166	-0.010151616	No	
row_1	CTSH	536	2.5181474685668945	-0.014040184	No	
row_2	DUSP6	659	2.0560028553009033	-0.013271614	No	
row_3	F12	780	1.7448341846466064	-0.012395984	No	
row_4	CTSE	848	1.6188875436782837	-0.008683246	No	
row_5	MASP2	1004	1.3509440422058105	-0.009681175	No	
row_6	CFH	1061	1.2768868207931519	-0.005379604	No	
row_7	RAPGEF3	1425	0.8726727962493896	-0.017511843	No	
row_8	PREP	1806	0.619292140007019	-0.030554097	No	
row_9	PROC	1893	0.5850745439529419	-0.027858434	No	
row_10	FURIN	2601	0.3251343369483948	-0.058405105	No	
row_11	CAPN5	2679	0.3040982484817505	-0.05522767	No	
row_12	CASP9	2740	0.28787800669670105	-0.05114022	No	
row_13	MST1	2875	0.2552163302898407	-0.051014014	No	
row_14	FGA	2885	0.25383543968200684	-0.044196516	No	
row_15	RAC1	3215	0.1989327371120453	-0.054508723	No	
row_16	S100A1	3272	0.19079804420471191	-0.050207153	No	
row_17	ISCU	3374	0.17577095329761505	-0.048314445	No	
row_18	CRIP2	3391	0.17329692840576172	-0.04187166	No	
row_19	MMP15	3952	0.1072557121515274	-0.06454937	No	
row_20	FGG	3994	0.10256921499967575	-0.059444845	No	
row_21	HMGCS2	4339	0.07593219727277756	-0.07056001	No	
row_22	CD9	4347	0.07497608661651611	-0.06363545	No	
row_23	KLKB1	4546	0.06241271644830704	-0.06693518	No	
row_24	TF	4557	0.06162344664335251	-0.060171217	No	
row_25	ITGA2	5133	0.032019130885601044	-0.083651885	No	
row_26	GNB2	5324	0.025356953963637352	-0.08652338	No	
row_27	PLAT	5369	0.02437654696404934	-0.08157944	No	
row_28	WDR1	5401	0.02340010739862919	-0.07593961	No	
row_29	MBL2	5574	0.01849079690873623	-0.077847555	No	
row_30	MSRB2	5819	0.013184469193220139	-0.083609685	No	
row_31	P2RY1	5901	0.011498835869133472	-0.08064637	No	
row_32	ADAM9	6364	0.005339454393833876	-0.09807812	No	
row_33	THBD	6477	0.0042177606374025345	-0.09677424	No	
row_34	CFB	6627	0.0027628846000880003	-0.09745099	No	
row_35	MMP10	6785	0.0017238333821296692	-0.09855598	No	
row_36	APOC3	6985	7.230308838188648E-4	-0.10190924	No	
row_37	RABIF	7266	5.937137029832229E-5	-0.109598465	No	
row_38	PLG	7512	-3.24597058352083E-5	-0.11541413	No	
row_39	CTSO	7651	-2.1308126451913267E-4	-0.115502045	No	
row_40	C3	7826	-6.477939314208925E-4	-0.11751705	No	
row_41	C8A	7941	-0.0011121411807835102	-0.11632024	No	
row_42	LGMN	7994	-0.0014254228444769979	-0.111804545	No	
row_43	LTA4H	8024	-0.0015830548945814371	-0.10605765	No	
row_44	SERPINC1	8395	-0.0045120795257389545	-0.118564606	No	
row_45	F11	8455	-0.005334553774446249	-0.114423625	No	
row_46	CFD	8815	-0.010091889649629593	-0.12634175	No	
row_47	TMPRSS6	8853	-0.010607416741549969	-0.12102309	No	
row_48	SH2B2	8940	-0.012002364732325077	-0.11832743	No	
row_49	PROZ	9077	-0.014349937438964844	-0.11830828	No	
row_50	C9	9118	-0.015195437707006931	-0.113150224	No	
row_51	MMP9	9143	-0.01588914729654789	-0.10713568	No	
row_52	GP9	9155	-0.016096103936433792	-0.10042525	No	
row_53	C8G	9222	-0.017347509041428566	-0.09665898	No	
row_54	GNG12	9402	-0.02173776924610138	-0.09894164	No	
row_55	F13B	9460	-0.023203160613775253	-0.09469359	No	
row_56	USP11	9582	-0.025770528241991997	-0.0938715	No	
row_57	CAPN2	9616	-0.026745209470391273	-0.088338725	No	
row_58	CPQ	9743	-0.030544647946953773	-0.087784275	No	
row_59	S100A13	9745	-0.03068333864212036	-0.08053854	No	
row_60	PDGFB	10229	-0.048626311123371124	-0.09909441	No	
row_61	PEF1	10287	-0.051013845950365067	-0.094846375	No	
row_62	HRG	10367	-0.054479554295539856	-0.091776	No	
row_63	C8B	10386	-0.05548471957445145	-0.08544028	No	
row_64	MMP1	10441	-0.05842089280486107	-0.08103164	No	
row_65	GDA	10811	-0.07844757288694382	-0.093485065	No	
row_66	CSRP1	10889	-0.08454892039299011	-0.09030763	No	
row_67	VWF	11370	-0.11622045189142227	-0.10870291	No	
row_68	SIRT2	11439	-0.12243371456861496	-0.10504371	No	
row_69	DCT	11481	-0.12699925899505615	-0.09993918	No	
row_70	CPN1	11698	-0.14667928218841553	-0.104202464	No	
row_71	TIMP3	12221	-0.20882588624954224	-0.12484602	No	
row_72	C2	12268	-0.2152557671070099	-0.12000915	No	
row_73	HPN	12427	-0.2381874918937683	-0.12116767	No	
row_74	COMP	12487	-0.24894417822360992	-0.11702669	No	
row_75	APOA1	12634	-0.27380844950675964	-0.11754285	No	
row_76	SERPINE1	12707	-0.28937482833862305	-0.11409776	No	
row_77	F8	12759	-0.30096331238746643	-0.109528534	No	
row_78	MAFF	12942	-0.3347688615322113	-0.11197178	No	
row_79	PF4	13104	-0.37116020917892456	-0.1132909	No	
row_80	PECAM1	13223	-0.39594337344169617	-0.112308204	No	
row_81	CLU	13385	-0.43417951464653015	-0.113627315	No	
row_82	LAMP2	13427	-0.4449877440929413	-0.10852279	No	
row_83	SERPING1	13866	-0.5798598527908325	-0.124669805	No	
row_84	TIMP1	13985	-0.6255834698677063	-0.12368711	No	
row_85	ITIH1	14177	-0.704890787601471	-0.12661213	No	
row_86	MMP14	14312	-0.7778928279876709	-0.12648593	No	
row_87	ACOX2	14362	-0.8035571575164795	-0.12180965	No	
row_88	KLF7	14730	-1.0050711631774902	-0.134156	No	
row_89	PRSS23	14794	-1.0475696325302124	-0.13022915	No	
row_90	LRP1	14892	-1.1113656759262085	-0.12812231	No	
row_91	ANG	15196	-1.3281666040420532	-0.13704273	Yes	
row_92	GP1BA	15292	-1.4195387363433838	-0.13482885	Yes	
row_93	RGN	15327	-1.4532594680786133	-0.1293496	Yes	
row_94	PLAU	15359	-1.4805595874786377	-0.123709776	Yes	
row_95	ARF4	15362	-1.4839608669281006	-0.116517566	Yes	
row_96	CTSB	15549	-1.6867362260818481	-0.119174935	Yes	
row_97	MMP2	15795	-1.9699949026107788	-0.1249906	Yes	
row_98	A2M	16137	-2.4518280029296875	-0.13594517	Yes	
row_99	CFI	16282	-2.701345205307007	-0.13635427	Yes	
row_100	HTRA1	16290	-2.708221197128296	-0.12942971	Yes	
row_101	CTSV	16323	-2.777843713760376	-0.12384341	Yes	
row_102	F2	16452	-3.048785924911499	-0.123396024	Yes	
row_103	C1QA	16492	-3.120112895965576	-0.11818443	Yes	
row_104	SERPINA1	16569	-3.2810845375061035	-0.114953466	Yes	
row_105	APOC2	16686	-3.520951986312866	-0.113863714	Yes	
row_106	DUSP14	16735	-3.6744296550750732	-0.1091339	Yes	
row_107	PROS1	16772	-3.789044141769409	-0.103761725	Yes	
row_108	MEP1A	16963	-4.236433982849121	-0.106633216	Yes	
row_109	TFPI2	16984	-4.293934345245361	-0.10040455	Yes	
row_110	SPARC	16985	-4.2939453125	-0.09310528	Yes	
row_111	MMP8	17089	-4.639555931091309	-0.091319636	Yes	
row_112	BMP1	17096	-4.663498401641846	-0.08434155	Yes	
row_113	GSN	17113	-4.723934173583984	-0.07789876	Yes	
row_114	DPP4	17119	-4.744525909423828	-0.07086714	Yes	
row_115	APOC1	17124	-4.757962703704834	-0.06378199	Yes	
row_116	MMP7	17361	-5.67296838760376	-0.069115885	Yes	
row_117	F10	17446	-6.043130397796631	-0.06631316	Yes	
row_118	FYN	17528	-6.428208351135254	-0.06334984	Yes	
row_119	FBN1	17781	-7.751966953277588	-0.06954022	Yes	
row_120	F3	17806	-7.841641902923584	-0.06352568	Yes	
row_121	C1R	17902	-8.441612243652344	-0.061311785	Yes	
row_122	THBS1	18005	-9.164651870727539	-0.05947261	Yes	
row_123	LEFTY2	18057	-9.627933502197266	-0.054903388	Yes	
row_124	C1S	18061	-9.642752647399902	-0.047764707	Yes	
row_125	ANXA1	18069	-9.700288772583008	-0.04084015	Yes	
row_126	MMP3	18254	-11.638750076293945	-0.04339046	Yes	
row_127	ITGB3	18307	-12.343439102172852	-0.038874768	Yes	
