NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BCAM	64	8.685564041137695	0.0033749451	Yes	
row_1	GMPR2	693	1.960961103439331	-0.023457384	Yes	
row_2	VPS37D	744	1.8133752346038818	-0.019332614	Yes	
row_3	SRSF6	781	1.7438809871673584	-0.014458016	Yes	
row_4	ERCC5	814	1.6648333072662354	-0.009369182	Yes	
row_5	NME3	867	1.5774991512298584	-0.00535153	Yes	
row_6	DCTN4	967	1.4154365062713623	-0.0038511495	Yes	
row_7	MPG	1038	1.305453896522522	-7.9755834E-4	Yes	
row_8	TARBP2	1256	1.0114085674285889	-0.00561714	Yes	
row_9	IMPDH2	1339	0.929283857345581	-0.0032062565	Yes	
row_10	AGO4	1378	0.9017366170883179	0.0015612225	Yes	
row_11	RBX1	1477	0.8295192718505859	0.0031151618	Yes	
row_12	NME4	1528	0.7925891280174255	0.0072399327	Yes	
row_13	POLB	1689	0.6789128184318542	0.005473214	Yes	
row_14	GTF2H5	1777	0.6342951655387878	0.0076163025	Yes	
row_15	POLL	1788	0.6314035654067993	0.013883433	Yes	
row_16	NT5C	1936	0.5648981928825378	0.012812981	Yes	
row_17	POLR1D	1956	0.5550095438957214	0.018598082	Yes	
row_18	POLR2A	2285	0.42257750034332275	0.007833452	Yes	
row_19	BCAP31	2439	0.375192254781723	0.0064416463	Yes	
row_20	TAF10	2518	0.35314634442329407	0.009066765	Yes	
row_21	ERCC8	2651	0.3129347860813141	0.008799699	Yes	
row_22	APRT	2794	0.2750309407711029	0.0079970425	Yes	
row_23	POLR1C	2959	0.24217844009399414	0.0060160877	Yes	
row_24	TAF1C	2961	0.2420392781496048	0.012765249	Yes	
row_25	POLH	3026	0.22921670973300934	0.016140195	Yes	
row_26	DUT	3033	0.22838735580444336	0.02262156	Yes	
row_27	TK2	3138	0.21023306250572205	0.023854148	Yes	
row_28	POLR2J	3304	0.1859550178050995	0.021819633	Yes	
row_29	MRPL40	3433	0.16690507531166077	0.021766802	Yes	
row_30	TP53	3517	0.1538214534521103	0.024124127	Yes	
row_31	GTF2F1	3614	0.14173847436904907	0.025785184	Yes	
row_32	NUDT9	3645	0.13781334459781647	0.030981135	Yes	
row_33	VPS37B	3654	0.13694743812084198	0.037355386	Yes	
row_34	SMAD5	3728	0.12936273217201233	0.040248297	Yes	
row_35	POM121	3986	0.10341427475214005	0.033286355	Yes	
row_36	AAAS	4232	0.08364461362361908	0.026967123	Yes	
row_37	TAF9	4298	0.07919839024543762	0.03028851	Yes	
row_38	POLD4	4434	0.06919817626476288	0.029860767	Yes	
row_39	NT5C3A	4516	0.06445036083459854	0.03232521	Yes	
row_40	NELFCD	4905	0.04158863052725792	0.018347038	Yes	
row_41	DGCR8	5103	0.03312553092837334	0.014598637	Yes	
row_42	VPS28	5337	0.02509186789393425	0.008922111	Yes	
row_43	ADCY6	5371	0.02430693618953228	0.013957386	Yes	
row_44	GTF2A2	5610	0.01758621633052826	0.008013065	Yes	
row_45	SNAPC5	5676	0.016405193135142326	0.011334452	Yes	
row_46	RRM2B	5816	0.013244441710412502	0.010692472	Yes	
row_47	PDE6G	5869	0.012063907459378242	0.014710125	Yes	
row_48	ERCC3	5911	0.011414055712521076	0.019316927	Yes	
row_49	DGUOK	6030	0.009557955898344517	0.019799687	Yes	
row_50	CSTF3	6182	0.007404150441288948	0.018514998	Yes	
row_51	ARL6IP1	6257	0.006439011078327894	0.021354353	Yes	
row_52	POLR2F	6365	0.005332999862730503	0.022426262	Yes	
row_53	ERCC2	6495	0.004068849608302116	0.022319872	Yes	
row_54	POLR2C	6522	0.003793276147916913	0.027730059	Yes	
row_55	HPRT1	6628	0.002759851748123765	0.028909085	Yes	
row_56	GUK1	6822	0.001521898782812059	0.025374921	Yes	
row_57	RAD52	6965	8.021180401556194E-4	0.024572264	Yes	
row_58	ITPA	6990	7.101506926119328E-4	0.030089568	Yes	
row_59	POLR2H	7010	6.239680806174874E-4	0.03587467	Yes	
row_60	NUDT21	7051	5.011190660297871E-4	0.04053503	Yes	
row_61	ADRM1	7220	1.0791962267830968E-4	0.03833984	Yes	
