NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LUC7L3	465	2.7713427543640137	-0.019840918	No	
row_1	PNN	1215	1.0611042976379395	-0.054931797	No	
row_2	NAA38	1707	0.6689860820770264	-0.076168835	No	
row_3	CDKN1A	1867	0.5949023365974426	-0.07957846	No	
row_4	ING3	2411	0.38427579402923584	-0.10360775	No	
row_5	ORC2	2463	0.36910727620124817	-0.10121809	No	
row_6	WDR90	2548	0.34258612990379333	-0.10060044	No	
row_7	DUT	3033	0.22838735580444336	-0.1214616	No	
row_8	RAD50	3097	0.21780714392662048	-0.11971631	No	
row_9	SYNCRIP	3447	0.16453927755355835	-0.13332838	No	
row_10	TP53	3517	0.1538214534521103	-0.13190526	No	
row_11	XRCC6	3605	0.14307016134262085	-0.1314487	No	
row_12	SRSF2	4054	0.0968124121427536	-0.15037677	No	
row_13	SRSF1	4126	0.09144571423530579	-0.14906105	No	
row_14	RRM2	4463	0.06745872646570206	-0.16197506	No	
row_15	ASF1A	4722	0.051551926881074905	-0.17070068	No	
row_16	PA2G4	4869	0.04335809499025345	-0.17341225	No	
row_17	SLBP	4964	0.039139315485954285	-0.17333156	No	
row_18	ILF3	5063	0.034704964607954025	-0.17346567	No	
row_19	WEE1	5248	0.02810925990343094	-0.17821772	No	
row_20	E2F8	5692	0.015990013256669044	-0.1968773	No	
row_21	HMGA1	5709	0.015530345030128956	-0.19260825	No	
row_22	EED	5809	0.013530982658267021	-0.19279605	No	
row_23	PMS2	6390	0.0051153358072042465	-0.21881212	No	
row_24	CCP110	6537	0.00367272668518126	-0.22152369	No	
row_25	NUDT21	7051	5.011190660297871E-4	-0.24394207	No	
row_26	PAN2	7283	4.279911445337348E-5	-0.25121787	No	
row_27	BRMS1L	7355	7.239117167046061E-6	-0.24990216	No	
row_28	CTCF	7602	-1.4647482021246105E-4	-0.25798342	No	
row_29	PHF5A	7935	-0.0010814410634338856	-0.27068263	No	
row_30	HUS1	8159	-0.00252025225199759	-0.27752888	No	
row_31	MXD3	8172	-0.002622117754071951	-0.27304503	No	
row_32	TBRG4	8257	-0.003231178969144821	-0.27242738	No	
row_33	NME1	8568	-0.006695047486573458	-0.28394526	No	
row_34	GSPT1	8875	-0.010985365137457848	-0.29524836	No	
row_35	CDKN1B	9223	-0.017365574836730957	-0.308753	No	
row_36	NOLC1	9302	-0.019159577786922455	-0.30781317	No	
row_37	RAN	9483	-0.02365274354815483	-0.31235045	No	
row_38	TUBG1	9697	-0.029108639806509018	-0.3186597	No	
row_39	LYAR	9774	-0.031615108251571655	-0.31761247	No	
row_40	AK2	9842	-0.03367382287979126	-0.31608197	No	
row_41	HNRNPD	10054	-0.04115713760256767	-0.32228383	No	
row_42	NAP1L1	10122	-0.044547826051712036	-0.32075334	No	
row_43	PPP1R8	10218	-0.048286404460668564	-0.32072636	No	
row_44	UNG	10235	-0.04890727624297142	-0.3164573	No	
row_45	UBR7	10352	-0.05358123779296875	-0.31755796	No	
row_46	NOP56	10365	-0.0543944425880909	-0.3130741	No	
row_47	POLD2	10512	-0.06179363653063774	-0.31578568	No	
row_48	EXOSC8	10628	-0.06900964677333832	-0.31683263	No	
row_49	NBN	10677	-0.07183211296796799	-0.31428188	No	
row_50	STAG1	10682	-0.07204792648553848	-0.30936846	No	
row_51	EIF2S1	10970	-0.0898013785481453	-0.3196513	No	
row_52	CENPE	11106	-0.09815748780965805	-0.3217722	No	
row_53	LBR	11254	-0.10799691826105118	-0.32453746	Yes	
row_54	POP7	11306	-0.1111883744597435	-0.32214782	Yes	
row_55	PAICS	11381	-0.11713118851184845	-0.32099319	Yes	
row_56	MLH1	11428	-0.1214827373623848	-0.31833503	Yes	
row_57	TRA2B	11637	-0.14117427170276642	-0.3243758	Yes	
row_58	SMC3	11675	-0.14451992511749268	-0.3212344	Yes	
row_59	LIG1	11776	-0.15365153551101685	-0.3214759	Yes	
row_60	BRCA2	11845	-0.16223998367786407	-0.3199991	Yes	
row_61	PDS5B	11859	-0.16429048776626587	-0.31556895	Yes	
row_62	RFC1	11867	-0.16499176621437073	-0.31081662	Yes	
row_63	XPO1	11937	-0.1732022762298584	-0.30939353	Yes	
row_64	NUP107	11938	-0.17324040830135345	-0.30426532	Yes	
row_65	PRPS1	11991	-0.17929232120513916	-0.30192935	Yes	
row_66	MMS22L	11997	-0.18040741980075836	-0.29706964	Yes	
row_67	CHEK2	12059	-0.1884090155363083	-0.29521695	Yes	
row_68	TFRC	12095	-0.19268664717674255	-0.29196814	Yes	
row_69	SNRPB	12109	-0.19408577680587769	-0.287538	Yes	
row_70	CDK1	12111	-0.19422058761119843	-0.2824635	Yes	
row_71	CENPM	12343	-0.2257373183965683	-0.28973928	Yes	
row_72	IPO7	12590	-0.2658734917640686	-0.29782057	Yes	
row_73	RPA1	12832	-0.3121151030063629	-0.30563334	Yes	
row_74	DCTPP1	12893	-0.3228854238986969	-0.30372697	Yes	
row_75	BUB1B	13039	-0.35861194133758545	-0.30638483	Yes	
row_76	NUP205	13052	-0.3610427677631378	-0.30190098	Yes	
row_77	CKS2	13098	-0.3704587519168854	-0.29918915	Yes	
row_78	CDK4	13218	-0.39523807168006897	-0.3004509	Yes	
row_79	RAD21	13372	-0.4293794333934784	-0.30353832	Yes	
row_80	RBBP7	13388	-0.4353581666946411	-0.29921558	Yes	
row_81	LMNB1	13426	-0.4448653757572174	-0.29607418	Yes	
row_82	PPM1D	13432	-0.44705501198768616	-0.29121444	Yes	
row_83	HELLS	13519	-0.46880465745925903	-0.2907042	Yes	
row_84	BARD1	13525	-0.4724416136741638	-0.28584448	Yes	
row_85	GINS3	13564	-0.48208269476890564	-0.28275675	Yes	
row_86	HMMR	13663	-0.5135610103607178	-0.28289086	Yes	
row_87	TUBB	13720	-0.5340172052383423	-0.28076968	Yes	
row_88	KIF22	13773	-0.5508223176002502	-0.2784337	Yes	
row_89	RFC2	13805	-0.5613430142402649	-0.2749701	Yes	
row_90	CBX5	13841	-0.5713704824447632	-0.2717213	Yes	
row_91	TMPO	13847	-0.5729966163635254	-0.2668616	Yes	
row_92	MCM3	13969	-0.6178979873657227	-0.26823074	Yes	
row_93	POLD3	14027	-0.6436173319816589	-0.26616326	Yes	
row_94	SSRP1	14047	-0.6509951949119568	-0.2620553	Yes	
row_95	TOP2A	14064	-0.659426212310791	-0.25778624	Yes	
row_96	ANP32E	14095	-0.6700481176376343	-0.25426894	Yes	
row_97	HMGB3	14103	-0.6753702759742737	-0.24951662	Yes	
row_98	POLE	14126	-0.6857138276100159	-0.24556975	Yes	
row_99	DCK	14260	-0.7483938932418823	-0.24758326	Yes	
row_100	PCNA	14273	-0.7558943033218384	-0.24309942	Yes	
row_101	MYC	14274	-0.7559709548950195	-0.23797122	Yes	
row_102	SMC4	14289	-0.7647017240524292	-0.23359476	Yes	
row_103	PTTG1	14304	-0.7746235132217407	-0.22921832	Yes	
row_104	RPA2	14307	-0.7755138278007507	-0.2241975	Yes	
row_105	NUP153	14385	-0.8142482042312622	-0.22320397	Yes	
row_106	POLE4	14410	-0.8252991437911987	-0.2193645	Yes	
row_107	TIMELESS	14424	-0.8323159217834473	-0.21493435	Yes	
row_108	HMGB2	14448	-0.8484463691711426	-0.21104118	Yes	
row_109	ORC6	14472	-0.8606067895889282	-0.207148	Yes	
row_110	DDX39A	14518	-0.8842231035232544	-0.20443617	Yes	
row_111	CSE1L	14601	-0.9342167377471924	-0.20371112	Yes	
row_112	TACC3	14616	-0.9421131014823914	-0.19933467	Yes	
row_113	RANBP1	14670	-0.9690471291542053	-0.1970524	Yes	
row_114	RAD51C	14724	-1.0010976791381836	-0.19477014	Yes	
row_115	CDKN2C	14732	-1.006927490234375	-0.19001782	Yes	
row_116	PLK4	14736	-1.0074570178985596	-0.18505071	Yes	
row_117	TIPIN	14801	-1.0529824495315552	-0.18335912	Yes	
row_118	CCNB2	14863	-1.0931260585784912	-0.18150643	Yes	
row_119	PRKDC	14869	-1.096258521080017	-0.17664671	Yes	
row_120	MAD2L1	14905	-1.117665410041809	-0.1733979	Yes	
row_121	RAD51AP1	15065	-1.2372559309005737	-0.17680752	Yes	
row_122	SMC1A	15086	-1.2543617486953735	-0.17275326	Yes	
row_123	NCAPD2	15138	-1.289210319519043	-0.1703636	Yes	
row_124	CIT	15210	-1.3359098434448242	-0.16904789	Yes	
row_125	MCM7	15222	-1.3506994247436523	-0.16451035	Yes	
row_126	UBE2T	15231	-1.3559372425079346	-0.15981172	Yes	
row_127	POLD1	15244	-1.3691855669021606	-0.15532787	Yes	
row_128	RFC3	15283	-1.413637399673462	-0.15224016	Yes	
row_129	CDKN3	15322	-1.4464956521987915	-0.14915244	Yes	
row_130	SUV39H1	15329	-1.4562687873840332	-0.14434642	Yes	
row_131	SPC25	15346	-1.4696919918060303	-0.14007737	Yes	
row_132	DONSON	15351	-1.4740442037582397	-0.13516395	Yes	
row_133	RAD1	15352	-1.47417151927948	-0.13003574	Yes	
row_134	KIF4A	15353	-1.4743772745132446	-0.12490754	Yes	
row_135	KIF18B	15428	-1.554494857788086	-0.123752914	Yes	
row_136	UBE2S	15487	-1.6182785034179688	-0.12173914	Yes	
row_137	PRIM2	15488	-1.619235634803772	-0.11661094	Yes	
row_138	ASF1B	15489	-1.620213508605957	-0.111482725	Yes	
row_139	ZW10	15496	-1.625004768371582	-0.106676705	Yes	
row_140	EZH2	15505	-1.6373767852783203	-0.10197808	Yes	
row_141	SPAG5	15522	-1.6504037380218506	-0.09770902	Yes	
row_142	DEPDC1	15570	-1.704976201057434	-0.09510458	Yes	
row_143	PSMC3IP	15602	-1.7387155294418335	-0.09164098	Yes	
row_144	BRCA1	15613	-1.751564860343933	-0.087049745	Yes	
row_145	DLGAP5	15665	-1.803655982017517	-0.08466009	Yes	
row_146	SPC24	15697	-1.8446766138076782	-0.081196494	Yes	
row_147	GINS1	15705	-1.8557486534118652	-0.07644417	Yes	
row_148	TK1	15742	-1.8966881036758423	-0.07324906	Yes	
row_149	PRDX4	15814	-1.9915392398834229	-0.071933344	Yes	
