NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	VEGFA	85	7.5895562171936035	5.114032E-4	No	
row_1	SDC1	370	3.2543258666992188	-0.009664053	No	
row_2	WNT5A	510	2.623413562774658	-0.012052601	No	
row_3	SLC6A8	592	2.2767622470855713	-0.011326387	No	
row_4	FUCA1	751	1.7996292114257812	-0.014735289	No	
row_5	ID2	1050	1.2936900854110718	-0.025662584	No	
row_6	GPC1	1247	1.0207467079162598	-0.031112192	No	
row_7	LOXL1	1248	1.0193870067596436	-0.02603605	No	
row_8	SLIT3	2280	0.4247719645500183	-0.0763275	No	
row_9	QSOX1	2416	0.3833410441875458	-0.07850125	No	
row_10	IGFBP4	2682	0.303440660238266	-0.08765635	No	
row_11	SNAI2	2810	0.2705364227294922	-0.08940046	No	
row_12	COL7A1	2833	0.2645265758037567	-0.08550578	No	
row_13	TGFB1	3202	0.20080354809761047	-0.10019227	No	
row_14	ENO2	3802	0.12060417234897614	-0.12728411	No	
row_15	PLOD2	3821	0.118955098092556	-0.12317462	No	
row_16	CD44	4399	0.0718931183218956	-0.149085	No	
row_17	GJA1	4441	0.06878060847520828	-0.14621067	No	
row_18	CXCL8	5127	0.032281745225191116	-0.17792095	No	
row_19	ITGA2	5133	0.032019130885601044	-0.17311333	No	
row_20	PFN2	5265	0.027611780911684036	-0.17507225	No	
row_21	PPIB	5512	0.020144890993833542	-0.183207	No	
row_22	CDH6	5547	0.019222967326641083	-0.17995676	No	
row_23	PTHLH	6919	0.0010166455758735538	-0.24850717	No	
row_24	IGFBP3	6959	8.291734266094863E-4	-0.24552543	No	
row_25	MAGEE1	7029	5.755610181950033E-4	-0.24415478	No	
row_26	SDC4	7542	-5.252271512290463E-5	-0.26657447	No	
row_27	TGFBR3	7639	-1.9616226200014353E-4	-0.2666538	No	
row_28	PDLIM4	7986	-0.0013846538495272398	-0.28015885	No	
row_29	IGFBP2	8051	-0.0017566707683727145	-0.2785197	No	
row_30	SPP1	9092	-0.014739164151251316	-0.32929447	No	
row_31	CXCL1	9607	-0.026524966582655907	-0.35182157	No	
row_32	TPM4	9612	-0.02666773647069931	-0.34696025	No	
row_33	MMP1	10441	-0.05842089280486107	-0.38635	No	
row_34	LAMA3	10480	-0.06030154228210449	-0.38331458	No	
row_35	LAMC2	10504	-0.06156989559531212	-0.3794736	No	
row_36	IL15	10600	-0.0673733726143837	-0.37949923	No	
row_37	CD59	11369	-0.11612173914909363	-0.41566685	No	
row_38	GADD45A	11596	-0.1375550627708435	-0.42272753	No	
row_39	FAS	11608	-0.13898004591464996	-0.41824213	No	
row_40	TIMP3	12221	-0.20882588624954224	-0.4460321	No	
row_41	BASP1	12397	-0.23277266323566437	-0.45035395	No	
row_42	PLOD3	12449	-0.24147523939609528	-0.44801664	No	
row_43	COMP	12487	-0.24894417822360992	-0.4449275	No	
row_44	ITGB5	12662	-0.27851447463035583	-0.44919565	No	
row_45	SERPINE1	12707	-0.28937482833862305	-0.44648245	No	
row_46	JUN	12805	-0.30831027030944824	-0.4466155	No	
row_47	RHOB	13136	-0.37844792008399963	-0.45926127	No	
row_48	COPA	13186	-0.3877802789211273	-0.45681655	No	
row_49	DST	13245	-0.401784211397171	-0.45485517	No	
row_50	SPOCK1	13352	-0.4247477352619171	-0.45547155	No	
row_51	LAMC1	13408	-0.4396393895149231	-0.45334905	No	
row_52	GPX7	13669	-0.5156697630882263	-0.46223563	No	
row_53	SFRP1	13742	-0.5412008166313171	-0.4610261	No	
row_54	ITGAV	13757	-0.545507550239563	-0.4567018	No	
row_55	TIMP1	13985	-0.6255834698677063	-0.4638162	No	
row_56	CAPG	14033	-0.6453590989112854	-0.46126407	No	
row_57	TNFRSF12A	14268	-0.7525392174720764	-0.46875438	No	
row_58	SERPINH1	14311	-0.777824342250824	-0.46593377	No	
row_59	MMP14	14312	-0.7778928279876709	-0.46085763	No	
row_60	VEGFC	14322	-0.7821428775787354	-0.45626482	No	
row_61	EDIL3	14745	-1.0193995237350464	-0.47385126	Yes	
row_62	LAMA1	14787	-1.0425983667373657	-0.47097692	Yes	
row_63	NT5E	14847	-1.087051272392273	-0.46906924	Yes	
row_64	LRP1	14892	-1.1113656759262085	-0.46635604	Yes	
row_65	MEST	14942	-1.1466190814971924	-0.46391132	Yes	
row_66	BDNF	15030	-1.2084659337997437	-0.46350732	Yes	
row_67	CADM1	15172	-1.3124278783798218	-0.4660033	Yes	
row_68	MCM7	15222	-1.3506994247436523	-0.46355858	Yes	
row_69	SERPINE2	15315	-1.4423751831054688	-0.4634231	Yes	
row_70	ITGB1	15466	-1.5926481485366821	-0.46640238	Yes	
row_71	PVR	15473	-1.6018362045288086	-0.46164846	Yes	
row_72	ELN	15535	-1.6654078960418701	-0.4598482	Yes	
row_73	COL4A1	15690	-1.8379170894622803	-0.46304226	Yes	
row_74	SAT1	15733	-1.8867077827453613	-0.46022165	Yes	
