NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SMAD3	68	8.535795211791992	0.0016127393	No	
row_1	CCND1	793	1.714705228805542	-0.031990327	No	
row_2	ARID4A	1577	0.7639097571372986	-0.06876067	No	
row_3	MARCKS	1604	0.7382785081863403	-0.06489326	No	
row_4	CUL3	1873	0.593200147151947	-0.07401705	No	
row_5	PML	1968	0.5470702052116394	-0.07380006	No	
row_6	NUMA1	2426	0.379126638174057	-0.09306986	No	
row_7	TGFB1	3202	0.20080354809761047	-0.12941074	No	
row_8	SLC38A1	3292	0.18832600116729736	-0.12892534	No	
row_9	MEIS1	3353	0.17867232859134674	-0.12688313	No	
row_10	PURA	3390	0.1733115166425705	-0.12355255	No	
row_11	NUP50	3434	0.16688567399978638	-0.12059774	No	
row_12	SYNCRIP	3447	0.16453927755355835	-0.11597878	No	
row_13	YTHDC1	3830	0.11811616271734238	-0.13122238	No	
row_14	CUL5	3848	0.11651287227869034	-0.12687184	No	
row_15	ATRX	3900	0.11294975131750107	-0.12434649	No	
row_16	HIF1A	3962	0.10609068721532822	-0.12235797	No	
row_17	SRSF2	4054	0.0968124121427536	-0.12197993	No	
row_18	SRSF1	4126	0.09144571423530579	-0.12052824	No	
row_19	KMT5A	4155	0.08945377171039581	-0.116768196	No	
row_20	UPF1	4237	0.08304553478956223	-0.11585333	No	
row_21	EFNA5	4881	0.042953431606292725	-0.1451081	No	
row_22	EGF	4957	0.03955153375864029	-0.14387114	No	
row_23	HOXC10	4998	0.03763878345489502	-0.1407553	No	
row_24	ILF3	5063	0.034704964607954025	-0.13892782	No	
row_25	HMGA1	5709	0.015530345030128956	-0.16828996	No	
row_26	MNAT1	5923	0.011234111152589321	-0.1744612	No	
row_27	E2F4	5945	0.010883764363825321	-0.17032538	No	
row_28	NCL	6179	0.007437055464833975	-0.17757027	No	
row_29	TLE3	6216	0.0069570173509418964	-0.1742397	No	
row_30	EWSR1	6252	0.006545454263687134	-0.17085542	No	
row_31	TOP1	6751	0.001940454705618322	-0.19232622	No	
row_32	TNPO2	6752	0.001934163854457438	-0.18706305	No	
row_33	CUL4A	7154	2.247404190711677E-4	-0.20332663	No	
row_34	CTCF	7602	-1.4647482021246105E-4	-0.22205961	No	
row_35	CASP8AP2	7684	-2.615276607684791E-4	-0.22114475	No	
row_36	SMARCC1	7728	-3.6972080124542117E-4	-0.21818994	No	
row_37	SFPQ	7878	-8.422051323577762E-4	-0.2209255	No	
row_38	WRN	8002	-0.001471536816097796	-0.2222653	No	
row_39	BUB3	8060	-0.0018438659608364105	-0.22006205	No	
row_40	SS18	8122	-0.0021866948809474707	-0.21807353	No	
row_41	G3BP1	8142	-0.0023473193868994713	-0.21383035	No	
row_42	HUS1	8159	-0.00252025225199759	-0.2094261	No	
row_43	PAFAH1B1	8197	-0.002756193047389388	-0.2061492	No	
row_44	MTF2	8266	-0.003316713497042656	-0.20453647	No	
row_45	ORC5	8284	-0.0034556169994175434	-0.20018591	No	
row_46	CCNT1	8313	-0.0037390172947198153	-0.19642587	No	
row_47	SQLE	8411	-0.004837679211050272	-0.19636993	No	
row_48	SRSF10	8684	-0.008199700154364109	-0.20570844	No	
row_49	GSPT1	8875	-0.010985365137457848	-0.21064499	No	
row_50	CHMP1A	8955	-0.012202470563352108	-0.20962276	No	
row_51	HNRNPU	9045	-0.013859988190233707	-0.20913735	No	
row_52	CDKN1B	9223	-0.017365574836730957	-0.21337602	No	
row_53	NOLC1	9302	-0.019159577786922455	-0.2123001	No	
row_54	MEIS2	9400	-0.021702855825424194	-0.21224417	No	
row_55	ATF5	9629	-0.0270941574126482	-0.21922065	No	
row_56	CUL1	9669	-0.02815975807607174	-0.21605112	No	
row_57	NUP98	9841	-0.03365305811166763	-0.21996768	No	
row_58	CDC27	9875	-0.034917641431093216	-0.21647605	No	
row_59	E2F3	9998	-0.03909563273191452	-0.21776217	No	
row_60	HNRNPD	10054	-0.04115713760256767	-0.21545155	No	
row_61	MAPK14	10198	-0.04706278815865517	-0.21786502	No	
row_62	AMD1	10255	-0.049626242369413376	-0.21560809	No	
row_63	SNRPD1	10388	-0.05554383993148804	-0.21743104	No	
row_64	TFDP1	10401	-0.056520309299230576	-0.21281207	No	
row_65	FOXN3	10560	-0.06497297435998917	-0.21603076	No	
row_66	KIF5B	10652	-0.07051391899585724	-0.21565273	No	
row_67	STAG1	10682	-0.07204792648553848	-0.21194637	No	
row_68	RBM14	10683	-0.07205776125192642	-0.2066832	No	
row_69	DKC1	10692	-0.07239848375320435	-0.2018495	No	
row_70	PBK	10919	-0.08630242198705673	-0.20871863	No	
row_71	SAP30	11084	-0.09708477556705475	-0.21225943	No	
row_72	CENPE	11106	-0.09815748780965805	-0.2081236	No	
row_73	KPNB1	11203	-0.10560585558414459	-0.20801397	No	
row_74	LBR	11254	-0.10799691826105118	-0.20543495	No	
row_75	PRMT5	11259	-0.10825922340154648	-0.20038652	No	
row_76	CBX1	11527	-0.13120973110198975	-0.20945662	No	
row_77	TRA2B	11637	-0.14117427170276642	-0.21004488	No	
row_78	DR1	11665	-0.14356264472007751	-0.20623115	No	
row_79	DTYMK	11803	-0.15662385523319244	-0.20832251	No	
row_80	BRCA2	11845	-0.16223998367786407	-0.20526034	No	
row_81	PDS5B	11859	-0.16429048776626587	-0.20069505	No	
row_82	XPO1	11937	-0.1732022762298584	-0.19956546	No	
row_83	CDK1	12111	-0.19422058761119843	-0.2035894	No	
row_84	KATNA1	12148	-0.19903016090393066	-0.2002588	No	
row_85	KIF20B	12475	-0.24667342007160187	-0.21249619	No	
row_86	NUSAP1	12681	-0.2846675515174866	-0.21823797	No	
row_87	CKS2	13098	-0.3704587519168854	-0.23530678	Yes	
row_88	RPS6KA5	13114	-0.37415382266044617	-0.23084886	Yes	
row_89	CDK4	13218	-0.39523807168006897	-0.23111501	Yes	
row_90	RAD21	13372	-0.4293794333934784	-0.23406531	Yes	
row_91	LMNB1	13426	-0.4448653757572174	-0.23164733	Yes	
row_92	BARD1	13525	-0.4724416136741638	-0.23164506	Yes	
row_93	PTTG3P	13566	-0.4825360178947449	-0.22852921	Yes	
row_94	CCNF	13611	-0.4967147707939148	-0.2256281	Yes	
row_95	HMMR	13663	-0.5135610103607178	-0.22310275	Yes	
row_96	LIG3	13710	-0.5297864675521851	-0.22030899	Yes	
row_97	FBXO5	13748	-0.5427282452583313	-0.21703209	Yes	
row_98	KIF22	13773	-0.5508223176002502	-0.21305731	Yes	
row_99	BCL3	13810	-0.5627007484436035	-0.20972674	Yes	
row_100	TMPO	13847	-0.5729966163635254	-0.20639615	Yes	
row_101	KIF11	13927	-0.6015574336051941	-0.20537391	Yes	
row_102	MCM3	13969	-0.6178979873657227	-0.20231174	Yes	
row_103	SLC12A2	13979	-0.6220147609710693	-0.19753173	Yes	
row_104	TOP2A	14064	-0.659426212310791	-0.19677791	Yes	
row_105	HMGB3	14103	-0.6753702759742737	-0.1935547	Yes	
row_106	POLE	14126	-0.6857138276100159	-0.18947256	Yes	
row_107	HIRA	14141	-0.6891801357269287	-0.18496095	Yes	
row_108	DBF4	14206	-0.7207285761833191	-0.18313348	Yes	
row_109	MYC	14274	-0.7559709548950195	-0.18146706	Yes	
row_110	HSPA8	14276	-0.7576494216918945	-0.17625758	Yes	
row_111	SMC4	14289	-0.7647017240524292	-0.17163862	Yes	
row_112	PTTG1	14304	-0.7746235132217407	-0.16712701	Yes	
row_113	RPA2	14307	-0.7755138278007507	-0.16197123	Yes	
row_114	CHAF1A	14398	-0.8199081420898438	-0.16153951	Yes	
row_115	HMGN2	14415	-0.828368604183197	-0.15713526	Yes	
row_116	ORC6	14472	-0.8606067895889282	-0.15487833	Yes	
row_117	DDX39A	14518	-0.8842231035232544	-0.1520309	Yes	
row_118	CDC7	14519	-0.8842774629592896	-0.14676774	Yes	
row_119	ODC1	14569	-0.912955105304718	-0.14413503	Yes	
row_120	TACC3	14616	-0.9421131014823914	-0.14134127	Yes	
row_121	NEK2	14666	-0.9683126211166382	-0.13870856	Yes	
row_122	CDKN2C	14732	-1.006927490234375	-0.13693477	Yes	
row_123	PLK4	14736	-1.0074570178985596	-0.13183266	Yes	
row_124	CDC6	14767	-1.034466028213501	-0.12817998	Yes	
row_125	CCNB2	14863	-1.0931260585784912	-0.12801668	Yes	
row_126	CENPF	14890	-1.110554814338684	-0.12414927	Yes	
row_127	MAD2L1	14905	-1.117665410041809	-0.11963767	Yes	
row_128	TTK	15000	-1.1852116584777832	-0.11942068	Yes	
row_129	PRC1	15040	-1.2140265703201294	-0.11625114	Yes	
row_130	CCNA2	15053	-1.2229679822921753	-0.111632176	Yes	
row_131	KIF23	15079	-1.2477593421936035	-0.107711084	Yes	
row_132	SMC1A	15086	-1.2543617486953735	-0.10277002	Yes	
row_133	NDC80	15137	-1.2886053323745728	-0.100191	Yes	
row_134	UBE2C	15263	-1.3841824531555176	-0.10163817	Yes	
row_135	INCENP	15286	-1.415221095085144	-0.097556025	Yes	
row_136	POLQ	15310	-1.4399856328964233	-0.09352756	Yes	
row_137	CDKN3	15322	-1.4464956521987915	-0.08885492	Yes	
row_138	SUV39H1	15329	-1.4562687873840332	-0.083913855	Yes	
row_139	KIF4A	15353	-1.4743772745132446	-0.0798854	Yes	
row_140	SLC7A1	15449	-1.5727170705795288	-0.07972209	Yes	
row_141	TROAP	15459	-1.5853123664855957	-0.074942075	Yes	
row_142	UBE2S	15487	-1.6182785034179688	-0.071128346	Yes	
row_143	PRIM2	15488	-1.619235634803772	-0.06586519	Yes	
row_144	EZH2	15505	-1.6373767852783203	-0.061460953	Yes	
row_145	KIF15	15596	-1.7319090366363525	-0.061029233	Yes	
row_146	UCK2	15648	-1.7853986024856567	-0.05850389	Yes	
row_147	RAD23B	15817	-1.9939813613891602	-0.062259413	Yes	
row_148	CKS1B	15819	-1.995032787322998	-0.057049938	Yes	
row_149	NASP	15830	-2.010165214538574	-0.052323606	Yes	
row_150	RACGAP1	15833	-2.017542839050293	-0.04716781	Yes	
row_151	RBL1	15906	-2.1157619953155518	-0.045769803	Yes	
row_152	TPX2	15908	-2.119957447052002	-0.040560327	Yes	
row_153	TRAIP	15931	-2.1501553058624268	-0.036478188	Yes	
row_154	MCM5	15983	-2.215158224105835	-0.033952843	Yes	
row_155	MKI67	16007	-2.2544944286346436	-0.029924385	Yes	
row_156	BUB1	16018	-2.2717113494873047	-0.025198054	Yes	
row_157	ESPL1	16040	-2.297355890274048	-0.02106223	Yes	
row_158	CDC25A	16045	-2.303802967071533	-0.016013803	Yes	
row_159	EXO1	16131	-2.4448728561401367	-0.015313669	Yes	
row_160	AURKB	16171	-2.5125949382781982	-0.012144133	Yes	
row_161	POLA2	16264	-2.676133871078491	-0.011819777	Yes	
row_162	KPNA2	16268	-2.681011199951172	-0.0067176665	Yes	
row_163	ODF2	16293	-2.714087724685669	-0.0027428917	Yes	
row_164	MT2A	16303	-2.734225034713745	0.0020371226	Yes	
row_165	CDC45	16320	-2.768928050994873	0.006441359	Yes	
row_166	BIRC5	16354	-2.8370730876922607	0.00993299	Yes	
row_167	AURKA	16363	-2.852259397506714	0.0147666875	Yes	
row_168	PLK1	16387	-2.9090840816497803	0.018795146	Yes	
row_169	MCM6	16647	-3.44187068939209	0.010154502	Yes	
row_170	SLC7A5	16675	-3.4868102073669434	0.013968228	Yes	
row_171	KIF2C	16790	-3.8188741207122803	0.013111567	Yes	
row_172	RASAL2	16841	-3.923765182495117	0.015690593	Yes	
row_173	NOTCH2	16906	-4.08449125289917	0.017518064	Yes	
row_174	MYBL2	16923	-4.122368335723877	0.0219223	Yes	
row_175	STMN1	16924	-4.1242146492004395	0.027185457	Yes	
row_176	GINS2	16929	-4.139054775238037	0.032233886	Yes	
