NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	VEGFA	85	7.5895562171936035	6.1758875E-4	Yes	
row_1	CA12	122	6.356687545776367	0.00386605	Yes	
row_2	SLC2A1	181	4.931269645690918	0.005933303	Yes	
row_3	HS3ST1	283	3.8122782707214355	0.0056918315	Yes	
row_4	BNIP3L	372	3.230546712875366	0.0061483462	Yes	
row_5	P4HA1	388	3.1566262245178223	0.010524324	Yes	
row_6	DDIT4	490	2.6841697692871094	0.010282853	Yes	
row_7	PPFIA4	501	2.651463747024536	0.014927287	Yes	
row_8	GAPDH	544	2.4774129390716553	0.0178536	Yes	
row_9	ALDOC	611	2.2164785861968994	0.019491324	Yes	
row_10	ERO1A	673	2.0170114040374756	0.021397503	Yes	
row_11	ZNF292	687	1.9726511240005493	0.025880864	Yes	
row_12	HK2	756	1.7891713380813599	0.027411204	Yes	
row_13	FAM162A	770	1.7640070915222168	0.031894565	Yes	
row_14	ALDOA	864	1.5844365358352661	0.03208262	Yes	
row_15	CCNG2	880	1.5543797016143799	0.0364586	Yes	
row_16	BCAN	992	1.3779312372207642	0.035680216	Yes	
row_17	S100A4	1041	1.3040215969085693	0.038284384	Yes	
row_18	CP	1102	1.2150862216949463	0.04024425	Yes	
row_19	ADM	1145	1.1593743562698364	0.043170568	Yes	
row_20	NDRG1	1147	1.1570701599121094	0.04829822	Yes	
row_21	ANKZF1	1176	1.1088411808013916	0.05197621	Yes	
row_22	PDK1	1230	1.0445408821105957	0.054311924	Yes	
row_23	GPC1	1247	1.0207467079162598	0.05863421	Yes	
row_24	GPI	1276	0.9891395568847656	0.0623122	Yes	
row_25	MIF	1330	0.9368770122528076	0.06464791	Yes	
row_26	PRDX5	1371	0.908857524394989	0.0676816	Yes	
row_27	ADORA2B	1391	0.8920481204986572	0.07184282	Yes	
row_28	PFKL	1531	0.7905170917510986	0.06956108	Yes	
row_29	GYS1	1632	0.715593695640564	0.0693733	Yes	
row_30	KDM3A	1648	0.7068082690238953	0.073749274	Yes	
row_31	FOS	1716	0.6651875376701355	0.075333305	Yes	
row_32	ANGPTL4	1854	0.5999252796173096	0.07315895	Yes	
row_33	CDKN1A	1867	0.5949023365974426	0.077696	Yes	
row_34	FBP1	2093	0.4926726222038269	0.07079681	No	
row_35	GBE1	2145	0.4722548723220825	0.07323991	No	
row_36	HK1	2457	0.37115153670310974	0.061723266	No	
row_37	SLC25A1	2492	0.359957754611969	0.06507911	No	
row_38	PGF	2549	0.3419167995452881	0.067253746	No	
row_39	ILVBL	2618	0.3209356963634491	0.06878409	No	
row_40	MXI1	2844	0.2616637945175171	0.061884895	No	
row_41	CHST2	3197	0.20138704776763916	0.048166916	No	
row_42	TMEM45A	3213	0.199381023645401	0.05254289	No	
row_43	DDIT3	3226	0.19662396609783173	0.057079945	No	
row_44	CITED2	3384	0.17420044541358948	0.05383176	No	
row_45	LDHA	3606	0.1429910957813263	0.047147337	No	
row_46	EDN2	3661	0.1363873928785324	0.049429353	No	
row_47	ENO2	3802	0.12060417234897614	0.047093924	No	
row_48	PGAM2	3894	0.11329028755426407	0.047389366	No	
