NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TNFRSF21	193	4.791491508483887	0.0013246827	No	
row_1	BAK1	344	3.3839876651763916	0.0049449024	No	
row_2	IL9R	401	3.1071298122406006	0.013583273	No	
row_3	TNFRSF1A	1009	1.3398884534835815	-0.0071932613	No	
row_4	PLA2G2A	1023	1.3175052404403687	0.0037406462	No	
row_5	STAM2	1198	1.086374044418335	0.006079636	No	
row_6	ACVR1B	1853	0.6012494564056396	-0.017205974	No	
row_7	IL4R	1972	0.5458473563194275	-0.011877447	No	
row_8	IFNGR2	2340	0.40828588604927063	-0.019841682	No	
row_9	IRF9	2412	0.3839380145072937	-0.01200408	No	
row_10	TGFB1	3202	0.20080354809761047	-0.042496607	No	
row_11	CD36	3860	0.11569131910800934	-0.06594237	No	
row_12	IFNGR1	3861	0.11560987681150436	-0.054314464	No	
row_13	IL7	4067	0.09592745453119278	-0.053630397	No	
row_14	LTBR	4104	0.09314674884080887	-0.043924335	No	
row_15	TLR2	4216	0.08510103076696396	-0.038222115	No	
row_16	IL10RB	4282	0.08032593131065369	-0.030064207	No	
row_17	CD9	4347	0.07497608661651611	-0.021852912	No	
row_18	CD44	4399	0.0718931183218956	-0.012947619	No	
row_19	CNTFR	4663	0.05505765601992607	-0.015359857	No	
row_20	IFNAR1	5283	0.02697598934173584	-0.036777005	No	
row_21	LEPR	5284	0.026964718475937843	-0.0251491	No	
row_22	STAT3	7649	-2.1156165166758E-4	-0.13972235	No	
row_23	TYK2	8013	-0.0015233446611091495	-0.14747304	No	
row_24	STAT2	8764	-0.009352859109640121	-0.17588356	No	
row_25	MYD88	9415	-0.02194560132920742	-0.19895564	No	
row_26	CXCL1	9607	-0.026524966582655907	-0.19752419	No	
row_27	EBI3	9672	-0.028269538655877113	-0.18931289	No	
row_28	HAX1	10281	-0.05063702538609505	-0.2101428	No	
row_29	PTPN2	10797	-0.07773809880018234	-0.22600797	No	
row_30	INHBE	10842	-0.08107830584049225	-0.21672899	No	
row_31	IRF1	11100	-0.09767727553844452	-0.21882091	No	
row_32	PTPN1	11483	-0.12719328701496124	-0.22758591	No	
row_33	PTPN11	11490	-0.12776243686676025	-0.21627831	No	
row_34	FAS	11608	-0.13898004591464996	-0.2108964	No	
row_35	IL17RA	12566	-0.262851744890213	-0.25035754	No	
row_36	JUN	12805	-0.30831027030944824	-0.25143516	No	
row_37	PF4	13104	-0.37116020917892456	-0.25571585	Yes	
row_38	STAT1	13110	-0.37343060970306396	-0.24435487	Yes	
row_39	PIM1	13267	-0.40608617663383484	-0.24105497	Yes	
row_40	MAP3K8	13363	-0.4262537956237793	-0.23449859	Yes	
row_41	IL3RA	13422	-0.4428235590457916	-0.22596699	Yes	
row_42	IL15RA	13451	-0.45150452852249146	-0.21583386	Yes	
row_43	REG1A	13551	-0.47981497645378113	-0.20949101	Yes	
row_44	CRLF2	13588	-0.4897575080394745	-0.19978496	Yes	
row_45	ACVRL1	13759	-0.5463893413543701	-0.19723243	Yes	
row_46	GRB2	14082	-0.6634367108345032	-0.20279436	Yes	
row_47	LTB	14129	-0.6861148476600647	-0.19362214	Yes	
row_48	TNFRSF12A	14268	-0.7525392174720764	-0.1893613	Yes	
row_49	CSF1	14784	-1.0416220426559448	-0.20522647	Yes	
row_50	CBL	15325	-1.4494731426239014	-0.22242622	Yes	
row_51	IL13RA1	15397	-1.5226709842681885	-0.21458863	Yes	
row_52	IL6ST	15715	-1.8680833578109741	-0.21988364	Yes	
row_53	SOCS3	15970	-2.2037129402160645	-0.2218154	Yes	
row_54	OSMR	16020	-2.2736093997955322	-0.21280335	Yes	
row_55	A2M	16137	-2.4518280029296875	-0.20736805	Yes	
row_56	PDGFC	16139	-2.459671974182129	-0.19579352	Yes	
row_57	CD14	16362	-2.8509273529052734	-0.196017	Yes	
row_58	IL17RB	16474	-3.08937668800354	-0.19031478	Yes	
