NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FGFR3	7	23.123069763183594	0.005029728	No	
row_1	KRT13	66	8.587854385375977	0.0073223766	No	
row_2	WNT16	248	4.2000532150268555	0.0030138337	No	
row_3	PLAG1	302	3.679213762283325	0.0055748234	No	
row_4	GPRC5C	359	3.2986996173858643	0.007974808	No	
row_5	IDUA	640	2.123497247695923	-0.0016468888	No	
row_6	KRT15	719	1.8824303150177002	-4.2760474E-4	No	
row_7	TFF2	834	1.6367673873901367	-0.0011403767	No	
row_8	THRB	840	1.6284160614013672	0.003996688	No	
row_9	ENTPD7	1072	1.259209156036377	-0.0029952663	No	
row_10	P2RX6	1160	1.1308448314666748	-0.0022589962	No	
row_11	SIDT1	1174	1.1124602556228638	0.0024487223	No	
row_12	BTG2	1207	1.0734679698944092	0.0061367447	No	
row_13	ZNF112	1532	0.7903800010681152	-0.005846354	No	
row_14	CAMK1D	1594	0.7488177418708801	-0.0037147105	No	
row_15	LFNG	1892	0.5852228999137878	-0.014248767	No	
row_16	UPK3B	1997	0.5332116484642029	-0.014424857	No	
row_17	TFAP2B	2106	0.4864845275878906	-0.014815619	No	
row_18	FGGY	2113	0.4848461449146271	-0.009732223	No	
row_19	MFSD6	2158	0.46643608808517456	-0.00668822	No	
row_20	KMT2D	2269	0.42792218923568726	-0.0071863187	No	
row_21	ABCB11	2384	0.39303141832351685	-0.007899091	No	
row_22	PDE6B	2424	0.3807185888290405	-0.004586746	No	
row_23	GAMT	2482	0.3628941476345062	-0.0022404292	No	
row_24	TAS2R4	2537	0.34637609124183655	2.6689225E-4	No	
row_25	NGB	2553	0.34015393257141113	0.0048672743	No	
row_26	LYPD3	2599	0.3253278136253357	0.00785761	No	
row_27	KCNE2	2727	0.29063674807548523	0.006447151	No	
row_28	CHST2	3197	0.20138704776763916	-0.01331784	No	
row_29	PRODH	3255	0.19306503236293793	-0.010971524	No	
row_30	THNSL2	3369	0.17655207216739655	-0.011630627	No	
row_31	EDN2	3661	0.1363873928785324	-0.021842675	No	
row_32	ASB7	3998	0.10202692449092865	-0.03446979	No	
row_33	P2RY4	4049	0.09712762385606766	-0.0317478	No	
row_34	KRT5	4231	0.08373162895441055	-0.03605634	No	
row_35	SLC16A7	4241	0.08270857483148575	-0.03113395	No	
row_36	HTR1B	4242	0.0826924741268158	-0.025728544	No	
row_37	IL5	4476	0.06682788580656052	-0.032827836	No	
row_38	SLC29A3	4488	0.06616891920566559	-0.02801278	No	
row_39	SGK1	4489	0.06612007319927216	-0.022607375	No	
row_40	CNTFR	4663	0.05505765601992607	-0.026486572	No	
row_41	CLSTN3	4664	0.05502288043498993	-0.021081166	No	
row_42	CCDC106	4693	0.0535571351647377	-0.01717847	No	
row_43	KRT4	4745	0.050825342535972595	-0.0145101445	No	
row_44	EGF	4957	0.03955153375864029	-0.020428734	No	
row_45	MAST3	5040	0.03574150800704956	-0.019424122	No	
row_46	AKR1B10	5174	0.03042689524590969	-0.02115659	No	
row_47	RSAD2	5272	0.02737189084291458	-0.020957002	No	
row_48	CAPN9	5359	0.024599449709057808	-0.020167064	No	
row_49	VPS50	5524	0.01978180930018425	-0.023563247	No	
row_50	TEX15	5569	0.018624715507030487	-0.020519244	No	
row_51	MAGIX	5716	0.015444806776940823	-0.0229494	No	
row_52	CELSR2	5868	0.01218001451343298	-0.025647895	No	
row_53	PCDHB1	5985	0.010191461071372032	-0.026468003	No	
row_54	IFI44L	6356	0.005398757755756378	-0.04091984	No	
row_55	CD207	6379	0.005208376329392195	-0.036695138	No	
row_56	SCGB1A1	6723	0.0021725886035710573	-0.04969793	No	
row_57	LGALS7	6749	0.001946635078638792	-0.045634232	No	
row_58	NRIP2	6806	0.0016258745454251766	-0.043234248	No	
row_59	INSL5	6848	0.0013719054404646158	-0.04002924	No	
row_60	OXT	6902	0.0010976133635267615	-0.037468247	No	
row_61	ZC2HC1C	6941	9.286548593081534E-4	-0.034102235	No	
row_62	PKP1	6942	9.26858454477042E-4	-0.02869683	No	
row_63	ALOX12B	7112	3.164594527333975E-4	-0.032361355	No	
row_64	SLC25A23	7567	-8.034524944378063E-5	-0.051321324	No	
row_65	NPY4R	7714	-3.4090966801159084E-4	-0.053751476	No	
row_66	PDK2	7731	-3.7636724300682545E-4	-0.049204763	No	
row_67	CYP39A1	7845	-7.337215938605368E-4	-0.049863867	No	
row_68	CPEB3	7916	-0.001014968380331993	-0.048215237	No	
row_69	CACNA1F	7999	-0.00146177236456424	-0.047210626	No	
row_70	IGFBP2	8051	-0.0017566707683727145	-0.0445423	No	
row_71	SNN	8070	-0.0018890246283262968	-0.04010292	No	
row_72	MTHFR	8105	-0.00207407190464437	-0.036522236	No	
row_73	TLX1	8275	-0.003363522235304117	-0.040186763	No	
row_74	KCNQ2	8362	-0.004240860231220722	-0.039396822	No	
row_75	PAX3	8474	-0.005524906795471907	-0.03994859	No	
row_76	CALML5	8523	-0.006044111214578152	-0.03711926	No	
row_77	KRT1	8972	-0.012507091276347637	-0.055757217	No	
row_78	CLPS	9545	-0.024896102026104927	-0.08105004	No	
row_79	GRID2	10025	-0.039964187890291214	-0.10135171	No	
row_80	TFCP2L1	10077	-0.04197181761264801	-0.09868339	No	
row_81	SPHK2	10223	-0.04846935719251633	-0.10105987	No	
row_82	BRDT	10372	-0.05474602431058884	-0.103597365	No	
row_83	MX1	10573	-0.06592512875795364	-0.1089256	No	
row_84	FGF16	10696	-0.07255077362060547	-0.11006772	No	
row_85	KCND1	10831	-0.07978672534227371	-0.11185385	No	
row_86	CHRNG	10846	-0.08163881301879883	-0.1071998	No	
row_87	MSH5	10982	-0.09067122638225555	-0.10903961	No	
row_88	ADRA2C	10985	-0.09078247100114822	-0.10374154	No	
row_89	GP2	11058	-0.09537285566329956	-0.10220025	No	
row_90	SMPX	11132	-0.10051147639751434	-0.10071262	No	
row_91	TNNI3	11157	-0.10219665616750717	-0.09659526	No	
row_92	SPRR3	11211	-0.1060444712638855	-0.09403426	No	
row_93	IRS4	11530	-0.13126276433467865	-0.10569535	No	
row_94	ACTC1	11660	-0.14321592450141907	-0.10721315	No	
row_95	KCNN1	11726	-0.14912769198417664	-0.10529618	No	
row_96	ARPP21	12019	-0.18326307833194733	-0.115561895	No	
row_97	CPB1	12117	-0.19556351006031036	-0.11536231	No	
row_98	ARHGDIG	12184	-0.202858567237854	-0.113499	No	
row_99	CALCB	12285	-0.21772228181362152	-0.11346042	No	
row_100	SERPINA10	12363	-0.22803370654582977	-0.11218747	No	
row_101	CLDN16	12453	-0.24261648952960968	-0.111558534	No	
row_102	CACNG1	12737	-0.2957581579685211	-0.121341236	No	
row_103	GDNF	12920	-0.3294975757598877	-0.12570345	No	
row_104	CCNA1	13093	-0.36916300654411316	-0.12952897	No	
row_105	NUDT11	13305	-0.41518187522888184	-0.13544756	No	
row_106	FGF22	13499	-0.4641386568546295	-0.14040013	Yes	
row_107	BARD1	13525	-0.4724416136741638	-0.13633643	Yes	
row_108	GPR3	13528	-0.47321081161499023	-0.13103835	Yes	
row_109	SLC6A14	13600	-0.4947499632835388	-0.12944339	Yes	
row_110	CDH16	13647	-0.5091386437416077	-0.12650673	Yes	
row_111	SNCB	13766	-0.5484310984611511	-0.12743418	Yes	
row_112	CD40LG	13937	-0.6071166396141052	-0.13115236	Yes	
row_113	GTF3C5	13943	-0.6088842153549194	-0.1260153	Yes	
row_114	NPHS1	13972	-0.6181693077087402	-0.12211261	Yes	
row_115	ATP4A	14134	-0.6875203847885132	-0.1253478	Yes	
row_116	DTNB	14284	-0.7622819542884827	-0.12793894	Yes	
row_117	IL12B	14326	-0.7860103249549866	-0.12473394	Yes	
row_118	MYH7	14487	-0.8665077090263367	-0.12791544	Yes	
