NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ANXA10	53	9.882580757141113	0.002229893	No	
row_1	CBR4	77	7.9581780433654785	0.0060708704	No	
row_2	PTPRR	129	6.113831520080566	0.008408169	No	
row_3	TRIB2	143	5.718740940093994	0.012786175	No	
row_4	DUSP6	659	2.0560028553009033	-0.00979463	No	
row_5	PLEK2	672	2.0191309452056885	-0.005362922	No	
row_6	ERO1A	673	2.0170114040374756	-2.8678006E-4	No	
row_7	FUCA1	751	1.7996292114257812	6.542456E-4	No	
row_8	ID2	1050	1.2936900854110718	-0.01027305	No	
row_9	CFH	1061	1.2768868207931519	-0.0057339356	No	
row_10	MAP7	1239	1.0305708646774292	-0.010163191	No	
row_11	MTMR10	1416	0.8782881498336792	-0.0145387435	No	
row_12	CAB39L	1435	0.8646179437637329	-0.010429252	No	
row_13	IL33	1449	0.853236734867096	-0.0060512465	No	
row_14	VWA5A	1688	0.679047167301178	-0.013756374	No	
row_15	ANGPTL4	1854	0.5999252796173096	-0.017541194	No	
row_16	MPZL2	2022	0.5240551233291626	-0.021433422	No	
row_17	IGF2	2092	0.49349653720855713	-0.020062774	No	
row_18	PSMB8	2710	0.2967507243156433	-0.048121266	No	
row_19	PPBP	2777	0.2785429358482361	-0.04658951	No	
row_20	F2RL1	2859	0.259357213973999	-0.045863293	No	
row_21	PTCD2	3642	0.13830071687698364	-0.08278275	No	
row_22	ADAM8	3797	0.12146279215812683	-0.08597684	No	
row_23	NAP1L2	3905	0.11278940737247467	-0.0866469	No	
row_24	ZNF277	4219	0.08482948690652847	-0.09837974	No	
row_25	BTBD3	4285	0.0800931379199028	-0.09679428	No	
row_26	SATB1	4370	0.07362382858991623	-0.09622917	No	
row_27	JUP	4388	0.07259847223758698	-0.092065975	No	
row_28	RBM4	4483	0.06639499217271805	-0.0920379	No	
row_29	ETV4	4563	0.06134597584605217	-0.09120428	No	
row_30	CROT	4713	0.05235422030091286	-0.09412985	No	
row_31	MALL	4884	0.04271518066525459	-0.09818319	No	
row_32	ITGA2	5133	0.032019130885601044	-0.106425345	No	
row_33	PRELID3B	5148	0.03145670145750046	-0.10210104	No	
row_34	PLAT	5369	0.02437654696404934	-0.10883952	No	
row_35	ADAM17	5398	0.023501286283135414	-0.105267055	No	
row_36	ATG10	5670	0.016470892354846	-0.11474437	No	
row_37	PCSK1N	5802	0.013673520646989346	-0.1167033	No	
row_38	TSPAN1	5834	0.012956887483596802	-0.11329195	No	
row_39	AMMECR1	5953	0.010720808990299702	-0.11455274	No	
row_40	SDCCAG8	5963	0.010527458973228931	-0.10995992	No	
row_41	KCNN4	6033	0.00947725959122181	-0.10858927	No	
row_42	SPRY2	6232	0.006753933150321245	-0.114146285	No	
row_43	DNMBP	6348	0.005482926033437252	-0.11524597	No	
row_44	CFB	6627	0.0027628846000880003	-0.12509921	No	
row_45	TSPAN7	6711	0.002294245408847928	-0.1244804	No	
row_46	MMP10	6785	0.0017238333821296692	-0.12332456	No	
row_47	TSPAN13	6864	0.0013046788517385721	-0.12243724	No	
row_48	ACE	6870	0.0012769366148859262	-0.11762961	No	
row_49	IGFBP3	6959	8.291734266094863E-4	-0.11727931	No	
row_50	KIF5C	7076	4.0479638846591115E-4	-0.1184327	No	
row_51	IL1RL2	7194	1.405548391630873E-4	-0.119639784	No	
row_52	CDADC1	7234	9.117689478443936E-5	-0.116658054	No	
row_53	WDR33	7440	-1.9922902083635563E-6	-0.12259099	No	
row_54	TNNT2	7469	-1.174144108517794E-5	-0.119018525	No	
row_55	PRKG2	7737	-3.961154434364289E-4	-0.12828103	No	
row_56	GLRX	8005	-0.0014847160782665014	-0.13754354	No	
