NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LSP1	8	22.354063034057617	0.004698629	No	
row_1	SPDEF	127	6.1729021072387695	0.0034905835	No	
row_2	TNNI1	220	4.462427616119385	0.003678661	No	
row_3	KLF5	234	4.3296003341674805	0.008108805	No	
row_4	SH2B1	318	3.5606114864349365	0.008780156	No	
row_5	PPFIA4	501	2.651463747024536	0.0041354997	No	
row_6	PICK1	505	2.640587568283081	0.009102614	No	
row_7	SLC6A8	592	2.2767622470855713	0.009612874	No	
row_8	CTF1	674	2.016460418701172	0.010391619	No	
row_9	TNNI2	690	1.9673594236373901	0.014714369	No	
row_10	PKIA	1001	1.355736494064331	0.0031964914	No	
row_11	PLXNB2	1135	1.1705666780471802	0.0011829904	No	
row_12	RIT1	1393	0.8917450308799744	-0.0074889436	No	
row_13	EIF4A2	1546	0.7810266613960266	-0.010522689	No	
row_14	ERBB3	1606	0.7363686561584473	-0.008562609	No	
row_15	PRNP	1724	0.6621242761611938	-0.009716957	No	
row_16	ITGB4	1783	0.6324049830436707	-0.00770318	No	
row_17	NQO1	1824	0.6131517887115479	-0.0047228565	No	
row_18	MAPRE3	1862	0.5974674224853516	-0.0015814415	No	
row_19	CDKN1A	1867	0.5949023365974426	0.0033319755	No	
row_20	TSC2	1971	0.5464991331100464	0.0029293858	No	
row_21	AGRN	2161	0.4657972753047943	-0.0020911496	No	
row_22	MYO1C	2265	0.4301294982433319	-0.0024937394	No	
row_23	EFS	2479	0.36419957876205444	-0.0088030035	No	
row_24	TGFB1	3202	0.20080354809761047	-0.04244406	No	
row_25	CACNA1H	3316	0.18368321657180786	-0.04338362	No	
row_26	BAG1	3457	0.16336451470851898	-0.045773003	No	
row_27	CD36	3860	0.11569131910800934	-0.062231008	No	
row_28	NOTCH1	3884	0.11392386257648468	-0.058337834	No	
row_29	PGAM2	3894	0.11329028755426407	-0.0536929	No	
row_30	RB1	4116	0.09213307499885559	-0.06043174	No	
row_31	ABLIM1	4124	0.09151621162891388	-0.055679414	No	
row_32	MYOM2	4173	0.0876346230506897	-0.053128667	No	
row_33	FLII	4764	0.049988556653261185	-0.07968172	No	
row_34	OCEL1	4903	0.04173031076788902	-0.0819637	No	
row_35	SCD	5003	0.037525393068790436	-0.0821515	No	
row_36	VIPR1	5042	0.03569700941443443	-0.07906379	No	
row_37	TNNT3	5218	0.028997888788580894	-0.08333256	No	
row_38	PVALB	5224	0.028853565454483032	-0.078472845	No	
row_39	BHLHE40	5226	0.028714897111058235	-0.07339834	No	
row_40	PFKM	5403	0.023268191143870354	-0.077720806	No	
row_41	FKBP1B	5455	0.021582774817943573	-0.07533115	No	
row_42	AGL	5459	0.021452920511364937	-0.070364036	No	
row_43	ATP6AP1	5492	0.020767468959093094	-0.066954136	No	
row_44	PSEN2	5675	0.016407987102866173	-0.0715988	No	
row_45	DMPK	5991	0.010149504989385605	-0.083385155	No	
row_46	CDH13	6011	0.009902875870466232	-0.079277195	No	
row_47	PPP1R3C	6015	0.009837178513407707	-0.07431008	No	
row_48	GAA	6028	0.009620914235711098	-0.06982624	No	
row_49	CASQ1	6347	0.0054897647351026535	-0.08177369	No	
row_50	MYL6B	6502	0.003979155793786049	-0.08491483	No	
row_51	IGFBP3	6959	8.291734266094863E-4	-0.10427248	No	
row_52	GABARAPL2	7119	3.052123065572232E-4	-0.1076821	No	
row_53	TNNT2	7469	-1.174144108517794E-5	-0.12129416	No	
row_54	TNNC1	7549	-6.081391984480433E-5	-0.12040803	No	
row_55	SSPN	8548	-0.006440178956836462	-0.16886947	No	
row_56	TPD52L1	8572	-0.006715998984873295	-0.1649763	No	
row_57	APOD	8677	-0.00809444859623909	-0.16543257	No	
row_58	CFD	8815	-0.010091889649629593	-0.16766086	No	
row_59	ANKRD2	8943	-0.012022444047033787	-0.16935219	No	
row_60	MYH4	9276	-0.01846986450254917	-0.1820514	No	
row_61	AKT2	9574	-0.025570977479219437	-0.19287121	No	
row_62	MEF2A	9608	-0.02657228708267212	-0.18951501	No	
row_63	TNNT1	9847	-0.03392398729920387	-0.1971667	No	
row_64	HSPB8	10035	-0.04034515842795372	-0.20207985	No	
row_65	MYF6	10219	-0.04835967719554901	-0.2067782	No	
row_66	SYNGR2	10467	-0.05967659875750542	-0.21491316	No	
row_67	ATP2A1	10554	-0.06447895616292953	-0.2144029	No	
row_68	CHRNG	10846	-0.08163881301879883	-0.22490053	No	
row_69	MYOG	10898	-0.08511712402105331	-0.22251087	No	
row_70	APP	11059	-0.09538150578737259	-0.2259742	No	
row_71	FDPS	11287	-0.11030145734548569	-0.23303522	No	
row_72	ACSL1	11320	-0.11196907609701157	-0.22962531	No	
row_73	SIRT2	11439	-0.12243371456861496	-0.23083337	No	
row_74	COX6A2	11545	-0.1324962079524994	-0.23134334	No	
row_75	MYH1	11598	-0.1376531571149826	-0.2290074	No	
row_76	SH3BGR	11659	-0.1430194079875946	-0.22710101	No	
row_77	ACTC1	11660	-0.14321592450141907	-0.22197281	No	
row_78	GPX3	11694	-0.1463070958852768	-0.2186166	No	
row_79	MYH8	11761	-0.15238317847251892	-0.2170324	No	
row_80	MYL7	12140	-0.19778524339199066	-0.23220168	No	
row_81	DTNA	12365	-0.2285601943731308	-0.2391016	No	
row_82	MYH2	12375	-0.23014143109321594	-0.23445667	No	
row_83	CAV3	12431	-0.23912100493907928	-0.2322818	No	
row_84	DES	12629	-0.27285802364349365	-0.23773192	No	
row_85	ITGB5	12662	-0.27851447463035583	-0.23432203	No	
row_86	MYOZ1	12691	-0.28705689311027527	-0.23069733	No	
row_87	CACNG1	12737	-0.2957581579685211	-0.22798549	No	
row_88	PDLIM7	12744	-0.29766935110092163	-0.22317947	No	
row_89	CKB	13353	-0.42490869760513306	-0.25069907	Yes	
row_90	CLU	13385	-0.43417951464653015	-0.24723546	Yes	
row_91	KCNH1	13425	-0.4444071054458618	-0.24420145	Yes	
row_92	MYH11	13467	-0.45531007647514343	-0.24127482	Yes	
row_93	HBEGF	13655	-0.5123800039291382	-0.24618796	Yes	
row_94	MAPK12	13751	-0.5432130098342896	-0.24616097	Yes	
row_95	STC2	13790	-0.5564918518066406	-0.24307325	Yes	
row_96	MEF2D	13796	-0.5590944886207581	-0.23821354	Yes	
row_97	KIFC3	13954	-0.6147363781929016	-0.24151577	Yes	
row_98	TNNC2	13986	-0.6256202459335327	-0.23805217	Yes	
row_99	LPIN1	14054	-0.653497040271759	-0.23652166	Yes	
row_100	SMTN	14140	-0.6887252330780029	-0.23595771	Yes	
row_101	MYL3	14207	-0.7214064002037048	-0.23437351	Yes	
row_102	MYL2	14224	-0.7300310134887695	-0.23010446	Yes	
row_103	FOXO4	14320	-0.7813853621482849	-0.23007748	Yes	
row_104	DAPK2	14368	-0.8061482906341553	-0.22747302	Yes	
row_105	ACTN2	14437	-0.8405044674873352	-0.22599621	Yes	
row_106	MYH7	14487	-0.8665077090263367	-0.22349916	Yes	
row_107	COX7A1	14510	-0.880002498626709	-0.2195523	Yes	
row_108	MB	14545	-0.8989702463150024	-0.2162498	Yes	
row_109	IFRD1	14751	-1.0253446102142334	-0.22212948	Yes	
row_110	MYBPC3	14760	-1.0314980745315552	-0.21743084	Yes	
row_111	MYH9	14856	-1.089993953704834	-0.21740386	Yes	
row_112	IGFBP7	14888	-1.1085373163223267	-0.21394026	Yes	
row_113	SPEG	15056	-1.2271062135696411	-0.21777947	Yes	
row_114	FXYD1	15113	-1.2719340324401855	-0.21565829	Yes	
row_115	SCHIP1	15134	-1.286455512046814	-0.21160403	Yes	
row_116	HDAC5	15140	-1.289674997329712	-0.20674431	Yes	
row_117	AK1	15166	-1.3081295490264893	-0.20295854	Yes	
row_118	PYGM	15179	-1.3173447847366333	-0.19847469	Yes	
row_119	ACHE	15337	-1.4643776416778564	-0.20177692	Yes	
row_120	EPHB3	15399	-1.5240708589553833	-0.19992423	Yes	
row_121	TPM3	15414	-1.5429468154907227	-0.19554779	Yes	
row_122	CAMK2B	15447	-1.5717536211013794	-0.19213788	Yes	
row_123	ITGB1	15466	-1.5926481485366821	-0.18797623	Yes	
row_124	HRC	15503	-1.6306363344192505	-0.18478112	Yes	
row_125	MYL4	15691	-1.8381575345993042	-0.18969426	Yes	
row_126	MEF2C	15782	-1.9504125118255615	-0.1893988	Yes	
row_127	MYOM1	15858	-2.043757200241089	-0.18829787	Yes	
row_128	SPTAN1	15868	-2.0577921867370605	-0.18365292	Yes	
row_129	BDKRB2	15945	-2.171696901321411	-0.1826057	Yes	
row_130	PC	15995	-2.229510545730591	-0.18010865	Yes	
row_131	ADCY9	16077	-2.3616347312927246	-0.1793299	Yes	
row_132	ENO3	16182	-2.5301358699798584	-0.17978619	Yes	
row_133	ACTN3	16197	-2.555184841156006	-0.17540975	Yes	
row_134	FGF2	16207	-2.575108766555786	-0.17076482	Yes	
row_135	GJA5	16273	-2.689221143722534	-0.16912691	Yes	
row_136	PTP4A3	16300	-2.7265148162841797	-0.16539483	Yes	
row_137	RYR1	16329	-2.785374641418457	-0.16177015	Yes	
row_138	CHRNB1	16414	-2.972099542617798	-0.1611525	Yes	
row_139	SORBS3	16471	-3.085989236831665	-0.15903132	Yes	
row_140	GADD45B	16503	-3.1366090774536133	-0.15556772	Yes	
row_141	HSPB2	16514	-3.171955108642578	-0.1509765	Yes	
row_142	COL4A2	16540	-3.2157037258148193	-0.1471907	Yes	
row_143	CRAT	16583	-3.313584804534912	-0.14431778	Yes	
row_144	PTGIS	16756	-3.7444143295288086	-0.14842546	Yes	
row_145	SGCA	16758	-3.7504630088806152	-0.14335096	Yes	
row_146	CKMT2	16813	-3.8544650077819824	-0.14112239	Yes	
row_147	PDE4DIP	16856	-3.9455549716949463	-0.13824946	Yes	
row_148	LAMA2	16884	-4.02208137512207	-0.13457108	Yes	
row_149	SPARC	16985	-4.2939453125	-0.13481258	Yes	
row_150	APLNR	17052	-4.493960857391357	-0.13322838	Yes	
row_151	TPM2	17057	-4.504759788513184	-0.12831496	Yes	
row_152	GSN	17113	-4.723934173583984	-0.12614009	Yes	
row_153	BIN1	17138	-4.788603782653809	-0.12230061	Yes	
row_154	CASQ2	17260	-5.257208824157715	-0.12366975	Yes	
row_155	ITGA7	17296	-5.425511360168457	-0.12042094	Yes	
row_156	TEAD4	17339	-5.604979515075684	-0.11754801	Yes	
row_157	TAGLN	17377	-5.749281406402588	-0.11440659	Yes	
row_158	IGF1	17466	-6.160109519958496	-0.11400373	Yes	
row_159	FHL1	17510	-6.322961807250977	-0.1111845	Yes	
