NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	WNT5A	510	2.623413562774658	0.004102125	Yes	
row_1	NOTCH3	679	1.9972758293151855	0.026409294	Yes	
row_2	CCND1	793	1.714705228805542	0.051644176	Yes	
row_3	KAT2A	972	1.4079792499542236	0.073419034	Yes	
row_4	SKP1	1011	1.333722472190857	0.102646254	Yes	
row_5	HES1	1096	1.2226601839065552	0.12942484	Yes	
row_6	RBX1	1477	0.8295192718505859	0.140447	Yes	
row_7	DTX4	1494	0.8172507882118225	0.17084531	Yes	
row_8	LFNG	1892	0.5852228999137878	0.18096256	Yes	
row_9	PPARD	3452	0.1639280915260315	0.12922522	No	
row_10	FBXW11	3602	0.14339828491210938	0.15254378	No	
row_11	NOTCH1	3884	0.11392386257648468	0.16883585	No	
row_12	PSENEN	5023	0.03656986355781555	0.13950881	No	
row_13	PRKCA	5228	0.02863944135606289	0.15989967	No	
row_14	PSEN2	5675	0.016407987102866173	0.16740859	No	
row_15	TCF7L2	8358	-0.004201152827590704	0.055892702	No	
row_16	DTX2	9168	-0.01639404706656933	0.04407872	No	
row_17	CUL1	9669	-0.02815975807607174	0.048713155	No	
row_18	SAP30	11084	-0.09708477556705475	0.0046943394	No	
row_19	FZD5	11557	-0.13370546698570251	0.010819247	No	
row_20	APH1A	12034	-0.18532493710517883	0.01673123	No	
row_21	JAG1	12203	-0.20555616915225983	0.0390384	No	
row_22	DLL1	14291	-0.7654527425765991	-0.040804964	No	
row_23	FZD1	15068	-1.2398127317428589	-0.05086232	No	
row_24	FZD7	15230	-1.354992389678955	-0.028182529	No	
row_25	HEYL	15805	-1.9801921844482422	-0.027487198	No	
row_26	NOTCH2	16906	-4.08449125289917	-0.05479144	No	
row_27	MAML2	17108	-4.707861423492432	-0.034240894	No	
row_28	ARRB1	17877	-8.265284538269043	-0.0438724	No	
row_29	WNT2	17940	-8.729057312011719	-0.01592273	No	
row_30	ST3GAL6	18363	-13.284873008728027	-0.007136266	No	
row_31	DTX1	18431	-14.199560165405273	0.020547248	No	
