NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DGKA	119	6.452404022216797	-0.0012079146	Yes	
row_1	CLCA2	137	5.897629737854004	0.0030606808	Yes	
row_2	ANKRA2	141	5.732601165771484	0.008080954	Yes	
row_3	TXNIP	194	4.7892608642578125	0.010470355	Yes	
row_4	TNNI1	220	4.462427616119385	0.01430942	Yes	
row_5	HEXIM1	260	4.073423385620117	0.017396808	Yes	
row_6	BLCAP	293	3.742684841156006	0.020860033	Yes	
row_7	IP6K2	299	3.699500799179077	0.025772924	Yes	
row_8	GPX2	312	3.6092331409454346	0.030309975	Yes	
row_9	BAK1	344	3.3839876651763916	0.033826895	Yes	
row_10	SDC1	370	3.2543258666992188	0.03766596	Yes	
row_11	MKNK2	475	2.7180511951446533	0.037263412	Yes	
row_12	DDIT4	490	2.6841697692871094	0.041693084	Yes	
row_13	SERPINB5	502	2.6498641967773438	0.046283826	Yes	
row_14	CASP1	524	2.563563346862793	0.050337657	Yes	
row_15	LDHB	628	2.1631710529327393	0.049988803	Yes	
row_16	RXRA	747	1.8062163591384888	0.048834577	Yes	
row_17	FUCA1	751	1.7996292114257812	0.053854853	Yes	
row_18	FAM162A	770	1.7640070915222168	0.058069754	Yes	
row_19	ERCC5	814	1.6648333072662354	0.060942378	Yes	
row_20	MXD4	875	1.5655441284179688	0.06290225	Yes	
row_21	HINT1	942	1.4469904899597168	0.06453997	Yes	
row_22	ABAT	1024	1.3161606788635254	0.065372325	Yes	
row_23	S100A4	1041	1.3040215969085693	0.06969461	Yes	
row_24	PLXNB2	1135	1.1705666780471802	0.06988267	Yes	
row_25	NDRG1	1147	1.1570701599121094	0.07447341	Yes	
row_26	BTG2	1207	1.0734679698944092	0.076486975	Yes	
row_27	SP1	1227	1.0478408336639404	0.08064819	Yes	
row_28	TP63	1295	0.965894877910614	0.08223222	Yes	
row_29	TM7SF3	1342	0.9263404011726379	0.08494377	Yes	
row_30	CCNG1	1446	0.8547110557556152	0.08459491	Yes	
row_31	RPS12	1541	0.7851263284683228	0.084729284	Yes	
row_32	ABCC5	1550	0.777445912361145	0.0894811	Yes	
row_33	RPL18	1610	0.7352173924446106	0.09149466	Yes	
row_34	VWA5A	1688	0.679047167301178	0.09254178	Yes	
row_35	CTSD	1703	0.6723999977111816	0.096971445	Yes	
row_36	FOS	1716	0.6651875376701355	0.1015085	Yes	
row_37	ZNF365	1721	0.6634427309036255	0.106475085	Yes	
row_38	PRKAB1	1737	0.6536009311676025	0.11085106	Yes	
row_39	ITGB4	1783	0.6324049830436707	0.1136163	Yes	
row_40	ACVR1B	1853	0.6012494564056396	0.11509295	Yes	
row_41	CDKN1A	1867	0.5949023365974426	0.119576305	Yes	
row_42	MDM2	2033	0.5174502730369568	0.115898594	Yes	
row_43	RAB40C	2049	0.5116729140281677	0.12027457	Yes	
row_44	PHLDA3	2073	0.5017263293266296	0.12422102	Yes	
row_45	GM2A	2088	0.4953244626522064	0.1286507	Yes	
row_46	SLC7A11	2090	0.4942070543766022	0.13377835	Yes	
row_47	STEAP3	2110	0.4860127866268158	0.13793956	Yes	
row_48	EPHA2	2146	0.4719662368297577	0.14124171	Yes	
row_49	EPS8L2	2165	0.4646863639354706	0.14545661	Yes	
row_50	SESN1	2244	0.43691563606262207	0.14645004	Yes	
row_51	TAX1BP3	2580	0.3303270637989044	0.13364482	No	
row_52	SLC35D1	2730	0.29017797112464905	0.13082616	No	
row_53	RPL36	2870	0.25617101788520813	0.12854442	No	
row_54	HDAC3	2971	0.24090556800365448	0.12835664	No	
row_55	POLH	3026	0.22921670973300934	0.13063866	No	
row_56	PERP	3043	0.2263372540473938	0.13496095	No	
row_57	TGFB1	3202	0.20080354809761047	0.13165908	No	
row_58	DDIT3	3226	0.19662396609783173	0.13560551	No	
row_59	ISCU	3374	0.17577095329761505	0.13289425	No	
row_60	TP53	3517	0.1538214534521103	0.13045144	No	
row_61	NOTCH1	3884	0.11392386257648468	0.11598177	No	
row_62	OSGIN1	3961	0.10614468902349472	0.11708259	No	
row_63	POM121	3986	0.10341427475214005	0.12097534	No	
row_64	GLS2	4000	0.10168789327144623	0.1254587	No	
row_65	RB1	4116	0.09213307499885559	0.124465555	No	
row_66	PRMT2	4193	0.08640821278095245	0.12556636	No	
row_67	FDXR	4308	0.07825055718421936	0.124626905	No	
row_68	VDR	4400	0.07185979932546616	0.12492234	No	
row_69	APAF1	4896	0.04231422021985054	0.10352651	No	
row_70	RPS27L	4946	0.03979348763823509	0.106076986	No	
row_71	FBXW7	5028	0.03639218583703041	0.10690934	No	
row_72	CSRNP2	5080	0.03409181162714958	0.10935243	No	
row_73	CD81	5111	0.03272809833288193	0.11292304	No	
row_74	TRIAP1	5156	0.03128047287464142	0.115741976	No	
row_75	FOXO3	5172	0.030524440109729767	0.12011795	No	
row_76	CGRRF1	5252	0.028074661269783974	0.12105769	No	
row_77	TOB1	5501	0.02048514597117901	0.1129236	No	
row_78	ZFP36L1	5552	0.01907476596534252	0.11542038	No	
row_79	DEF6	5640	0.017060929909348488	0.11593059	No	
row_80	MAPKAPK3	5690	0.01600765995681286	0.11848106	No	
row_81	RCHY1	5765	0.014453320764005184	0.119689256	No	
row_82	ALOX15B	5781	0.013999191112816334	0.124065235	No	
row_83	TSPYL2	5789	0.013793444260954857	0.12887074	No	
row_84	CDKN2AIP	5847	0.012651766650378704	0.13099168	No	
row_85	CDH13	6011	0.009902875870466232	0.12742135	No	
row_86	KRT17	6052	0.009226555936038494	0.13045505	No	
row_87	MXD1	6170	0.007621015887707472	0.12935452	No	
row_88	RAD9A	6406	0.004962414503097534	0.12191842	No	
row_89	HRAS	6531	0.003727372968569398	0.12044205	No	
row_90	CCP110	6537	0.00367272668518126	0.12535493	No	
row_91	NINJ1	6577	0.0032777348533272743	0.12844232	No	
row_92	KIF13B	6685	0.0024108216166496277	0.12787871	No	
row_93	PROCR	6849	0.0013689672341570258	0.12430837	No	
row_94	CEBPA	6913	0.001052368781529367	0.12610717	No	
row_95	CYFIP2	6991	7.028785767033696E-4	0.12715429	No	
row_96	RALGDS	7132	2.804257092066109E-4	0.124818854	No	
row_97	PIDD1	7197	1.371165126329288E-4	0.12656397	No	
row_98	DDB2	7276	4.916238322039135E-5	0.1275574	No	
row_99	RRP8	7288	3.875287075061351E-5	0.13214813	No	
row_100	INHBB	7335	1.3814333215123042E-5	0.13485968	No	
row_101	VAMP8	7338	1.2639015949389432E-5	0.13993365	No	
row_102	TRAF4	7619	-1.725473557598889E-4	0.13008143	No	
row_103	ST14	7745	-4.1971623431891203E-4	0.12855138	No	
row_104	NUDT15	7875	-8.28893797006458E-4	0.12680654	No	
row_105	EI24	8027	-0.0015944486949592829	0.12388051	No	
row_106	DCXR	8381	-0.004397631157189608	0.11010884	No	
row_107	XPC	8434	-0.005127429496496916	0.11249824	No	
row_108	TPD52L1	8572	-0.006715998984873295	0.11032388	No	
row_109	CCNK	8637	-0.007412407081574202	0.11206899	No	
row_110	WRAP73	8664	-0.007897049188613892	0.11585436	No	
row_111	SERTAD3	8702	-0.008434266783297062	0.11904913	No	
row_112	ADA	9029	-0.013654377311468124	0.10672712	No	
row_113	TNFSF9	9242	-0.017867226153612137	0.10052592	No	
row_114	PVT1	9377	-0.02095399796962738	0.098512635	No	
row_115	EPHX1	9379	-0.02102661319077015	0.103640296	No	
row_116	TRAFD1	9401	-0.02171994186937809	0.10769412	No	
row_117	PLK3	9507	-0.02423230931162834	0.10723788	No	
row_118	IER5	9604	-0.02637650817632675	0.10726487	No	
row_119	DNTTIP2	9646	-0.027561765164136887	0.11024488	No	
row_120	PITPNC1	9649	-0.027715209871530533	0.11531884	No	
row_121	BTG1	9754	-0.03096451796591282	0.114916295	No	
row_122	PTPRE	9912	-0.036072514951229095	0.11166811	No	
row_123	BAX	10084	-0.042203135788440704	0.10766825	No	
row_124	NHLH2	10172	-0.0461629256606102	0.10817846	No	
row_125	ZMAT3	10237	-0.049049004912376404	0.109923564	No	
row_126	AEN	10873	-0.08315874636173248	0.08101095	No	
row_127	JAG2	10910	-0.08579160273075104	0.08425941	No	
row_128	CCND2	11001	-0.09151875227689743	0.08460855	No	
row_129	APP	11059	-0.09538150578737259	0.08672949	No	
row_130	ATF3	11185	-0.10414684563875198	0.08519942	No	
row_131	RGS16	11479	-0.12666380405426025	0.07464923	No	
row_132	BAIAP2	11558	-0.13374704122543335	0.07564266	No	
row_133	GADD45A	11596	-0.1375550627708435	0.078837425	No	
row_134	FAS	11608	-0.13898004591464996	0.083428174	No	
row_135	TPRKB	11617	-0.1396140605211258	0.08817999	No	
row_136	SLC19A2	11716	-0.1484285145998001	0.08809959	No	
row_137	SLC3A2	12141	-0.19803357124328613	0.070515834	No	
row_138	TCHH	12298	-0.21968013048171997	0.067321345	No	
row_139	BMP2	12328	-0.2232775241136551	0.07094564	No	
row_140	RAP2B	12393	-0.23229248821735382	0.07269075	No	
row_141	RHBDF2	12719	-0.29179421067237854	0.06042243	No	
row_142	JUN	12805	-0.30831027030944824	0.06104002	No	
row_143	HSPA4L	12808	-0.3085777759552002	0.066113986	No	
row_144	CCND3	12821	-0.31030187010765076	0.07065104	No	
row_145	FGF13	13176	-0.38616588711738586	0.056825675	No	
row_146	CTSF	13241	-0.40124356746673584	0.05857078	No	
row_147	IER3	13263	-0.4054245054721832	0.06262461	No	
row_148	WWP1	13358	-0.4256296157836914	0.062758975	No	
row_149	PPM1D	13432	-0.44705501198768616	0.064020865	No	
row_150	TSC22D1	13532	-0.4735961854457855	0.06388677	No	
row_151	RETSAT	13576	-0.48570600152015686	0.06675939	No	
row_152	UPP1	13639	-0.5070565342903137	0.06861188	No	
row_153	HBEGF	13655	-0.5123800039291382	0.07298786	No	
row_154	SFN	13747	-0.5426099896430969	0.0732833	No	
row_155	NOL8	13807	-0.561944842338562	0.075296864	No	
row_156	SEC61A1	13821	-0.5652651190757751	0.07978022	No	
row_157	PDGFA	13952	-0.6130844354629517	0.0779817	No	
row_158	PTPN14	14084	-0.6648551821708679	0.076129496	No	
row_159	PCNA	14273	-0.7558943033218384	0.07121688	No	
row_160	PPP1R15A	14280	-0.7586816549301147	0.07607608	No	
row_161	LIF	14390	-0.8176641464233398	0.07540508	No	
row_162	KLF4	14397	-0.8197552561759949	0.08026428	No	
row_163	PMM1	14408	-0.8248829245567322	0.08490872	No	
row_164	TGFA	14614	-0.9409230947494507	0.07908335	No	
row_165	TAP1	14649	-0.9595794677734375	0.08243919	No	
row_166	IRAK1	14668	-0.9685098528862	0.0866541	No	
row_167	RAD51C	14724	-1.0010976791381836	0.088882424	No	
row_168	IL1A	14740	-1.0116949081420898	0.0932584	No	
row_169	ABHD4	14860	-1.0917997360229492	0.092050485	No	
row_170	DRAM1	14923	-1.128311038017273	0.093902975	No	
row_171	AK1	15166	-1.3081295490264893	0.086091034	No	
row_172	S100A10	15255	-1.380312204360962	0.086547546	No	
row_173	TM4SF1	15294	-1.4209214448928833	0.08968863	No	
row_174	CD82	15501	-1.6295722723007202	0.08380957	No	
row_175	TRIB3	15569	-1.7011510133743286	0.08539361	No	
row_176	SAT1	15733	-1.8867077827453613	0.081823274	No	
row_177	ZBTB16	16010	-2.2585325241088867	0.07218583	No	
row_178	TCN2	16168	-2.505725383758545	0.068937644	No	
row_179	RRAD	16169	-2.5065512657165527	0.074118994	No	
row_180	STOM	16381	-2.8987374305725098	0.06797148	No	
row_181	NUPR1	16476	-3.0945498943328857	0.06810585	No	
row_182	PLK2	16678	-3.4910523891448975	0.06249525	No	
row_183	CDK5R1	16791	-3.8223283290863037	0.061663173	No	
row_184	IFI30	16964	-4.237571716308594	0.05760962	No	
row_185	CDKN2A	17010	-4.378525257110596	0.060374863	No	
row_186	SOCS1	17091	-4.644163608551025	0.061260905	No	
row_187	RNF19B	17400	-5.860519886016846	0.04990534	No	
row_188	F2R	17952	-8.792698860168457	0.025502797	No	
row_189	KLK8	18497	-15.520544052124023	0.0014760906	No	
row_190	SPHK1	18514	-15.798605918884277	0.005798377	No	
row_191	CDKN2B	18523	-16.020793914794922	0.010550194	No	
row_192	HMOX1	18585	-18.345664978027344	0.012456373	No	
