NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC2A1	181	4.931269645690918	1.3305212E-4	Yes	
row_1	MAPK10	467	2.764312744140625	-0.0052906387	Yes	
row_2	MKNK2	475	2.7180511951446533	0.0041392716	Yes	
row_3	GNGT1	872	1.5689055919647217	-0.0072151734	Yes	
row_4	TNFRSF1A	1009	1.3398884534835815	-0.0046777613	Yes	
row_5	PDK1	1230	1.0445408821105957	-0.0066284877	Yes	
row_6	RIT1	1393	0.8917450308799744	-0.0054802615	Yes	
row_7	CAB39L	1435	0.8646179437637329	0.0021330214	Yes	
row_8	VAV3	1579	0.7630824446678162	0.004296422	Yes	
row_9	ARPC3	1700	0.672648549079895	0.0076887175	Yes	
row_10	AP2M1	1831	0.6099502444267273	0.01054671	Yes	
row_11	RPS6KA1	1848	0.6024488210678101	0.01949575	Yes	
row_12	CDKN1A	1867	0.5949023365974426	0.028337928	Yes	
row_13	PLA2G12A	1895	0.5843376517295837	0.03669923	Yes	
row_14	TSC2	1971	0.5464991331100464	0.042495888	Yes	
row_15	TBK1	2064	0.5043650269508362	0.04738423	Yes	
row_16	UBE2D3	2102	0.4897376298904419	0.055211235	Yes	
row_17	PLCB1	2328	0.4117424190044403	0.052993357	Yes	
row_18	IRAK4	2409	0.3843901455402374	0.05852286	Yes	
row_19	PIKFYVE	2607	0.32358795404434204	0.05780103	Yes	
row_20	EIF4E	2812	0.27047213912010193	0.056705188	Yes	
row_21	RIPK1	2824	0.2669311761856079	0.06592137	Yes	
row_22	UBE2N	2932	0.24736951291561127	0.07000826	Yes	
row_23	AKT1	3017	0.2308024913072586	0.07532405	Yes	
row_24	RAC1	3215	0.1989327371120453	0.07460222	Yes	
row_25	DDIT3	3226	0.19662396609783173	0.083871834	Yes	
row_26	AKT1S1	3608	0.1428568959236145	0.07331885	No	
row_27	SQSTM1	3681	0.1345946043729782	0.07927579	No	
row_28	MAP3K7	3971	0.10480525344610214	0.07363838	No	
row_29	PTEN	4451	0.06827656924724579	0.057849225	No	
row_30	MKNK1	4459	0.06769474595785141	0.06727914	No	
row_31	PRKAG1	4844	0.044797614216804504	0.056565855	No	
row_32	SMAD2	4847	0.04470231384038925	0.066262916	No	
row_33	THEM4	4863	0.043682195246219635	0.075265385	No	
row_34	PIK3R3	5367	0.024396266788244247	0.058193903	No	
row_35	YWHAB	5589	0.01816190406680107	0.05618975	No	
row_36	ACTR3	5705	0.015634220093488693	0.059849195	No	
row_37	GSK3B	6343	0.005499723367393017	0.035618067	No	
row_38	HRAS	6531	0.003727372968569398	0.035430536	No	
row_39	ARF1	6633	0.002717485185712576	0.03983801	No	
row_40	ACACA	6900	0.001103025395423174	0.03542949	No	
row_41	PPP1CA	6961	8.205931517295539E-4	0.0420276	No	
row_42	PFN1	6963	8.112217183224857E-4	0.05177809	No	
row_43	CSNK2B	7206	1.261783327208832E-4	0.0486519	No	
row_44	MAP2K3	7561	-7.346933125518262E-5	0.039541524	No	
row_45	MAPK9	7608	-1.5123515913728625E-4	0.046887655	No	
row_46	ECSIT	7815	-6.232528248801827E-4	0.045684952	No	
row_47	DAPP1	8680	-0.008126381784677505	0.009325164	No	
row_48	RPS6KA3	8727	-0.008789113722741604	0.016671296	No	
row_49	STAT2	8764	-0.009352859109640121	0.02455173	No	
row_50	ARHGDIA	8781	-0.009592675603926182	0.03350077	No	
row_51	PAK4	9001	-0.01312202773988247	0.03160347	No	
row_52	PPP2R1B	9095	-0.014782944694161415	0.036438383	No	
row_53	CDKN1B	9223	-0.017365574836730957	0.03945667	No	
row_54	MYD88	9415	-0.02194560132920742	0.03905542	No	
row_55	PLCG1	9472	-0.023348413407802582	0.045867246	No	
row_56	TIAM1	9532	-0.0246576014906168	0.052518785	No	
row_57	PIN1	9661	-0.028017466887831688	0.05548364	No	
row_58	RPTOR	10081	-0.04210515692830086	0.042900298	No	
row_59	ACTR2	10498	-0.06120096147060394	0.03047725	No	
row_60	CLTC	11225	-0.10685820132493973	0.0014908322	No	
row_61	ATF1	11258	-0.10819984972476959	0.009584988	No	
row_62	RALB	11350	-0.11484263092279434	0.014526759	No	
row_63	PTPN11	11490	-0.12776243686676025	0.016903881	No	
row_64	HSP90B1	11754	-0.15166057646274567	0.012655655	No	
row_65	CDK1	12111	-0.19422058761119843	0.003438418	No	
row_66	MAPK1	12172	-0.20146535336971283	0.010036527	No	
row_67	MAP2K6	12196	-0.20468753576278687	0.018611554	No	
row_68	CFL1	12457	-0.24311509728431702	0.014523619	No	
row_69	PRKCB	12876	-0.31963589787483215	0.0019937085	No	
row_70	MAPK8	12906	-0.32558390498161316	0.010248154	No	
row_71	CAB39	13003	-0.34824007749557495	0.014922774	No	
row_72	CALR	13216	-0.3950453996658325	0.01339949	No	
row_73	CDK4	13218	-0.39523807168006897	0.023149982	No	
row_74	DUSP3	13300	-0.4144836962223053	0.028626056	No	
row_75	NCK1	13346	-0.4226301610469818	0.036025617	No	
row_76	FGF22	13499	-0.4641386568546295	0.037708145	No	
row_77	SFN	13747	-0.5426099896430969	0.034314804	No	
row_78	ITPR2	13843	-0.5722179412841797	0.039042857	No	
row_79	GRB2	14082	-0.6634367108345032	0.036130384	No	
row_80	NFKBIB	14158	-0.6949988007545471	0.04192704	No	
row_81	NOD1	14230	-0.7326620817184448	0.047937416	No	
row_82	PRKAR2A	14261	-0.7483986020088196	0.056138434	No	
row_83	PRKAA2	14369	-0.8067396879196167	0.06022532	No	
row_84	RAF1	14590	-0.9262225031852722	0.058274593	No	
row_85	FGF17	14854	-1.0897101163864136	0.05402637	No	
row_86	PITX2	15197	-1.3282885551452637	0.045557156	No	
row_87	TRIB3	15569	-1.7011510133743286	0.035538465	No	
