NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CLCN3	534	2.5191116333007812	-0.017994754	Yes	
row_1	SCAMP1	873	1.5677634477615356	-0.0255211	Yes	
row_2	ADAM10	943	1.4432003498077393	-0.01868009	Yes	
row_3	GALC	944	1.4429774284362793	-0.008153775	Yes	
row_4	VAMP4	1408	0.8829313516616821	-0.0223564	Yes	
row_5	GNAS	1542	0.7847910523414612	-0.018933646	Yes	
row_6	ICA1	1646	0.7070966362953186	-0.0139085855	Yes	
row_7	STX16	1655	0.7039618492126465	-0.0038095517	Yes	
row_8	MON2	1731	0.6560130715370178	0.0027109962	Yes	
row_9	AP2M1	1831	0.6099502444267273	0.007949699	Yes	
row_10	SOD1	2032	0.5186572074890137	0.0077939657	Yes	
row_11	ARFIP1	2055	0.5083880424499512	0.017145257	Yes	
row_12	NAPA	2334	0.40996232628822327	0.012823525	Yes	
row_13	BNIP3	2830	0.26518014073371887	-0.003088229	Yes	
row_14	SNAP23	2907	0.25065359473228455	0.0033789086	Yes	
row_15	AP3B1	3011	0.23234322667121887	0.00840397	Yes	
row_16	VPS45	3852	0.11631995439529419	-0.025934318	Yes	
row_17	TMX1	3883	0.11400438100099564	-0.01701031	Yes	
row_18	CD63	3983	0.10358265787363052	-0.011771608	Yes	
row_19	COG2	4150	0.08995337039232254	-0.010111392	Yes	
row_20	OCRL	4304	0.07882282882928848	-0.007756843	Yes	
row_21	CLN5	4343	0.07546988129615784	7.39884E-4	Yes	
row_22	VAMP3	4584	0.05984840169548988	-0.0015522583	Yes	
row_23	NAPG	4762	0.050133608281612396	-4.7955516E-4	Yes	
row_24	TOM1L1	4859	0.04394705221056938	0.0049193776	Yes	
row_25	ARFGEF2	4977	0.03875678777694702	0.009196695	Yes	
row_26	BET1	5008	0.037261173129081726	0.018120704	Yes	
row_27	STX7	5075	0.03423016145825386	0.025121944	Yes	
row_28	AP1G1	5494	0.020700886845588684	0.013322779	Yes	
row_29	RER1	5698	0.01582092046737671	0.013006816	Yes	
row_30	TMED10	6161	0.007756791077554226	-0.0011424008	Yes	
row_31	VPS4B	6167	0.007694070693105459	0.009116864	Yes	
row_32	ARFGEF1	6336	0.005575266201049089	0.01067026	Yes	
row_33	ATP6V1H	6515	0.0038676734548062086	0.011689552	Yes	
row_34	ARF1	6633	0.002717485185712576	0.01596687	Yes	
row_35	RAB5A	6703	0.0023227182682603598	0.02280788	Yes	
row_36	ERGIC3	6713	0.002270409371703863	0.032853503	Yes	
row_37	USO1	6922	9.984986390918493E-4	0.032270487	Yes	
row_38	STAM	6988	7.127129938453436E-4	0.03932514	Yes	
row_39	RAB22A	7329	1.468723075959133E-5	0.031691972	Yes	
row_40	TSG101	7466	-1.0971696610795334E-5	0.034954496	Yes	
row_41	COPE	7711	-3.249405126553029E-4	0.032448713	Yes	
row_42	GBF1	8247	-0.0031771210487931967	0.014400548	Yes	
row_43	TMED2	8291	-0.0035070213489234447	0.022630224	Yes	
row_44	RAB2A	8312	-0.003728175535798073	0.032088336	Yes	
row_45	DNM1L	8387	-0.0044320495799183846	0.038662296	Yes	
row_46	ATP7A	8413	-0.004867286887019873	0.047853354	Yes	
row_47	SSPN	8548	-0.006440178956836462	0.051222697	Yes	
row_48	RPS6KA3	8727	-0.008789113722741604	0.052241992	Yes	
row_49	TPD52	8808	-0.010006390511989594	0.058495488	Yes	
row_50	CTSC	8897	-0.011334690265357494	0.064321704	Yes	
row_51	LMAN1	9026	-0.013569488190114498	0.06801151	Yes	
row_52	SNX2	9448	-0.022747017443180084	0.05605211	Yes	
row_53	STX12	9529	-0.02457013539969921	0.062305607	Yes	
row_54	CLTA	9799	-0.03247344121336937	0.058464568	Yes	
row_55	M6PR	9800	-0.03248324245214462	0.068990886	Yes	
row_56	TSPAN8	9805	-0.03270936384797096	0.07930356	Yes	
row_57	SCAMP3	9948	-0.037318550050258636	0.08224562	Yes	
row_58	ATP1A1	10088	-0.04245317354798317	0.08534791	Yes	
row_59	ARFGAP3	10114	-0.043856874108314514	0.09453897	Yes	
row_60	GOLGA4	10399	-0.05643704533576965	0.08989678	Yes	
row_61	YIPF6	10890	-0.08454953879117966	0.07425208	Yes	
row_62	CLTC	11225	-0.10685820132493973	0.06693938	Yes	
row_63	KRT18	11906	-0.1696755737066269	0.04114672	Yes	
row_64	IGF2R	11929	-0.1722079962491989	0.050498012	Yes	
row_65	SEC22B	11998	-0.1805821657180786	0.057392433	Yes	
row_66	PAM	12153	-0.19958017766475677	0.05969357	Yes	
row_67	MAPK1	12172	-0.20146535336971283	0.0692585	Yes	
row_68	AP2S1	12323	-0.22245770692825317	0.07177328	Yes	
row_69	AP3S1	12647	-0.27608180046081543	0.06504809	Yes	
row_70	COPB1	12701	-0.28868135809898376	0.07274366	Yes	
row_71	RAB14	13115	-0.37431931495666504	0.06121155	Yes	
row_72	DST	13245	-0.401784211397171	0.064847946	Yes	
row_73	LAMP2	13427	-0.4449877440929413	0.065707006	Yes	
row_74	KIF1B	13649	-0.5104879140853882	0.06442966	Yes	
row_75	SEC31A	13921	-0.5986628532409668	0.0604818	Yes	
row_76	GLA	14016	-0.63896244764328	0.06598755	Yes	
row_77	ANP32E	14095	-0.6700481176376343	0.07234787	Yes	
row_78	SCRN1	14194	-0.7156687378883362	0.07763998	Yes	
row_79	SGMS1	14338	-0.7914575934410095	0.08052863	Yes	
row_80	COPB2	14396	-0.8192636370658875	0.088010564	Yes	
row_81	VAMP7	14592	-0.9266321063041687	0.08812188	Yes	
row_82	SEC24D	14610	-0.9397774338722229	0.097740225	Yes	
row_83	AP2B1	14689	-0.9809105396270752	0.10410055	Yes	
row_84	ARCN1	14933	-1.140223503112793	0.101648174	Yes	
row_85	SH3GL2	15192	-1.3259494304656982	0.09839465	Yes	
row_86	RAB9A	15340	-1.4659078121185303	0.10106966	Yes	
row_87	ZW10	15496	-1.625004768371582	0.10331739	Yes	
row_88	GOSR2	15551	-1.6888631582260132	0.110959545	Yes	
row_89	ABCA1	15796	-1.970453143119812	0.108453766	No	
row_90	YKT6	16121	-2.429818868637085	0.10167516	No	
row_91	ATP6V1B1	16493	-3.1202149391174316	0.092386276	No	
row_92	PPT1	16867	-3.966313362121582	0.08299057	No	
row_93	CAV2	17118	-4.733310699462891	0.08016433	No	
row_94	EGFR	17452	-6.059879302978516	0.072905034	No	
