NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SMAD6	51	10.07207202911377	0.015800549	Yes	
row_1	SMAD3	68	8.535795211791992	0.03346637	Yes	
row_2	ID1	196	4.758848190307617	0.04521661	Yes	
row_3	ID2	1050	1.2936900854110718	0.018275738	Yes	
row_4	ID3	1092	1.2248525619506836	0.03460922	Yes	
row_5	JUNB	1335	0.9335501194000244	0.040230703	Yes	
row_6	HDAC1	1530	0.7923736572265625	0.048410274	Yes	
row_7	FNTA	1732	0.6559737324714661	0.05621679	Yes	
row_8	SLC20A1	2050	0.5112160444259644	0.057841256	Yes	
row_9	UBE2D3	2102	0.4897376298904419	0.07364181	Yes	
row_10	IFNGR2	2340	0.40828588604927063	0.079529755	Yes	
row_11	FURIN	2601	0.3251343369483948	0.084191956	Yes	
row_12	ARID4B	2724	0.29185187816619873	0.09620866	Yes	
row_13	PPM1A	3060	0.22357982397079468	0.09687384	Yes	
row_14	TGFB1	3202	0.20080354809761047	0.10787797	Yes	
row_15	MAP3K7	3971	0.10480525344610214	0.08546705	Yes	
row_16	CDH1	4422	0.06970693171024323	0.08000348	Yes	
row_17	TRIM33	4466	0.06717021763324738	0.09623037	Yes	
row_18	BMPR2	4485	0.06633763015270233	0.11378961	Yes	
row_19	XIAP	4523	0.06391457468271255	0.13033627	Yes	
row_20	TJP1	6090	0.008653734810650349	0.0653971	No	
row_21	APC	6861	0.0013202271657064557	0.04287959	No	
row_22	PPP1CA	6961	8.205931517295539E-4	0.05612205	No	
row_23	SKI	7251	7.547673885710537E-5	0.05923873	No	
row_24	ACVR1	7761	-4.6648996067233384E-4	0.05063084	No	
row_25	TGIF1	7936	-0.0010902185458689928	0.05987628	No	
row_26	CDK9	9164	-0.016259102150797844	0.013003626	No	
row_27	BMPR1A	9254	-0.018077459186315536	0.02677902	No	
row_28	ENG	9653	-0.02786906249821186	0.024086708	No	
row_29	FKBP1A	10462	-0.059173546731472015	-4.559534E-4	No	
row_30	SMAD1	11208	-0.10592600703239441	-0.021641122	No	
row_31	SMURF1	11274	-0.1090606302022934	-0.0065866844	No	
row_32	SMURF2	11831	-0.1613359898328781	-0.017699374	No	
row_33	NCOR2	12144	-0.19874660670757294	-0.01580844	No	
row_34	HIPK2	12315	-0.22168153524398804	-0.006349824	No	
row_35	BMP2	12328	-0.2232775241136551	0.011529172	No	
row_36	CTNNB1	12346	-0.22639290988445282	0.0291417	No	
row_37	SMAD7	12413	-0.2362852543592453	0.044142846	No	
row_38	SERPINE1	12707	-0.28937482833862305	0.047046356	No	
row_39	SPTBN1	13377	-0.4306522309780121	0.029911496	No	
row_40	RHOA	13383	-0.4332912564277649	0.048163548	No	
row_41	PPP1R15A	14280	-0.7586816549301147	0.018931054	No	
row_42	SKIL	14509	-0.8799448609352112	0.025298644	No	
row_43	BCAR3	14834	-1.0790458917617798	0.026550056	No	
row_44	KLF10	15043	-1.2173298597335815	0.033983517	No	
row_45	TGFBR1	15131	-1.2845524549484253	0.0478655	No	
row_46	PMEPA1	16239	-2.6373844146728516	0.0073880674	No	
row_47	NOG	16799	-3.83609676361084	-0.0038845032	No	
row_48	CDKN1C	16970	-4.260503768920898	0.0055741137	No	
row_49	RAB31	17352	-5.643032550811768	0.0037877932	No	
row_50	WWTR1	17633	-6.9335432052612305	0.0073841205	No	
row_51	THBS1	18005	-9.164651870727539	0.0061307354	No	
row_52	LTBP2	18011	-9.193206787109375	0.024382787	No	
row_53	LEFTY2	18057	-9.627933502197266	0.040503096	No	
