NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SMAD3	68	8.535795211791992	0.001398518	No	
row_1	VEGFA	85	7.5895562171936035	0.005589732	No	
row_2	TNFAIP2	142	5.724510669708252	0.0076327184	No	
row_3	LAMB3	607	2.227515697479248	-0.012236217	No	
row_4	CCND1	793	1.714705228805542	-0.017121265	No	
row_5	BCL6	913	1.5002776384353638	-0.018461738	No	
row_6	ID2	1050	1.2936900854110718	-0.020715207	No	
row_7	HES1	1096	1.2226601839065552	-0.018081458	No	
row_8	BTG2	1207	1.0734679698944092	-0.018938579	No	
row_9	JUNB	1335	0.9335501194000244	-0.020708697	No	
row_10	TRIP10	1496	0.8162257671356201	-0.024251102	No	
row_11	MARCKS	1604	0.7382785081863403	-0.024947105	No	
row_12	FOS	1716	0.6651875376701355	-0.025857933	No	
row_13	CDKN1A	1867	0.5949023365974426	-0.028863281	No	
row_14	CCNL1	1949	0.5591734051704407	-0.028162938	No	
row_15	NFAT5	1959	0.5506699085235596	-0.023595784	No	
row_16	SERPINB8	2296	0.4192145764827728	-0.03659039	No	
row_17	IFNGR2	2340	0.40828588604927063	-0.03384923	No	
row_18	ETS2	2577	0.3309401273727417	-0.04147327	No	
row_19	F2RL1	2859	0.259357213973999	-0.051514063	No	
row_20	DUSP2	2951	0.24473771452903748	-0.051350776	No	
row_21	TANK	3005	0.23409751057624817	-0.04914667	No	
row_22	KYNU	3048	0.22566719353199005	-0.046351805	No	
row_23	DUSP4	3111	0.21549946069717407	-0.044631053	No	
row_24	TNIP2	3362	0.17725621163845062	-0.05300697	No	
row_25	NFE2L2	3396	0.17264306545257568	-0.049728755	No	
row_26	GCH1	3548	0.1499631106853485	-0.052787807	No	
row_27	SQSTM1	3681	0.1345946043729782	-0.054826453	No	
row_28	EIF1	4060	0.09634154289960861	-0.070076704	No	
row_29	TLR2	4216	0.08510103076696396	-0.07335058	No	
row_30	CD44	4399	0.0718931183218956	-0.07807451	No	
row_31	ATP2B1	4461	0.06758005917072296	-0.07630005	No	
row_32	SGK1	4489	0.06612007319927216	-0.0726996	No	
row_33	CD69	4611	0.05865492299199104	-0.074147485	No	
row_34	CCRL2	4757	0.05036100372672081	-0.0768843	No	
row_35	KDM6B	4769	0.04952700436115265	-0.07242456	No	
row_36	BHLHE40	5226	0.028714897111058235	-0.09186385	No	
row_37	NFKB1	5350	0.02486874908208847	-0.09341915	No	
row_38	PNRC1	5479	0.020986812189221382	-0.09524297	No	
row_39	IL18	5795	0.013745812699198723	-0.107109755	No	
row_40	MXD1	6170	0.007621015887707472	-0.12214518	No	
row_41	NINJ1	6577	0.0032777348533272743	-0.13889919	No	
row_42	FOSL2	6714	0.0022621010430157185	-0.14115265	No	
row_43	LDLR	6874	0.0012339071836322546	-0.14464135	No	
row_44	SDC4	7542	-5.252271512290463E-5	-0.17541255	No	
row_45	MAP2K3	7561	-7.346933125518262E-5	-0.17132874	No	
row_46	TGIF1	7936	-0.0010902185458689928	-0.18636417	No	
row_47	CEBPB	7991	-0.001415706705302	-0.18421377	No	
row_48	SIK1	8006	-0.0014862112002447248	-0.17991515	No	
row_49	SNN	8070	-0.0018890246283262968	-0.17824809	No	
row_50	TNIP1	8379	-0.004382140003144741	-0.18973894	No	
row_51	PHLDA2	8570	-0.006708244327455759	-0.19489253	No	
row_52	B4GALT5	8941	-0.01200599130243063	-0.20971312	No	
row_53	PFKFB3	9060	-0.014137416146695614	-0.21099989	No	
row_54	TIPARP	9232	-0.017558228224515915	-0.21513306	No	
row_55	TNFSF9	9242	-0.017867226153612137	-0.21056591	No	
row_56	BTG3	9248	-0.018041573464870453	-0.20578393	No	
row_57	IER5	9604	-0.02637650817632675	-0.21979894	No	
row_58	CXCL1	9607	-0.026524966582655907	-0.21485585	No	
row_59	BTG1	9754	-0.03096451796591282	-0.21764638	No	
row_60	TRIB1	9828	-0.033335600048303604	-0.21651639	No	
row_61	PTPRE	9912	-0.036072514951229095	-0.21592346	No	
row_62	ZC3H12A	9973	-0.038158904761075974	-0.2140953	No	
row_63	REL	9984	-0.03868884593248367	-0.20958184	No	
row_64	NFKBIE	10253	-0.049602434039115906	-0.21892446	No	
row_65	FOSB	10263	-0.04988978058099747	-0.2143573	No	
row_66	RELA	10359	-0.053890641778707504	-0.21440884	No	
row_67	NAMPT	10829	-0.07977057248353958	-0.2345463	No	
row_68	IRF1	11100	-0.09767727553844452	-0.24399634	No	
row_69	ATF3	11185	-0.10414684563875198	-0.24345711	No	
row_70	IFIT2	11236	-0.1073000505566597	-0.24109189	No	
row_71	YRDC	11463	-0.12444878369569778	-0.24817887	No	
row_72	GADD45A	11596	-0.1375550627708435	-0.25021753	No	
row_73	CEBPD	11663	-0.1434704214334488	-0.24871159	No	
row_74	PLPP3	11795	-0.15595917403697968	-0.25069654	No	
row_75	NFKB2	12159	-0.1999371349811554	-0.2651412	No	
row_76	JAG1	12203	-0.20555616915225983	-0.26240003	No	
row_77	BMP2	12328	-0.2232775241136551	-0.26400903	No	
row_78	EFNA1	12387	-0.23167219758033752	-0.26207346	No	
row_79	SPSB1	12452	-0.24251070618629456	-0.2604601	No	
row_80	SERPINE1	12707	-0.28937482833862305	-0.26905087	Yes	
row_81	PHLDA1	12790	-0.3053552508354187	-0.26840422	Yes	
row_82	JUN	12805	-0.30831027030944824	-0.2641056	Yes	
row_83	PDLIM5	12838	-0.31272923946380615	-0.26077366	Yes	
row_84	DUSP1	12855	-0.31581732630729675	-0.25658247	Yes	
row_85	PTGER4	12911	-0.3273093104362488	-0.25448576	Yes	
row_86	IFIH1	12925	-0.33000922203063965	-0.25013342	Yes	
