NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AQP3	28	14.718056678771973	0.0049513183	No	
row_1	SULT1A1	200	4.6826300621032715	0.002240417	No	
row_2	HTR7	228	4.368638515472412	0.007245317	No	
row_3	BAK1	344	3.3839876651763916	0.0075350055	No	
row_4	PRKCD	479	2.7117836475372314	0.0068066367	No	
row_5	NXF1	525	2.5598230361938477	0.010847062	No	
row_6	SLC6A8	592	2.2767622470855713	0.013762265	No	
row_7	ACAA1	796	1.7066172361373901	0.009336742	No	
row_8	ALDOA	864	1.5844365358352661	0.012198363	No	
row_9	MGAT1	949	1.4394277334213257	0.014149092	No	
row_10	CYB5R1	1064	1.2688096761703491	0.014492363	No	
row_11	DGAT1	1094	1.224257469177246	0.019390099	No	
row_12	BTG2	1207	1.0734679698944092	0.019840533	No	
row_13	JUNB	1335	0.9335501194000244	0.019487238	No	
row_14	APOM	1350	0.9230186939239502	0.025188703	No	
row_15	FOS	1716	0.6651875376701355	0.012082904	No	
row_16	MAOA	2402	0.386631041765213	-0.018169122	No	
row_17	TMBIM6	2421	0.38232940435409546	-0.012681983	No	
row_18	FURIN	2601	0.3251343369483948	-0.01582154	No	
row_19	CLTB	2612	0.3222162127494812	-0.009905747	No	
row_20	GCH1	3548	0.1499631106853485	-0.05355326	No	
row_21	SQSTM1	3681	0.1345946043729782	-0.054174464	No	
row_22	STK25	3764	0.12449424713850021	-0.052116573	No	
row_23	ENO2	3802	0.12060417234897614	-0.04764749	No	
row_24	GRPEL1	4114	0.0926024466753006	-0.057859868	No	
row_25	EIF5	4176	0.0876123458147049	-0.054676753	No	
row_26	TUBA4A	4194	0.08640352636575699	-0.04913603	No	
row_27	BSG	4299	0.07913590222597122	-0.048256945	No	
row_28	TST	4394	0.07221101969480515	-0.046842035	No	
row_29	ASNS	5275	0.02727534808218479	-0.08754254	No	
row_30	WIZ	5606	0.017667848616838455	-0.09877297	No	
row_31	CYB5B	5667	0.01654036156833172	-0.09553628	No	
row_32	HLA-F	6128	0.008228668011724949	-0.11373236	No	
row_33	RXRB	6254	0.00649390509352088	-0.11397849	No	
row_34	CASP3	6951	8.711742120794952E-4	-0.14481992	No	
row_35	ATP6V1F	6954	8.487756713293493E-4	-0.13847546	No	
row_36	POLR2H	7010	6.239680806174874E-4	-0.13497086	No	
row_37	POLG2	7155	2.1912284137215465E-4	-0.13623506	No	
row_38	UROD	7474	-1.4884486517985351E-5	-0.1468225	Yes	
row_39	ONECUT1	7526	-4.070498835062608E-5	-0.14310357	Yes	
row_40	BID	7527	-4.073803938808851E-5	-0.13665195	Yes	
row_41	CLCN2	7590	-1.2829029583372176E-4	-0.13352242	Yes	
row_42	GLS	7597	-1.3599959493149072E-4	-0.1273923	Yes	
row_43	CDC34	7879	-8.438384393230081E-4	-0.13599722	Yes	
row_44	DLG4	7880	-8.583859307691455E-4	-0.1295456	Yes	
row_45	IGFBP2	8051	-0.0017566707683727145	-0.13220292	Yes	
row_46	TYRO3	8094	-0.0020003379322588444	-0.12800175	Yes	
row_47	CNP	8174	-0.0026396876201033592	-0.12578312	Yes	
row_48	SPR	8262	-0.0032708977814763784	-0.12399313	Yes	
row_49	CHRNA5	8343	-0.004085301887243986	-0.12182807	Yes	
row_50	MRPL23	8394	-0.004508665297180414	-0.11805556	Yes	
row_51	PPIF	8542	-0.006370671093463898	-0.11948049	Yes	
row_52	NAT1	8608	-0.007137143053114414	-0.11651171	Yes	
row_53	PPP1R2	8873	-0.01097616646438837	-0.12420573	Yes	
row_54	CDC5L	8880	-0.011050986126065254	-0.11807561	Yes	
row_55	SLC25A4	8942	-0.012006022036075592	-0.1148925	Yes	
row_56	HNRNPU	9045	-0.013859988190233707	-0.11390624	Yes	
row_57	BTG3	9248	-0.018041573464870453	-0.11827818	Yes	
row_58	NPTX2	9264	-0.018201930448412895	-0.1126303	Yes	
row_59	TACR3	9365	-0.020671479403972626	-0.11153688	Yes	
row_60	EPHX1	9379	-0.02102661319077015	-0.10578184	Yes	
row_61	PDAP1	9712	-0.0293465256690979	-0.11711943	Yes	
row_62	BTG1	9754	-0.03096451796591282	-0.11286468	Yes	
row_63	CDO1	9969	-0.037905383855104446	-0.11787961	Yes	
row_64	AMD1	10255	-0.049626242369413376	-0.12669885	Yes	
row_65	FOSB	10263	-0.04988978058099747	-0.12062231	Yes	
row_66	PRKACA	10308	-0.051890626549720764	-0.1165283	Yes	
row_67	FKBP4	10417	-0.05726538598537445	-0.11586354	Yes	
row_68	MARK2	10529	-0.06310015171766281	-0.11535952	Yes	
row_69	NUP58	10640	-0.06969977915287018	-0.11480193	Yes	
row_70	NPTXR	10719	-0.07377399504184723	-0.1125297	Yes	
row_71	CEBPG	10733	-0.07430601865053177	-0.10677466	Yes	
row_72	EIF2S3	10734	-0.0744159072637558	-0.100323044	Yes	
row_73	ALAS1	10795	-0.0776880532503128	-0.09708635	Yes	
row_74	CCK	10927	-0.08683764189481735	-0.09765397	Yes	
row_75	IRF1	11100	-0.09767727553844452	-0.100418456	Yes	
row_76	ATF3	11185	-0.10414684563875198	-0.09846773	Yes	
row_77	DNAJB1	11482	-0.12708620727062225	-0.10787637	Yes	
row_78	GPX3	11694	-0.1463070958852768	-0.11273055	Yes	
row_79	HYAL2	11738	-0.1501215696334839	-0.10858296	Yes	
row_80	DDX21	11797	-0.1560976505279541	-0.1052391	Yes	
row_81	PRPF3	11888	-0.1668446660041809	-0.10360987	Yes	
row_82	KLHDC3	11999	-0.18059100210666656	-0.103052266	Yes	
row_83	PSMC3	12005	-0.18153591454029083	-0.09686857	Yes	
row_84	CREG1	12063	-0.18932783603668213	-0.093471125	Yes	
row_85	E2F5	12070	-0.19025275111198425	-0.087341	Yes	
row_86	TFRC	12095	-0.19268664717674255	-0.08217536	Yes	
row_87	TCHH	12298	-0.21968013048171997	-0.0865473	Yes	
row_88	AP2S1	12323	-0.22245770692825317	-0.08138165	Yes	
row_89	BMP2	12328	-0.2232775241136551	-0.075144365	Yes	
row_90	DNAJA1	12371	-0.22968654334545135	-0.0709432	Yes	
row_91	GRINA	12478	-0.24744434654712677	-0.07017127	Yes	
row_92	PARP2	12684	-0.28550174832344055	-0.074703954	Yes	
row_93	CCND3	12821	-0.31030187010765076	-0.07553949	Yes	
