NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	197	-0.4789274	-7.853867	0.0	0.0	0.0	4074	tags=69%, list=22%, signal=87%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	199	-0.35525066	-5.8683224	0.0	0.0	0.0	4545	tags=59%, list=24%, signal=77%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	192	-0.34678507	-5.6414657	0.0	0.0	0.0	5009	tags=61%, list=27%, signal=82%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	195	-0.32966566	-5.279746	0.0	0.0	0.0	7565	tags=73%, list=40%, signal=121%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	198	-0.27410135	-4.4066906	0.0	0.0	0.0	6112	tags=60%, list=32%, signal=87%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	195	-0.26227313	-4.2751107	0.0	0.0	0.0	6890	tags=63%, list=37%, signal=98%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	195	-0.25582728	-4.0734386	0.0	0.0	0.0	5466	tags=54%, list=29%, signal=76%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	190	-0.24056995	-3.769599	0.0	0.0	0.0	5721	tags=54%, list=30%, signal=77%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	199	-0.2160847	-3.6068275	0.0	0.0	0.0	5434	tags=50%, list=29%, signal=70%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	197	-0.21653765	-3.488579	0.0	0.0	0.0	4948	tags=48%, list=26%, signal=64%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	198	-0.20336445	-3.2963524	0.0	0.0	0.0	7144	tags=58%, list=38%, signal=93%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	86	-0.26734376	-2.9505503	0.0	0.0	0.0	5715	tags=57%, list=30%, signal=81%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	192	-0.17368361	-2.8539274	0.0	1.2550608E-4	0.001	6469	tags=52%, list=34%, signal=78%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	185	-0.14580554	-2.3084998	0.0	0.0019003731	0.02	5320	tags=43%, list=28%, signal=59%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	Details ...	36	-0.33039615	-2.2995384	0.0	0.0020128244	0.023	7909	tags=75%, list=42%, signal=129%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	155	-0.15327412	-2.2182183	0.0019047619	0.0029164157	0.035	11345	tags=75%, list=60%, signal=189%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	118	-0.16655034	-2.1551838	0.0	0.004165164	0.054	9485	tags=67%, list=50%, signal=134%	
