NAME	TITLE	SCORE	
CRTAC1		43.4706	
NSG1		32.786945	
HOXB6		31.513653	
HOXB3		31.066252	
DUOXA2		30.177841	
SPOCD1		27.215302	
HOXB5		25.834906	
FGFR3		23.12307	
LSP1		22.354063	
BTBD16		22.324665	
HOXB8		20.46763	
CYP4F35P		20.210703	
TUBG2		20.046589	
TMEM51-AS1		19.803633	
TPTEP1		19.787672	
C2orf78		19.470285	
ZNF432		19.412483	
PLXNB3		19.349468	
ANKRD50		19.105114	
FAM174B		19.099098	
GJD3		18.870935	
SEMA4B		17.37318	
NDUFA4L2		16.961992	
SSH3		16.13545	
PLCD3		15.955567	
PCDHA7		15.453858	
HOXD1		15.248289	
LOC100130872		14.758888	
AQP3		14.718057	
TFF1		14.281415	
APOL1		13.679705	
KLRC1		13.319879	
LOC730668		13.0191555	
ATOH8		12.6935625	
KLHL3		12.473173	
HECTD2-AS1		12.191188	
ANGPTL5		12.101961	
BRINP1		12.058009	
EPHB6		11.784668	
DFNA5		11.55233	
AATBC		11.242376	
RHOXF1		11.098328	
FER1L4		10.918012	
SLITRK6		10.864545	
WNT7B		10.845539	
HOXB4		10.7286215	
HOXD3		10.661278	
BHLHE41		10.597444	
TSKU		10.391144	
TMPRSS4		10.382821	
FAM213A		10.163555	
SMAD6		10.072072	
AIG1		9.895637	
ANXA10		9.882581	
KRTAP5-9		9.876026	
SYTL1		9.810666	
HOXD4		9.782321	
VSIG2		9.725405	
SOX15		9.612926	
SPATA6L		9.139372	
FABP6		8.859013	
NTS		8.840773	
PLCH2		8.839706	
CATSPERE		8.708986	
BCAM		8.685564	
HSD17B2		8.651271	
KRT13		8.587854	
PLEKHH3		8.576452	
SMAD3		8.535795	
PSCA		8.496188	
FGD5		8.437298	
SNAI3		8.318748	
ADGRV1		8.315755	
LOC90246		8.2324505	
ARRDC4		8.059537	
DUOX2		8.047665	
ARAP3		8.009621	
CBR4		7.958178	
TMEM178A		7.9394364	
ZNF296		7.9129763	
MMEL1		7.7853847	
C5orf63		7.7155704	
CLK1		7.623767	
WDR72		7.6145453	
TTLL3		7.6024084	
VEGFA		7.589556	
NCKAP5		7.580612	
ACRC		7.524856	
ZFYVE28		7.494551	
SNAPC1		7.4941773	
STK36		7.4602504	
B3GALNT1		7.385284	
ANKRD26P1		7.381733	
GIPR		7.355378	
GABBR1		7.355131	
UGT1A1		7.350045	
ADSSL1		7.329164	
BAALC		7.3085814	
SRCIN1		7.192907	
PDE1B		7.152428	
FAM219B		6.9832067	
SMIM10L2A		6.982697	
NADSYN1		6.935551	
WEE2-AS1		6.921704	
ETNK2		6.7877192	
CLCA4		6.779227	
ERN2		6.7482085	
NOS2		6.7365336	
TBX15		6.73314	
RGS6		6.7278976	
HOXB2		6.724463	
TNFRSF14-AS1		6.6996584	
ZNF608		6.697506	
DHRS3		6.583151	
ZNF334		6.5416565	
CHKB-CPT1B		6.519831	
LINC00324		6.507359	
PKM		6.492919	
WSCD2		6.461415	
DGKA		6.452404	
VWA8		6.4507604	
MAML3		6.41226	
CA12		6.3566875	
GDPD2		6.227685	
IRX3		6.223678	
RBM44		6.209079	
PPFIBP2		6.188475	
SPDEF		6.172902	
CAPN14		6.125889	
PTPRR		6.1138315	
S100P		6.1056585	
