NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD40	1345	0.9249582886695862	-0.042191725	No	
row_1	IL5	4476	0.06682788580656052	-0.17941113	No	
row_2	HLA-A	4956	0.03956199437379837	-0.1754998	No	
row_3	HLA-F	6128	0.008228668011724949	-0.20842831	No	
row_4	HLA-E	10466	-0.059652362018823624	-0.40990454	No	
row_5	IL2	10956	-0.08902281522750854	-0.40652555	No	
row_6	HLA-B	11209	-0.1059415191411972	-0.39052948	No	
row_7	FAS	11608	-0.13898004591464996	-0.38230595	No	
row_8	HLA-C	12505	-0.25163108110427856	-0.40059435	No	
row_9	IL12A	12997	-0.3470073640346527	-0.39732185	No	
row_10	CD40LG	13937	-0.6071166396141052	-0.41789943	Yes	
row_11	HLA-G	13963	-0.6168104410171509	-0.3898186	Yes	
row_12	IL12B	14326	-0.7860103249549866	-0.37967855	Yes	
row_13	HLA-DRB5	14575	-0.9174250364303589	-0.3634695	Yes	
row_14	HLA-DMA	15156	-1.3022199869155884	-0.3649351	Yes	
row_15	HLA-DRB1	15834	-2.018476724624634	-0.37156463	Yes	
row_16	HLA-DQB1	16575	-3.290933847427368	-0.3815481	Yes	
row_17	HLA-DRA	16664	-3.4671905040740967	-0.35682118	Yes	
row_18	IFNG	16707	-3.586357831954956	-0.32964537	Yes	
row_19	GZMB	16854	-3.9426920413970947	-0.30800617	Yes	
row_20	HLA-DPA1	16916	-4.1009955406188965	-0.28184184	Yes	
row_21	CD28	16918	-4.112109184265137	-0.2524833	Yes	
row_22	FASLG	16950	-4.196917533874512	-0.2247219	Yes	
row_23	HLA-DQA2	17195	-5.0197882652282715	-0.2082999	Yes	
row_24	CD86	17218	-5.104591369628906	-0.18005934	Yes	
row_25	HLA-DPB1	17450	-6.056013584136963	-0.16294529	Yes	
row_26	HLA-DOA	17618	-6.8468146324157715	-0.14242406	Yes	
row_27	HLA-DMB	17740	-7.508009910583496	-0.11945395	Yes	
row_28	TNF	17824	-7.978461742401123	-0.09446084	Yes	
row_29	PRF1	17980	-8.992474555969238	-0.07330078	Yes	
row_30	HLA-DOB	18144	-10.471230506896973	-0.05256661	Yes	
row_31	HLA-DQA1	18274	-11.845500946044922	-0.030022392	Yes	
row_32	CD80	18317	-12.409097671508789	-0.002846572	Yes	
row_33	IL10	18507	-15.66213321685791	0.016503438	Yes	
