NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HARS2	596	2.2728328704833984	0.0117677	Yes	
row_1	MTFMT	984	1.385879397392273	0.034655377	Yes	
row_2	PSTK	1079	1.2368258237838745	0.073132314	Yes	
row_3	QARS1	1258	1.0039585828781128	0.10713997	Yes	
row_4	SEPSECS	1405	0.8843746781349182	0.1428502	Yes	
row_5	MARS2	1807	0.6186865568161011	0.164993	Yes	
row_6	YARS2	3593	0.14389242231845856	0.1134992	Yes	
row_7	RARS2	3810	0.11996351927518845	0.14548504	Yes	
row_8	SARS2	4576	0.06061297282576561	0.148261	Yes	
row_9	VARS2	5321	0.025508450344204903	0.15215425	Yes	
row_10	IARS2	5334	0.025134500116109848	0.19499405	Yes	
row_11	CARS2	6160	0.007765502203255892	0.19457766	Yes	
row_12	NARS2	6732	0.0020744840148836374	0.2076755	Yes	
row_13	AARS2	6859	0.001329587190411985	0.24444985	Yes	
row_14	WARS2	7127	2.9211241053417325E-4	0.2737222	Yes	
row_15	EARS2	7289	3.8498194044223055E-5	0.30863437	Yes	
row_16	TARS2	7678	-2.535591775085777E-4	0.33146882	Yes	
row_17	FARSB	7921	-0.001044604112394154	0.36207134	Yes	
row_18	LARS2	8840	-0.010431798174977303	0.35670683	Yes	
row_19	FARSA	9084	-0.014621119946241379	0.38725612	Yes	
row_20	PARS2	9088	-0.014667801558971405	0.43057474	Yes	
row_21	FARS2	10920	-0.08634182810783386	0.3766335	No	
row_22	DARS2	11299	-0.11094271391630173	0.4	No	
