NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD40	1345	0.9249582886695862	-0.044587903	No	
row_1	IFNA13	1639	0.7091532349586487	-0.03316175	No	
row_2	IFNA1	1823	0.61322420835495	-0.01587861	No	
row_3	IL5	4476	0.06682788580656052	-0.13005812	No	
row_4	HLA-A	4956	0.03956199437379837	-0.1285356	No	
row_5	HLA-F	6128	0.008228668011724949	-0.16385882	No	
row_6	HLA-E	10466	-0.059652362018823624	-0.36775666	No	
row_7	IL2	10956	-0.08902281522750854	-0.36676657	No	
row_8	HLA-B	11209	-0.1059415191411972	-0.35315737	No	
row_9	FAS	11608	-0.13898004591464996	-0.347322	No	
row_10	HLA-C	12505	-0.25163108110427856	-0.36800274	No	
row_11	CD40LG	13937	-0.6071166396141052	-0.41716975	No	
row_12	HLA-G	13963	-0.6168104410171509	-0.39147383	No	
row_13	HLA-DRB5	14575	-0.9174250364303589	-0.3969797	No	
row_14	HLA-DMA	15156	-1.3022199869155884	-0.40083495	No	
row_15	HLA-DRB1	15834	-2.018476724624634	-0.40985498	No	
row_16	HLA-DQB1	16575	-3.290933847427368	-0.42222947	Yes	
row_17	HLA-DRA	16664	-3.4671905040740967	-0.39988804	Yes	
row_18	GZMB	16854	-3.9426920413970947	-0.38292438	Yes	
row_19	HLA-DPA1	16916	-4.1009955406188965	-0.3591453	Yes	
row_20	CD28	16918	-4.112109184265137	-0.33217153	Yes	
row_21	FASLG	16950	-4.196917533874512	-0.3067951	Yes	
row_22	HLA-DQA2	17195	-5.0197882652282715	-0.29275993	Yes	
row_23	CD86	17218	-5.104591369628906	-0.2669043	Yes	
row_24	HLA-DPB1	17450	-6.056013584136963	-0.25217694	Yes	
row_25	HLA-DOA	17618	-6.8468146324157715	-0.23404187	Yes	
row_26	HLA-DMB	17740	-7.508009910583496	-0.21345752	Yes	
row_27	TPO	17751	-7.577908039093018	-0.18696295	Yes	
row_28	CTLA4	17928	-8.621879577636719	-0.1693071	Yes	
row_29	PRF1	17980	-8.992474555969238	-0.14499557	Yes	
row_30	HLA-DOB	18144	-10.471230506896973	-0.12664753	Yes	
row_31	HLA-DQA1	18274	-11.845500946044922	-0.106489144	Yes	
row_32	CD80	18317	-12.409097671508789	-0.081698425	Yes	
row_33	TSHR	18366	-13.35951042175293	-0.05722717	Yes	
row_34	IL10	18507	-15.66213321685791	-0.03765448	Yes	
row_35	TG	18577	-17.9025821685791	-0.014301382	Yes	
row_36	CGA	18698	-24.42915916442871	0.00633621	Yes	
