NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SDC1	370	3.2543258666992188	-0.011793505	No	
row_1	NLGN4X	445	2.8571159839630127	-0.007752206	No	
row_2	NRXN3	1141	1.1644291877746582	-0.0369319	No	
row_3	CD40	1345	0.9249582886695862	-0.03979158	No	
row_4	CLDN20	1743	0.6502857804298401	-0.053029474	No	
row_5	CLDN23	2320	0.41361138224601746	-0.07584315	No	
row_6	CD58	2434	0.3768633008003235	-0.07388819	No	
row_7	CLDN15	2614	0.3217516243457794	-0.07546397	No	
row_8	ICAM2	3288	0.18883401155471802	-0.10346675	No	
row_9	NEO1	3693	0.13344474136829376	-0.11707912	No	
row_10	MADCAM1	3755	0.1260594129562378	-0.11234237	No	
row_11	CDH1	4422	0.06970693171024323	-0.13997069	No	
row_12	CLDN10	4443	0.06865464895963669	-0.1330406	No	
row_13	HLA-A	4956	0.03956199437379837	-0.15243053	No	
row_14	PTPRM	5024	0.03647696226835251	-0.14801477	No	
row_15	PTPRF	5861	0.012385869398713112	-0.18473738	No	
row_16	HLA-F	6128	0.008228668011724949	-0.1909673	No	
row_17	CLDN7	6156	0.007878622971475124	-0.1844117	No	
row_18	CLDN4	6821	0.0015224297530949116	-0.21193302	No	
row_19	CLDN1	7198	1.3628591841552407E-4	-0.2240475	No	
row_20	SDC4	7542	-5.252271512290463E-5	-0.23439662	No	
row_21	ITGA6	8099	-0.0020130507182329893	-0.25614038	No	
row_22	F11R	8723	-0.008712840266525745	-0.28146836	No	
row_23	MPZ	9068	-0.014241493307054043	-0.29187095	No	
row_24	L1CAM	9238	-0.01772943325340748	-0.29291177	No	
row_25	GLG1	9508	-0.024235883727669716	-0.2993022	No	
row_26	HLA-E	10466	-0.059652362018823624	-0.34249783	No	
row_27	CDH3	10566	-0.06536751985549927	-0.33979392	No	
row_28	ITGB7	10816	-0.07888441532850266	-0.3451144	No	
row_29	ALCAM	10967	-0.08965407311916351	-0.34513882	No	
row_30	NLGN3	10999	-0.09139246493577957	-0.33879718	No	
row_31	HLA-B	11209	-0.1059415191411972	-0.34197783	No	
row_32	CLDN5	11911	-0.17044909298419952	-0.37147853	No	
row_33	CD99	12429	-0.23881065845489502	-0.39113593	No	
row_34	CLDN16	12453	-0.24261648952960968	-0.38436633	No	
row_35	HLA-C	12505	-0.25163108110427856	-0.37909463	No	
row_36	NLGN1	12958	-0.33915120363235474	-0.39527482	No	
row_37	CD34	12971	-0.34133169054985046	-0.38791674	No	
row_38	PECAM1	13223	-0.39594337344169617	-0.39334425	No	
row_39	CD4	13288	-0.41154175996780396	-0.388768	No	
row_40	ITGB8	13306	-0.41565772891044617	-0.38167742	No	
row_41	NLGN2	13721	-0.5340229868888855	-0.39582473	Yes	
row_42	ITGAV	13757	-0.545507550239563	-0.3896971	Yes	
row_43	CD40LG	13937	-0.6071166396141052	-0.39127287	Yes	
row_44	HLA-G	13963	-0.6168104410171509	-0.38461027	Yes	
row_45	ESAM	13971	-0.61814945936203	-0.37698475	Yes	
row_46	CDH5	14328	-0.7866090536117554	-0.3880293	Yes	
row_47	SDC3	14411	-0.8260531425476074	-0.38441598	Yes	
row_48	NFASC	14564	-0.9103754758834839	-0.38454735	Yes	
row_49	HLA-DRB5	14575	-0.9174250364303589	-0.37708232	Yes	
