NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ITGA3	286	3.808285713195801	-0.0039059839	No	
row_1	GNAS	1542	0.7847910523414612	-0.059547152	No	
row_2	CACNB3	1619	0.7249737977981567	-0.052241176	No	
row_3	ITGB4	1783	0.6324049830436707	-0.049580157	No	
row_4	ITGB6	2690	0.30183878540992737	-0.086588115	No	
row_5	TGFB1	3202	0.20080354809761047	-0.10250691	No	
row_6	CACNB4	4018	0.10042127966880798	-0.13465635	No	
row_7	CACNA1D	4425	0.0695742666721344	-0.14496918	No	
row_8	ITGA2	5133	0.032019130885601044	-0.17135246	No	
row_9	ADCY6	5371	0.02430693618953228	-0.17264232	No	
row_10	TTN	5742	0.014921223744750023	-0.18103309	No	
row_11	CACNG6	5745	0.014770898036658764	-0.16977623	No	
row_12	CACNB1	5975	0.010319025255739689	-0.17063898	No	
row_13	MYH6	6068	0.009001168422400951	-0.16418724	No	
row_14	ACTG1	6561	0.00344083271920681	-0.17909163	No	
row_15	PRKACB	6935	9.453913080506027E-4	-0.18764256	No	
row_16	ADRB1	7357	7.073999768181238E-6	-0.19875623	No	
row_17	TNNT2	7469	-1.174144108517794E-5	-0.19331892	No	
row_18	TNNC1	7549	-6.081391984480433E-5	-0.18617311	No	
row_19	LMNA	7702	-3.070331586059183E-4	-0.1829248	No	
row_20	CACNA1F	7999	-0.00146177236456424	-0.1873647	No	
row_21	ITGA6	8099	-0.0020130507182329893	-0.1812867	No	
row_22	PRKX	9456	-0.02309322915971279	-0.24232028	No	
row_23	TPM4	9612	-0.02666773647069931	-0.23923214	No	
row_24	CACNG3	9845	-0.03384434059262276	-0.24025504	No	
row_25	PRKACA	10308	-0.051890626549720764	-0.2535577	No	
row_26	ITGB7	10816	-0.07888441532850266	-0.26926294	No	
row_27	PRKACG	11097	-0.09758632630109787	-0.2728486	No	
row_28	TNNI3	11157	-0.10219665616750717	-0.264635	No	
row_29	CACNG8	11309	-0.11125832051038742	-0.2613333	No	
row_30	ACTC1	11660	-0.14321592450141907	-0.26865625	No	
row_31	EMD	11823	-0.1600046008825302	-0.26594183	No	
row_32	ADCY8	12345	-0.2263302356004715	-0.28239453	No	
row_33	DES	12629	-0.27285802364349365	-0.28614035	Yes	
row_34	ITGB5	12662	-0.27851447463035583	-0.2764852	Yes	
row_35	CACNG1	12737	-0.2957581579685211	-0.26907244	Yes	
row_36	CACNA2D2	13161	-0.382038414478302	-0.2802929	Yes	
row_37	ATP2A2	13211	-0.3940514326095581	-0.27154538	Yes	
row_38	ITGB8	13306	-0.41565772891044617	-0.26520044	Yes	
row_39	DAG1	13342	-0.42157596349716187	-0.25570545	Yes	
row_40	CACNA2D4	13673	-0.5172916650772095	-0.26196063	Yes	
row_41	CACNG7	13675	-0.5177332162857056	-0.25065038	Yes	
row_42	ITGAV	13757	-0.545507550239563	-0.24361134	Yes	
row_43	MYL3	14207	-0.7214064002037048	-0.25621995	Yes	
row_44	MYL2	14224	-0.7300310134887695	-0.24571055	Yes	
row_45	MYH7	14487	-0.8665077090263367	-0.24833517	Yes	
row_46	ADCY3	14514	-0.8826767802238464	-0.23835967	Yes	
row_47	ADCY4	14524	-0.8861191868782043	-0.22747655	Yes	
row_48	MYBPC3	14760	-1.0314980745315552	-0.22865963	Yes	
row_49	RYR2	15101	-1.265946865081787	-0.23544869	Yes	
row_50	ITGA10	15181	-1.3187137842178345	-0.22830288	Yes	
row_51	ACTB	15209	-1.3358241319656372	-0.2183808	Yes	
row_52	TPM3	15414	-1.5429468154907227	-0.21790877	Yes	
row_53	ITGB1	15466	-1.5926481485366821	-0.20926803	Yes	
row_54	CACNB2	15582	-1.7111493349075317	-0.20404428	Yes	
row_55	ADCY1	15663	-1.802160620689392	-0.19695187	Yes	
