NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SSBP1	2044	0.5141346454620361	-0.08104982	No	
row_1	POLD4	4434	0.06919817626476288	-0.1804683	No	
row_2	RNASEH2B	6157	0.007822930812835693	-0.24437405	No	
row_3	RNASEH2C	8773	-0.009519354440271854	-0.35582533	No	
row_4	POLD2	10512	-0.06179363653063774	-0.42058295	No	
row_5	RPA4	11452	-0.12392357736825943	-0.44279987	No	
row_6	LIG1	11776	-0.15365153551101685	-0.4322194	No	
row_7	RFC1	11867	-0.16499176621437073	-0.40923345	No	
row_8	RPA1	12832	-0.3121151030063629	-0.4327814	No	
row_9	RFC2	13805	-0.5613430142402649	-0.4567553	Yes	
row_10	DNA2	13924	-0.5997259020805359	-0.43526015	Yes	
row_11	MCM3	13969	-0.6178979873657227	-0.40982503	Yes	
row_12	POLD3	14027	-0.6436173319816589	-0.38508207	Yes	
row_13	POLE	14126	-0.6857138276100159	-0.36252204	Yes	
row_14	PCNA	14273	-0.7558943033218384	-0.34251767	Yes	
row_15	RPA2	14307	-0.7755138278007507	-0.3164969	Yes	
row_16	POLE4	14410	-0.8252991437911987	-0.29414985	Yes	
row_17	POLE2	14495	-0.8710500001907349	-0.27084443	Yes	
row_18	RFC5	15050	-1.221458911895752	-0.27256298	Yes	
row_19	MCM7	15222	-1.3506994247436523	-0.25388968	Yes	
row_20	POLD1	15244	-1.3691855669021606	-0.22722998	Yes	
row_21	RFC3	15283	-1.413637399673462	-0.20147543	Yes	
row_22	PRIM2	15488	-1.619235634803772	-0.1845591	Yes	
row_23	MCM4	15856	-2.042152166366577	-0.17632131	Yes	
row_24	RNASEH2A	15903	-2.115436315536499	-0.15099269	Yes	
row_25	MCM5	15983	-2.215158224105835	-0.12742107	Yes	
row_26	RPA3	16004	-2.2511026859283447	-0.10070814	Yes	
row_27	POLA2	16264	-2.676133871078491	-0.08672016	Yes	
row_28	POLA1	16397	-2.9369454383850098	-0.06597039	Yes	
row_29	PRIM1	16490	-3.1175589561462402	-0.043090917	Yes	
row_30	POLE3	16538	-3.2091896533966064	-0.017815534	Yes	
row_31	MCM6	16647	-3.44187068939209	0.004212057	Yes	
row_32	RNASEH1	16915	-4.100871562957764	0.017774096	Yes	
row_33	FEN1	17152	-4.822620868682861	0.032986652	Yes	
row_34	RFC4	17349	-5.632043361663818	0.050328907	Yes	
row_35	MCM2	17825	-7.981756210327148	0.052816514	Yes	
