NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ITGA3	286	3.808285713195801	-0.003217354	No	
row_1	SDC1	370	3.2543258666992188	0.004400627	No	
row_2	LAMB3	607	2.227515697479248	0.0038520752	No	
row_3	LAMA5	1193	1.0916298627853394	-0.015324714	No	
row_4	ITGB4	1783	0.6324049830436707	-0.034715004	No	
row_5	AGRN	2161	0.4657972753047943	-0.04278958	No	
row_6	SV2C	2242	0.43862664699554443	-0.03501147	No	
row_7	CHAD	2401	0.38717854022979736	-0.03139669	No	
row_8	ITGB6	2690	0.30183878540992737	-0.034720797	No	
row_9	CD36	3860	0.11569131910800934	-0.08506919	No	
row_10	CD44	4399	0.0718931183218956	-0.101737306	No	
row_11	COL4A6	4846	0.044713545590639114	-0.11349483	No	
row_12	ITGA2	5133	0.032019130885601044	-0.11671218	No	
row_13	SDC4	7542	-5.252271512290463E-5	-0.23319349	No	
row_14	ITGA6	8099	-0.0020130507182329893	-0.25082237	No	
row_15	TNR	8357	-0.004200698342174292	-0.2524918	No	
row_16	SPP1	9092	-0.014739164151251316	-0.27962163	No	
row_17	GP9	9155	-0.016096103936433792	-0.27088276	No	
row_18	LAMA3	10480	-0.06030154228210449	-0.32950443	No	
row_19	LAMC2	10504	-0.06156989559531212	-0.3186839	No	
row_20	ITGB7	10816	-0.07888441532850266	-0.32323563	No	
row_21	LAMB1	10912	-0.08592173457145691	-0.31625816	No	
row_22	VWF	11370	-0.11622045189142227	-0.32860282	No	
row_23	LAMB4	11833	-0.16137173771858215	-0.34121436	No	
row_24	LAMC3	12423	-0.23761017620563507	-0.36060467	Yes	
row_25	COMP	12487	-0.24894417822360992	-0.35191914	Yes	
row_26	ITGB5	12662	-0.27851447463035583	-0.3491584	Yes	
row_27	SV2B	12822	-0.310355544090271	-0.345597	Yes	
row_28	ITGB8	13306	-0.41565772891044617	-0.35932943	Yes	
row_29	DAG1	13342	-0.42157596349716187	-0.3491494	Yes	
row_30	LAMC1	13408	-0.4396393895149231	-0.34057066	Yes	
row_31	THBS3	13428	-0.4454202353954315	-0.3295366	Yes	
row_32	CD47	13599	-0.4944414496421814	-0.32656235	Yes	
row_33	HMMR	13663	-0.5135610103607178	-0.31787682	Yes	
row_34	ITGAV	13757	-0.545507550239563	-0.3107926	Yes	
row_35	GP5	13840	-0.5706143379211426	-0.30312124	Yes	
row_36	SDC3	14411	-0.8260531425476074	-0.3214974	Yes	
row_37	SV2A	14752	-1.0257607698440552	-0.32759705	Yes	
row_38	LAMA1	14787	-1.0425983667373657	-0.31736365	Yes	
row_39	LAMB2	14972	-1.1690913438796997	-0.31513664	Yes	
row_40	HSPG2	15073	-1.2442002296447754	-0.30842605	Yes	
row_41	ITGA10	15181	-1.3187137842178345	-0.3020891	Yes	
row_42	GP1BA	15292	-1.4195387363433838	-0.29591227	Yes	
row_43	COL11A2	15380	-1.506182074546814	-0.2885078	Yes	
row_44	LAMA4	15431	-1.556788682937622	-0.2791284	Yes	
row_45	ITGB1	15466	-1.5926481485366821	-0.268895	Yes	
row_46	COL4A1	15690	-1.8379170894622803	-0.26874965	Yes	
row_47	ITGA8	16254	-2.654311418533325	-0.2867522	Yes	
row_48	COL4A2	16540	-3.2157037258148193	-0.28991616	Yes	
row_49	VTN	16691	-3.53297758102417	-0.28587437	Yes	
row_50	LAMA2	16884	-4.02208137512207	-0.28407437	Yes	
row_51	COL4A4	16981	-4.287230491638184	-0.27715027	Yes	
row_52	SDC2	17030	-4.436059951782227	-0.26766413	Yes	
row_53	ITGA1	17067	-4.548078536987305	-0.25753748	Yes	
row_54	COL11A1	17159	-4.852941513061523	-0.2503465	Yes	
row_55	THBS4	17278	-5.355209827423096	-0.24459669	Yes	
row_56	ITGA7	17296	-5.425511360168457	-0.2334559	Yes	
row_57	ITGA5	17362	-5.676792144775391	-0.22487715	Yes	
row_58	COL6A6	17566	-6.615662574768066	-0.22366428	Yes	
row_59	TNXB	17627	-6.916053771972656	-0.21481866	Yes	
row_60	COL6A2	17735	-7.449663162231445	-0.2084817	Yes	
row_61	COL6A1	17794	-7.790027618408203	-0.19952932	Yes	
row_62	COL5A3	17814	-7.89177131652832	-0.18849528	Yes	
row_63	THBS2	17863	-8.195874214172363	-0.17900912	Yes	
row_64	COL6A3	17880	-8.307767868041992	-0.16781496	Yes	
row_65	ITGA11	17930	-8.643604278564453	-0.15838219	Yes	
row_66	COL1A2	17958	-8.837601661682129	-0.14777514	Yes	
row_67	COL5A2	18003	-9.136305809020996	-0.1380755	Yes	
row_68	THBS1	18005	-9.164651870727539	-0.12608068	Yes	
row_69	COL3A1	18014	-9.228279113769531	-0.1144595	Yes	
row_70	ITGA4	18018	-9.285703659057617	-0.102571435	Yes	
row_71	COL1A1	18054	-9.619081497192383	-0.0923914	Yes	
row_72	COL5A1	18083	-9.819697380065918	-0.08183774	Yes	
row_73	ITGA2B	18288	-12.079296112060547	-0.08067826	Yes	
row_74	ITGB3	18307	-12.343439102172852	-0.06959084	Yes	
row_75	GP6	18309	-12.346796035766602	-0.05759602	Yes	
row_76	ITGA9	18354	-13.111204147338867	-0.047896374	Yes	
row_77	IBSP	18428	-14.152192115783691	-0.03974463	Yes	
row_78	FN1	18460	-14.740753173828125	-0.029351097	Yes	
row_79	TNN	18628	-20.037092208862305	-0.026216703	Yes	
row_80	TNC	18702	-24.893972396850586	-0.01806496	Yes	
row_81	COL2A1	18777	-38.776023864746094	-0.009966595	Yes	
row_82	RELN	18796	-56.169681549072266	0.0011208289	Yes	
