NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KLRC1	31	13.319878578186035	0.025376424	No	
row_1	HLA-A	4956	0.03956199437379837	-0.20977642	No	
row_2	HLA-F	6128	0.008228668011724949	-0.24509963	No	
row_3	HLA-E	10466	-0.059652362018823624	-0.44899747	No	
row_4	IL2	10956	-0.08902281522750854	-0.4480074	No	
row_5	HLA-B	11209	-0.1059415191411972	-0.4343982	No	
row_6	FAS	11608	-0.13898004591464996	-0.4285628	No	
row_7	KIR2DL3	12132	-0.1973528116941452	-0.42938307	No	
row_8	HLA-C	12505	-0.25163108110427856	-0.42216328	No	
row_9	KIR3DL1	13703	-0.5279432535171509	-0.4588709	Yes	
row_10	HLA-G	13963	-0.6168104410171509	-0.4456344	Yes	
row_11	KIR2DL1	14442	-0.8456099629402161	-0.44405863	Yes	
row_12	HLA-DRB5	14575	-0.9174250364303589	-0.42405996	Yes	
row_13	IL1A	14740	-1.0116949081420898	-0.40576518	Yes	
row_14	HLA-DMA	15156	-1.3022199869155884	-0.40083495	Yes	
row_15	KIR3DL2	15778	-1.9449059963226318	-0.40687326	Yes	
row_16	HLA-DRB1	15834	-2.018476724624634	-0.3827747	Yes	
row_17	HLA-DQB1	16575	-3.290933847427368	-0.3951492	Yes	
row_18	HLA-DRA	16664	-3.4671905040740967	-0.37280777	Yes	
row_19	IFNG	16707	-3.586357831954956	-0.34801704	Yes	
row_20	GZMB	16854	-3.9426920413970947	-0.3287638	Yes	
row_21	HLA-DPA1	16916	-4.1009955406188965	-0.30498475	Yes	
row_22	CD28	16918	-4.112109184265137	-0.27801096	Yes	
row_23	FASLG	16950	-4.196917533874512	-0.25263456	Yes	
row_24	HLA-DQA2	17195	-5.0197882652282715	-0.23859937	Yes	
row_25	CD86	17218	-5.104591369628906	-0.21274374	Yes	
row_26	HLA-DPB1	17450	-6.056013584136963	-0.19801639	Yes	
row_27	HLA-DOA	17618	-6.8468146324157715	-0.17988132	Yes	
row_28	KLRD1	17687	-7.153043746948242	-0.15647498	Yes	
row_29	HLA-DMB	17740	-7.508009910583496	-0.1322167	Yes	
row_30	TNF	17824	-7.978461742401123	-0.10960904	Yes	
row_31	IL1B	17920	-8.569757461547852	-0.08764031	Yes	
row_32	PRF1	17980	-8.992474555969238	-0.06375475	Yes	
row_33	HLA-DOB	18144	-10.471230506896973	-0.045406714	Yes	
row_34	IL6	18206	-11.07401180267334	-0.021627648	Yes	
row_35	HLA-DQA1	18274	-11.845500946044922	0.0018319446	Yes	
row_36	CD80	18317	-12.409097671508789	0.02662267	Yes	
