NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ITGA3	286	3.808285713195801	-0.002763102	No	
row_1	IL9R	401	3.1071298122406006	0.0036530043	No	
row_2	IL4R	1972	0.5458473563194275	-0.06763396	No	
row_3	CD36	3860	0.11569131910800934	-0.15583842	No	
row_4	IL7	4067	0.09592745453119278	-0.15433212	No	
row_5	CD9	4347	0.07497608661651611	-0.15672164	No	
row_6	CD44	4399	0.0718931183218956	-0.14694339	No	
row_7	IL5	4476	0.06682788580656052	-0.13849932	No	
row_8	KIT	4706	0.052975770086050034	-0.13822047	No	
row_9	EPOR	4836	0.04535095766186714	-0.13260487	No	
row_10	ITGA2	5133	0.032019130885601044	-0.13590164	No	
row_11	FLT3LG	6385	0.005180045962333679	-0.19016439	No	
row_12	ITGA6	8099	-0.0020130507182329893	-0.2690829	No	
row_13	GP9	9155	-0.016096103936433792	-0.31288558	No	
row_14	CD59	11369	-0.11612173914909363	-0.41848785	No	
row_15	TFRC	12095	-0.19268664717674255	-0.4446793	No	
row_16	CD1A	12364	-0.22827063500881195	-0.44648176	No	
row_17	IL11RA	12899	-0.3244548439979553	-0.46248	No	
row_18	CD34	12971	-0.34133169054985046	-0.4537691	No	
row_19	CD4	13288	-0.41154175996780396	-0.45813322	No	
row_20	IL3RA	13422	-0.4428235590457916	-0.4527311	No	
row_21	GP5	13840	-0.5706143379211426	-0.46248534	No	
row_22	IL6R	14036	-0.6461436152458191	-0.460392	No	
row_23	HLA-DRB5	14575	-0.9174250364303589	-0.47660372	No	
row_24	EPO	14669	-0.9688824415206909	-0.4690669	No	
row_25	IL1A	14740	-1.0116949081420898	-0.46030262	No	
row_26	CSF1	14784	-1.0416220426559448	-0.4500974	No	
row_27	GP1BA	15292	-1.4195387363433838	-0.46465474	No	
row_28	CD1D	15832	-2.0135772228240967	-0.4809198	Yes	
row_29	HLA-DRB1	15834	-2.018476724624634	-0.46847317	Yes	
row_30	CD1E	15874	-2.0647220611572266	-0.4580545	Yes	
row_31	CD3D	16153	-2.4822802543640137	-0.46039066	Yes	
row_32	FCER2	16194	-2.54903244972229	-0.45002538	Yes	
row_33	FLT3	16231	-2.6209778785705566	-0.4394466	Yes	
row_34	CD14	16362	-2.8509273529052734	-0.43388438	Yes	
row_35	CSF1R	16481	-3.1037001609802246	-0.42768174	Yes	
row_36	CSF2	16484	-3.110821008682251	-0.41528848	Yes	
row_37	CD3E	16589	-3.321190357208252	-0.4083387	Yes	
row_38	CD7	16600	-3.3494741916656494	-0.39637238	Yes	
row_39	HLA-DRA	16664	-3.4671905040740967	-0.3872345	Yes	
row_40	FCGR1A	16784	-3.8112170696258545	-0.38108525	Yes	
row_41	CD33	16786	-3.8115553855895996	-0.3686386	Yes	
row_42	CSF3R	16932	-4.156513690948486	-0.3638769	Yes	
row_43	CD1B	17025	-4.425819396972656	-0.3562867	Yes	
row_44	CD2	17060	-4.520036220550537	-0.3456012	Yes	
row_45	ITGA1	17067	-4.548078536987305	-0.3334214	Yes	
row_46	CD8A	17272	-5.329200744628906	-0.3318084	Yes	
row_47	CD37	17330	-5.57219123840332	-0.32235032	Yes	
row_48	CD55	17335	-5.594876766204834	-0.31006378	Yes	
row_49	CD8B	17342	-5.612415790557861	-0.297884	Yes	
row_50	ITGA5	17362	-5.676792144775391	-0.286398	Yes	
row_51	KITLG	17408	-5.887716770172119	-0.2762995	Yes	
row_52	CD3G	17463	-6.133520126342773	-0.26668137	Yes	
row_53	CR1	17546	-6.502513408660889	-0.2585575	Yes	
row_54	CD5	17578	-6.663382530212402	-0.24771188	Yes	
row_55	CD1C	17638	-6.960172176361084	-0.23836057	Yes	
row_56	TPO	17751	-7.577908039093018	-0.23183773	Yes	
row_57	TNF	17824	-7.978461742401123	-0.22318019	Yes	
row_58	IL11	17834	-8.042767524719238	-0.2111605	Yes	
row_59	IL1B	17920	-8.569757461547852	-0.20319673	Yes	
row_60	IL7R	17925	-8.592874526977539	-0.1909102	Yes	
row_61	IL1R1	18001	-9.125732421875	-0.18241276	Yes	
row_62	IL1R2	18010	-9.186787605285645	-0.1703397	Yes	
row_63	ITGA4	18018	-9.285703659057617	-0.15821327	Yes	
row_64	CR2	18026	-9.418997764587402	-0.14608684	Yes	
row_65	IL5RA	18079	-9.759533882141113	-0.13636196	Yes	
row_66	THPO	18084	-9.840214729309082	-0.12407543	Yes	
row_67	ITGAM	18092	-9.905726432800293	-0.111949	Yes	
row_68	IL2RA	18132	-10.357648849487305	-0.10153033	Yes	
row_69	IL6	18206	-11.07401180267334	-0.09292616	Yes	
row_70	CSF2RA	18262	-11.704389572143555	-0.083361365	Yes	
row_71	ITGA2B	18288	-12.079296112060547	-0.07219555	Yes	
row_72	ITGB3	18307	-12.343439102172852	-0.06065617	Yes	
row_73	CD19	18358	-13.154664039611816	-0.050824545	Yes	
row_74	CSF3	18400	-13.880531311035156	-0.04051261	Yes	
row_75	CD38	18614	-19.42582893371582	-0.039379887	Yes	
row_76	CD22	18618	-19.620813369750977	-0.027039988	Yes	
row_77	MME	18707	-25.344804763793945	-0.019236328	Yes	
row_78	MS4A1	18723	-26.980182647705078	-0.0075368397	Yes	
row_79	ANPEP	18767	-34.68974685668945	0.0026683584	Yes	
