NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD40	1345	0.9249582886695862	-0.049423225	No	
row_1	TNFSF13	3015	0.23116622865200043	-0.11610528	No	
row_2	TGFB1	3202	0.20080354809761047	-0.1037909	No	
row_3	MADCAM1	3755	0.1260594129562378	-0.11097261	No	
row_4	LTBR	4104	0.09314674884080887	-0.10728765	No	
row_5	IL5	4476	0.06682788580656052	-0.10482785	No	
row_6	CCL27	9188	-0.01673952303826809	-0.33355114	No	
row_7	IL15	10600	-0.0673733726143837	-0.38649005	No	
row_8	CCR9	10605	-0.0676361694931984	-0.3644809	No	
row_9	ITGB7	10816	-0.07888441532850266	-0.35344496	No	
row_10	IL2	10956	-0.08902281522750854	-0.33862698	No	
row_11	CCR10	12745	-0.2979429364204407	-0.41164792	No	
row_12	PIGR	13380	-0.43142053484916687	-0.42319763	Yes	
row_13	IL15RA	13451	-0.45150452852249146	-0.40470415	Yes	
row_14	CD40LG	13937	-0.6071166396141052	-0.4083169	Yes	
row_15	HLA-DRB5	14575	-0.9174250364303589	-0.4200264	Yes	
row_16	TNFSF13B	14947	-1.1490037441253662	-0.4175666	Yes	
row_17	TNFRSF13C	15069	-1.2415714263916016	-0.40178978	Yes	
row_18	HLA-DMA	15156	-1.3022199869155884	-0.38414863	Yes	
row_19	HLA-DRB1	15834	-2.018476724624634	-0.39798883	Yes	
row_20	CCL28	15922	-2.1364943981170654	-0.38040093	Yes	
row_21	CXCR4	16062	-2.340904474258423	-0.36558294	Yes	
row_22	HLA-DQB1	16575	-3.290933847427368	-0.37063393	Yes	
row_23	HLA-DRA	16664	-3.4671905040740967	-0.3530993	Yes	
row_24	CXCL12	16834	-3.9047086238861084	-0.33987936	Yes	
row_25	HLA-DPA1	16916	-4.1009955406188965	-0.32197186	Yes	
row_26	CD28	16918	-4.112109184265137	-0.2998029	Yes	
row_27	HLA-DQA2	17195	-5.0197882652282715	-0.29228264	Yes	
row_28	CD86	17218	-5.104591369628906	-0.2712323	Yes	
row_29	CCL25	17220	-5.110728740692139	-0.24906336	Yes	
row_30	ICOSLG	17356	-5.653229236602783	-0.23403232	Yes	
row_31	TNFRSF13B	17386	-5.7794342041015625	-0.21335487	Yes	
row_32	HLA-DPB1	17450	-6.056013584136963	-0.19448853	Yes	
row_33	HLA-DOA	17618	-6.8468146324157715	-0.18116206	Yes	
row_34	MAP3K14	17619	-6.85357666015625	-0.15893984	Yes	
row_35	AICDA	17654	-7.027842044830322	-0.13852872	Yes	
row_36	HLA-DMB	17740	-7.508009910583496	-0.120834276	Yes	
row_37	TNFRSF17	17935	-8.70249080657959	-0.10894605	Yes	
row_38	ITGA4	18018	-9.285703659057617	-0.0910918	Yes	
row_39	HLA-DOB	18144	-10.471230506896973	-0.07552808	Yes	
row_40	IL6	18206	-11.07401180267334	-0.0565552	Yes	
row_41	ICOS	18235	-11.32525634765625	-0.03582448	Yes	
row_42	HLA-DQA1	18274	-11.845500946044922	-0.015626442	Yes	
row_43	CD80	18317	-12.409097671508789	0.0043585254	Yes	
row_44	IL10	18507	-15.66213321685791	0.016513098	Yes	
