NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GIPR	93	7.355378150939941	-9.256362E-4	No	
row_1	GABBR1	94	7.355131149291992	0.0031559963	No	
row_2	HTR7	228	4.368638515472412	7.669609E-5	No	
row_3	TSPO	352	3.3529300689697266	-0.002464188	No	
row_4	THRB	840	1.6284160614013672	-0.024603413	No	
row_5	GRM4	921	1.494730830192566	-0.02482911	No	
row_6	P2RX6	1160	1.1308448314666748	-0.033561777	No	
row_7	ADORA2B	1391	0.8920481204986572	-0.041863713	No	
row_8	LPAR2	1776	0.636694073677063	-0.058457255	No	
row_9	MCHR1	2389	0.3916068375110626	-0.08732668	No	
row_10	GRIK3	2760	0.2822323143482208	-0.10316644	No	
row_11	F2RL1	2859	0.259357213973999	-0.10436128	No	
row_12	CRHR2	3076	0.22083930671215057	-0.111909434	No	
row_13	NPY1R	3225	0.19676993787288666	-0.11579636	No	
row_14	HTR2C	3651	0.13741356134414673	-0.1345974	No	
row_15	CHRNB4	3782	0.12238817662000656	-0.13751519	No	
row_16	GNRHR	3798	0.1213119700551033	-0.13424118	No	
row_17	P2RY4	4049	0.09712762385606766	-0.14361994	No	
row_18	LPAR1	4125	0.09150593727827072	-0.14357643	No	
row_19	LEP	4189	0.08650781214237213	-0.14288682	No	
row_20	HTR1B	4242	0.0826924741268158	-0.14160495	No	
row_21	DRD5	4253	0.08201887458562851	-0.13806173	No	
row_22	NPY5R	4329	0.07658853381872177	-0.13801822	No	
row_23	LPAR6	4959	0.039373431354761124	-0.16780296	No	
row_24	S1PR4	5038	0.03586233779788017	-0.16792096	No	
row_25	VIPR1	5042	0.03569700941443443	-0.16400085	No	
row_26	LEPR	5284	0.026964718475937843	-0.17289504	No	
row_27	PTAFR	5311	0.025924956426024437	-0.1702133	No	
row_28	DRD1	5323	0.025460556149482727	-0.16672392	No	
row_29	GABRE	5685	0.016090888530015945	-0.1820791	No	
row_30	SSTR5	5717	0.015441514551639557	-0.17966656	No	
row_31	PTH2R	5843	0.012741873040795326	-0.18231513	No	
row_32	P2RY1	5901	0.011498835869133472	-0.18130247	No	
row_33	CHRNA4	6006	0.009959585033357143	-0.18282036	No	
row_34	AVPR1B	6111	0.00843639113008976	-0.18433826	No	
row_35	GH2	6249	0.006555530242621899	-0.18763293	No	
row_36	PRSS1	6300	0.005895746406167746	-0.18624337	No	
row_37	NMUR2	6437	0.0045689805410802364	-0.1894842	No	
row_38	MTNR1B	6514	0.003871229477226734	-0.18949452	No	
row_39	KISS1R	6535	0.0036801849491894245	-0.18648973	No	
row_40	GABRG2	6584	0.003156156511977315	-0.18499249	No	
row_41	OPRM1	6699	0.0023462651297450066	-0.18704881	No	
row_42	LTB4R2	6809	0.001612223801203072	-0.1888359	No	
row_43	S1PR5	6810	0.0016038016183301806	-0.18475427	No	
row_44	GRIA2	6860	0.001328135491348803	-0.18331088	No	
row_45	P2RX2	6958	8.292233105748892E-4	-0.18445188	No	
row_46	GRM7	7142	2.638049190863967E-4	-0.19022326	No	
row_47	MC1R	7345	1.0196424227615353E-5	-0.19701762	No	
row_48	ADRB1	7357	7.073999768181238E-6	-0.19352825	No	
row_49	GRIA3	7377	2.4850207864801632E-6	-0.19046961	No	
row_50	GABRR1	7425	-3.3214041650353465E-7	-0.18891853	No	
row_51	HRH4	7445	-3.784552973229438E-6	-0.18585989	No	
row_52	PLG	7512	-3.24597058352083E-5	-0.1853318	No	
row_53	CHRNA10	7515	-3.3468495530541986E-5	-0.18135786	No	
row_54	NPY4R	7714	-3.4090966801159084E-4	-0.18793686	No	
row_55	HTR4	7843	-7.166782161220908E-4	-0.19074695	No	
row_56	CTSG	7850	-7.418874301947653E-4	-0.18698837	No	
row_57	LPAR3	8014	-0.0015255435137078166	-0.19168292	No	
row_58	GALR3	8199	-0.0028078516479581594	-0.19750814	No	
row_59	CHRNA5	8343	-0.004085301887243986	-0.20112586	No	
row_60	P2RY11	8383	-0.00440947525203228	-0.19914405	No	
row_61	LHB	8641	-0.007542670238763094	-0.2088997	No	
row_62	TAAR1	8721	-0.00868247076869011	-0.20907156	No	
row_63	MC5R	8807	-0.010006268508732319	-0.20956646	No	
row_64	GABRB3	8819	-0.010169074870646	-0.20607708	No	
row_65	GABRD	8949	-0.01215295772999525	-0.20894103	No	
row_66	GRIK2	9074	-0.01433279737830162	-0.21153575	No	
row_67	GABRG1	9203	-0.016963129863142967	-0.21434584	Yes	
row_68	GRIN3B	9211	-0.01714281737804413	-0.2106411	Yes	
row_69	GRIN2D	9228	-0.01749570295214653	-0.20742093	Yes	
row_70	CCKAR	9360	-0.020502878352999687	-0.21039255	Yes	
row_71	TACR3	9365	-0.020671479403972626	-0.20652628	Yes	
row_72	MLNR	9440	-0.022505514323711395	-0.20642893	Yes	
row_73	P2RX3	9493	-0.023898761719465256	-0.20514706	Yes	
row_74	LTB4R	9740	-0.030368326231837273	-0.21431045	Yes	
row_75	NMBR	9760	-0.031230106949806213	-0.21125181	Yes	
row_76	GALR2	9781	-0.03192664682865143	-0.20824702	Yes	
row_77	NTSR2	9860	-0.0344269797205925	-0.20836502	Yes	
row_78	RXFP1	9908	-0.03581862896680832	-0.20681395	Yes	
row_79	OPRL1	9942	-0.036924224346876144	-0.2045091	Yes	
row_80	GALR1	9986	-0.03878439962863922	-0.20274265	Yes	
row_81	GRID2	10025	-0.039964187890291214	-0.20070699	Yes	
row_82	GABRR2	10069	-0.041684962809085846	-0.19894055	Yes	
row_83	P2RY2	10097	-0.042730662971735	-0.19631264	Yes	
row_84	TRPV1	10195	-0.046738892793655396	-0.19745365	Yes	
row_85	GABRA1	10231	-0.048684075474739075	-0.19525647	Yes	
row_86	GABRA5	10323	-0.05226874724030495	-0.19607443	Yes	
row_87	GABRA4	10446	-0.058577556163072586	-0.19856146	Yes	
row_88	MTNR1A	10464	-0.0595698319375515	-0.19539514	Yes	
row_89	NR3C1	10534	-0.06335189938545227	-0.19502857	Yes	
row_90	GLP1R	10678	-0.07192135602235794	-0.19864629	Yes	
row_91	GLP2R	10679	-0.07195225358009338	-0.19456466	Yes	
row_92	MC4R	10686	-0.07211712747812271	-0.19080608	Yes	
row_93	MCHR2	10819	-0.07903971523046494	-0.19383153	Yes	
row_94	LHCGR	10839	-0.08074412494897842	-0.19077289	Yes	
row_95	GABRQ	10844	-0.0811772421002388	-0.18690664	Yes	
row_96	CHRNG	10846	-0.08163881301879883	-0.18287884	Yes	
row_97	GABRA2	10880	-0.08369186520576477	-0.18057398	Yes	
row_98	PRSS3	10901	-0.08530554175376892	-0.17756918	Yes	
row_99	HCRTR1	10942	-0.08786916732788086	-0.17564121	Yes	
row_100	ADRA2C	10985	-0.09078247100114822	-0.17382093	Yes	
row_101	ADCYAP1R1	11031	-0.09312745928764343	-0.17216216	Yes	
row_102	GABRB1	11095	-0.09748653322458267	-0.17147255	Yes	
row_103	CYSLTR2	11168	-0.10286938399076462	-0.17126751	Yes	
row_104	ADRB2	11193	-0.10480894893407822	-0.16847809	Yes	
row_105	HTR2B	11222	-0.10649076104164124	-0.16590402	Yes	
row_106	GPR50	11253	-0.10799622535705566	-0.16343763	Yes	
row_107	GH1	11285	-0.11011990159749985	-0.16102509	Yes	
row_108	GABRA3	11344	-0.11426736414432526	-0.16006626	Yes	
row_109	GABRG3	11355	-0.11511307954788208	-0.15652305	Yes	
row_110	GRIN1	11446	-0.12302728742361069	-0.15728717	Yes	
row_111	HCRTR2	11454	-0.12396666407585144	-0.15358242	Yes	
row_112	CHRM3	11477	-0.12638479471206665	-0.1506853	Yes	
row_113	AVPR1A	11505	-0.12894199788570404	-0.14805739	Yes	
row_114	TACR1	11673	-0.14447015523910522	-0.1529673	Yes	
row_115	MC2R	11733	-0.1497107893228531	-0.15206233	Yes	
row_116	CHRM1	11825	-0.16039326786994934	-0.15288028	Yes	
row_117	ADORA2A	11839	-0.1617346554994583	-0.1494986	Yes	
row_118	CALCR	11913	-0.17070001363754272	-0.1493474	Yes	
row_119	EDNRB	11965	-0.1762138456106186	-0.14801168	Yes	
