NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CLCA4	105	6.779226779937744	0.0052623884	Yes	
row_1	CLCA2	137	5.897629737854004	0.014476501	Yes	
row_2	OR3A2	532	2.5286974906921387	0.0043058023	Yes	
row_3	OR5M11	1170	1.1161367893218994	-0.018841507	Yes	
row_4	OR13A1	1310	0.9524707794189453	-0.015394776	Yes	
row_5	OR9K2	1467	0.8384829163551331	-0.012855874	Yes	
row_6	OR1Q1	1733	0.6557940244674683	-0.016137756	Yes	
row_7	GUCY2D	2234	0.4410043954849243	-0.031969033	Yes	
row_8	OR56B4	2535	0.3469823896884918	-0.037119973	Yes	
row_9	OR6B2	2784	0.27751463651657104	-0.039494026	Yes	
row_10	OR6B3	2821	0.2678767740726471	-0.030546922	Yes	
row_11	OR2A7	2855	0.2602323293685913	-0.021439614	Yes	
row_12	OR52L1	3072	0.22154340147972107	-0.022104813	Yes	
row_13	OR10AD1	3152	0.2078552097082138	-0.01545398	Yes	
row_14	OR2A4	3393	0.17302344739437103	-0.01740082	Yes	
row_15	OR2A1	3655	0.13688667118549347	-0.020469096	Yes	
row_16	OR9A4	4063	0.09630943089723587	-0.031334016	Yes	
row_17	OR56A5	4109	0.09284365922212601	-0.022867527	Yes	
row_18	CALML3	4277	0.08057621121406555	-0.020916043	Yes	
row_19	OR7D2	4433	0.0692058801651001	-0.018323738	Yes	
row_20	GUCA1B	4641	0.05680225044488907	-0.018508323	Yes	
row_21	CALML6	4759	0.050256919115781784	-0.013886754	Yes	
row_22	OR2AE1	4940	0.04015778750181198	-0.012629493	Yes	
row_23	CAMK2G	5131	0.032106801867485046	-0.011906248	Yes	
row_24	OR2A25	5213	0.029134875163435936	-0.005362219	Yes	
row_25	OR1J1	5235	0.0284861009567976	0.004385911	Yes	
row_26	OR2A14	5689	0.016025399789214134	-0.008935488	Yes	
row_27	OR10H1	5831	0.013003314845263958	-0.0055955607	Yes	
row_28	OR5K2	5844	0.012695924378931522	0.0046331845	Yes	
row_29	OR2J3	6069	0.008992256596684456	0.003540772	Yes	
row_30	CNGA4	6140	0.008102741092443466	0.010672219	Yes	
row_31	OR5AU1	6331	0.005672830622643232	0.011395464	Yes	
row_32	OR10H2	6355	0.005403781775385141	0.02103679	Yes	
row_33	OR11H4	6570	0.0033731802832335234	0.020478396	Yes	
row_34	OR11H6	6666	0.002548404736444354	0.0262748	Yes	
row_35	OR2H2	6720	0.0021815067157149315	0.034314077	Yes	
row_36	OR1J2	6761	0.0018793281633406878	0.043047573	Yes	
row_37	OR6A2	6931	9.541070321574807E-4	0.044892255	Yes	
row_38	PRKACB	6935	9.453913080506027E-4	0.055601615	Yes	
row_39	OR1J4	7153	2.281167107867077E-4	0.054883014	Yes	
row_40	OR51Q1	7211	1.233890507137403E-4	0.06270868	Yes	
row_41	OR2AG2	7349	8.502038326696493E-6	0.066262215	Yes	
row_42	OR10H5	7480	-1.6639038221910596E-5	0.070189565	Yes	
row_43	OR56B1	7499	-2.517089160392061E-5	0.0800979	Yes	
row_44	OR1L8	7595	-1.3175126514397562E-4	0.0858943	Yes	
row_45	CALM1	7634	-1.8671706493478268E-4	0.0947346	Yes	
row_46	OR52D1	7689	-2.7210538974031806E-4	0.10272048	Yes	
row_47	PRKG2	7737	-3.961154434364289E-4	0.11108016	Yes	
row_48	OR2C1	7904	-9.528245427645743E-4	0.113085054	Yes	
row_49	OR5K1	8352	-0.004135441966354847	0.10008406	Yes	
row_50	CALML5	8523	-0.006044111214578152	0.10187534	Yes	
row_51	OR5P2	8594	-0.006945993285626173	0.109006785	Yes	
row_52	OR52N2	8646	-0.0076296147890388966	0.11715287	Yes	
row_53	OR2T8	8678	-0.008103601634502411	0.12636699	Yes	
row_54	OR2B2	9202	-0.016953982412815094	0.10930746	Yes	
row_55	PDC	9255	-0.018101787194609642	0.11740014	Yes	
row_56	OR2W3	9271	-0.01833784207701683	0.12746868	Yes	
row_57	OR1F1	9375	-0.02091440185904503	0.13283788	Yes	
row_58	OR8A1	9425	-0.022199518978595734	0.14109075	Yes	
row_59	PRKX	9456	-0.02309322915971279	0.15035827	Yes	
row_60	OR2L13	9679	-0.028558237478137016	0.14937267	Yes	
row_61	OR10A6	9685	-0.02866961807012558	0.15997522	Yes	
row_62	OR56A3	9690	-0.028889672830700874	0.17063117	Yes	
row_63	OR10A3	9708	-0.02927928790450096	0.18059291	Yes	
row_64	PRKACA	10308	-0.051890626549720764	0.15947486	Yes	
row_65	OR13J1	10366	-0.05446220561861992	0.16730054	Yes	
row_66	OR5P3	10378	-0.05506541579961777	0.17758268	Yes	
row_67	OR52N4	10387	-0.055519189685583115	0.18802504	Yes	
row_68	CLCA1	10858	-0.08226936310529709	0.1737958	Yes	
row_69	OR51B5	10935	-0.08746325969696045	0.18060684	Yes	
row_70	OR8S1	10946	-0.08842142671346664	0.19094239	Yes	
row_71	OR7E24	10961	-0.08927882462739944	0.20106433	Yes	
row_72	PRKACG	11097	-0.09758632630109787	0.20472467	Yes	
row_73	OR51B4	11819	-0.15956364572048187	0.17709163	No	
row_74	CALM3	12222	-0.20913182199001312	0.16649371	No	
row_75	CAMK2D	12680	-0.2846280634403229	0.1529587	No	
row_76	PDE1C	12728	-0.29308876395225525	0.16131839	No	
row_77	OR2B6	13511	-0.46614009141921997	0.13042784	No	
row_78	CALM2	14120	-0.6810530424118042	0.10882918	No	
row_79	OR7C1	14257	-0.7477492690086365	0.112436116	No	
row_80	ADCY3	14514	-0.8826767802238464	0.10963485	No	
row_81	GNAL	15070	-1.2419556379318237	0.09086648	No	
row_82	CAMK2B	15447	-1.5717536211013794	0.08165701	No	
row_83	OR51E1	15860	-2.045760154724121	0.07052508	No	
row_84	CNGA3	16164	-2.5008976459503174	0.06521393	No	
row_85	OR51E2	16952	-4.205898761749268	0.03405637	No	
row_86	PRKG1	17179	-4.940989971160889	0.032857154	No	
row_87	OR7A5	17225	-5.128830909729004	0.041323643	No	
row_88	CAMK2A	17375	-5.741201400756836	0.044236355	No	
row_89	ARRB2	17701	-7.241011142730713	0.037750375	No	
row_90	GUCA1A	18374	-13.4169282913208	0.012734005	No	
row_91	CNGB1	18718	-26.45536994934082	0.0052867914	No	
