NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NDUFA4L2	22	16.961992263793945	0.008925734	Yes	
row_1	COX7C	417	3.036512613296509	-0.0020213886	Yes	
row_2	NDUFC1	847	1.6207153797149658	-0.014838269	Yes	
row_3	COX4I1	973	1.4050995111465454	-0.011414966	Yes	
row_4	NDUFA10	1035	1.3068263530731201	-0.004572677	Yes	
row_5	NDUFA7	1049	1.2944061756134033	0.0048338515	Yes	
row_6	NDUFB8	1091	1.2262059450149536	0.012744574	Yes	
row_7	UBA7	1139	1.1670873165130615	0.020334765	Yes	
row_8	NDUFA1	1203	1.0778943300247192	0.027070211	Yes	
row_9	NDUFA5	1204	1.0758742094039917	0.037171222	Yes	
row_10	UBB	1237	1.0339359045028687	0.04556274	Yes	
row_11	COX5A	1245	1.0238161087036133	0.055289797	Yes	
row_12	SLC25A6	1306	0.9578853249549866	0.062185507	Yes	
row_13	NDUFB10	1601	0.7413801550865173	0.05658055	Yes	
row_14	UQCRC2	1868	0.5948975086212158	0.0524714	Yes	
row_15	NDUFA2	2127	0.4770168662071228	0.048789624	Yes	
row_16	NDUFB1	2364	0.3983772397041321	0.046283122	Yes	
row_17	COX7A2	2368	0.39739155769348145	0.05622387	Yes	
row_18	NDUFS4	2539	0.34596407413482666	0.0572432	Yes	
row_19	UQCR11	2636	0.31720051169395447	0.062215727	Yes	
row_20	COX5B	2680	0.304090291261673	0.07001961	Yes	
row_21	CASP9	2740	0.28787800669670105	0.07696874	Yes	
row_22	NDUFB4	2851	0.2608332335948944	0.081193365	Yes	
row_23	NDUFS7	2895	0.25300776958465576	0.088997245	Yes	
row_24	COX4I2	2967	0.24160869419574738	0.095305316	Yes	
row_25	NDUFB3	2995	0.2360146939754486	0.10396394	Yes	
row_26	VDAC1	3101	0.21684791147708893	0.10845568	Yes	
row_27	NDUFA6	3112	0.21512936055660248	0.11802247	Yes	
row_28	COX7B	3116	0.21458692848682404	0.12796322	Yes	
row_29	UQCRH	3123	0.21260778605937958	0.1377437	Yes	
row_30	NDUFA3	3342	0.17979198694229126	0.13619879	Yes	
row_31	COX6A1	3445	0.16501812636852264	0.14085078	Yes	
row_32	NDUFV3	3646	0.13778284192085266	0.14026746	Yes	
row_33	UQCRQ	3828	0.11817795783281326	0.14069916	Yes	
row_34	UQCRHL	3967	0.10524477064609528	0.14342798	Yes	
row_35	NDUFS8	4034	0.09864642471075058	0.15000317	Yes	
row_36	UQCR10	4092	0.09396231174468994	0.15705913	Yes	
row_37	NDUFV2	4161	0.0884774848818779	0.16352747	Yes	
row_38	NDUFB2	4397	0.07201694697141647	0.1610744	Yes	
row_39	UQCRB	4503	0.06511028856039047	0.16556613	Yes	
row_40	VDAC3	4827	0.04575720801949501	0.15841195	Yes	
row_41	APAF1	4896	0.04231422021985054	0.16488029	Yes	
row_42	COX6B1	5052	0.03517382964491844	0.16670094	Yes	
row_43	PARK7	5106	0.03282611444592476	0.1739706	Yes	
row_44	NDUFS5	5175	0.03040008805692196	0.18043894	Yes	
row_45	NDUFS1	5186	0.030083807185292244	0.19000573	Yes	
row_46	NDUFA4	5294	0.026561060920357704	0.19439062	Yes	
row_47	SDHD	5298	0.026391178369522095	0.20433137	Yes	
row_48	UQCRC1	5627	0.01729131117463112	0.19691007	Yes	
row_49	NDUFS3	5812	0.013379810377955437	0.19718151	Yes	
row_50	NDUFB7	5876	0.011903009377419949	0.20391695	Yes	
row_51	UBE2J2	6308	0.005780328065156937	0.19099322	Yes	
row_52	SLC25A31	6403	0.004999137483537197	0.1960726	Yes	
row_53	COX8A	6436	0.00460606487467885	0.20446411	Yes	
row_54	PINK1	6494	0.004085144028067589	0.21152009	Yes	
row_55	CASP3	6951	8.711742120794952E-4	0.19726083	Yes	
row_56	VDAC2	7003	6.68253400363028E-4	0.20463733	Yes	
row_57	SDHB	7095	3.5551979090087116E-4	0.20987697	Yes	
row_58	NDUFC2	7618	-1.6723967564757913E-4	0.19209188	Yes	
row_59	NDUFB5	7741	-4.022835928481072E-4	0.19567545	Yes	
row_60	NDUFAB1	7923	-0.0010473582660779357	0.19610713	Yes	
row_61	TH	8168	-0.00258643738925457	0.19317326	Yes	
row_62	PPID	8299	-0.0036110994406044483	0.19632946	Yes	
row_63	COX6C	8337	-0.004007356707006693	0.20445387	Yes	
row_64	CYC1	8340	-0.004028675612062216	0.21444803	Yes	
row_65	UBE2L3	8441	-0.005192736629396677	0.21920687	Yes	
row_66	NDUFB9	8569	-0.006707888562232256	0.22252333	Yes	
row_67	CYCS	8799	-0.009874077513813972	0.22039078	Yes	
row_68	SLC25A4	8942	-0.012006022036075592	0.22290592	Yes	
row_69	NDUFA9	9240	-0.01782933995127678	0.2171407	Yes	
row_70	NDUFV1	9300	-0.019075341522693634	0.22408983	Yes	
row_71	SDHC	9363	-0.020641788840293884	0.2308787	Yes	
row_72	NDUFB6	9517	-0.024379996582865715	0.23280619	Yes	
row_73	UBE2G2	9700	-0.029167169705033302	0.23318446	Yes	
row_74	UBE2G1	9954	-0.037484392523765564	0.2297698	Yes	
row_75	SDHA	10264	-0.0499575138092041	0.22336352	Yes	
row_76	UBE2L6	10301	-0.0515182763338089	0.23154135	Yes	
row_77	NDUFA8	10344	-0.053200799971818924	0.23939864	Yes	
row_78	NDUFS2	10559	-0.06494754552841187	0.23806742	Yes	
row_79	COX7B2	10595	-0.06695780158042908	0.24629867	Yes	
row_80	UBE2J1	11187	-0.10418712347745895	0.22482748	No	
row_81	COX6B2	11282	-0.1097959503531456	0.22990686	No	
row_82	SLC25A5	11509	-0.12922130525112152	0.22793457	No	
row_83	COX6A2	11545	-0.1324962079524994	0.23616582	No	
row_84	UQCRFS1	11562	-0.13441957533359528	0.2454121	No	
row_85	SNCAIP	12035	-0.18541935086250305	0.23029807	No	
row_86	NDUFS6	12127	-0.1965402513742447	0.23553772	No	
row_87	UBA1	12551	-0.2602091431617737	0.22304137	No	
row_88	COX7A2L	12862	-0.31733715534210205	0.21658166	No	
row_89	COX7A1	14510	-0.880002498626709	0.1386972	No	
row_90	SLC6A3	15031	-1.208886981010437	0.12101895	No	
row_91	HTRA2	15495	-1.6246325969696045	0.10638574	No	
row_92	SNCA	15917	-2.132155656814575	0.093996234	No	
row_93	LRRK2	17112	-4.719569683074951	0.040311784	No	
row_94	SLC18A2	17149	-4.821744441986084	0.048489615	No	
row_95	COX8C	17313	-5.504166603088379	0.049882896	No	
row_96	GPR37	17811	-7.8875041007995605	0.03343334	No	
row_97	SLC18A1	17908	-8.479331970214844	0.038405873	No	
row_98	UCHL1	18569	-17.522762298583984	0.01324859	No	
