NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	UGT1A1	95	7.350045204162598	0.031981427	Yes	
row_1	UGT2B28	199	4.702116012573242	0.06353711	Yes	
row_2	UGT1A6	390	3.1548140048980713	0.09046293	Yes	
row_3	UGT1A9	1151	1.1510004997253418	0.08705507	Yes	
row_4	UGT1A10	2016	0.5269709825515747	0.078112654	Yes	
row_5	RPE	3379	0.175141379237175	0.042668182	Yes	
row_6	UGT2B11	4022	0.1003425121307373	0.04553993	Yes	
row_7	AKR1B1	4377	0.07315833866596222	0.06373816	Yes	
row_8	CRYL1	5011	0.037160474807024	0.06708886	Yes	
row_9	UGT1A4	5094	0.03356368467211723	0.099762104	Yes	
row_10	UGT1A7	5109	0.032776616513729095	0.1360541	Yes	
row_11	UGT2B4	5525	0.01975565031170845	0.1510061	Yes	
row_12	UGT1A5	5527	0.019730031490325928	0.18798992	Yes	
row_13	RPEL1	6698	0.0023473091423511505	0.1627631	Yes	
row_14	UGT1A3	7177	1.800598402041942E-4	0.17436244	Yes	
row_15	UGP2	8216	-0.00295577896758914	0.15616027	Yes	
row_16	DCXR	8381	-0.004397631157189608	0.18446971	Yes	
row_17	GUSB	8498	-0.00574800418689847	0.2153336	Yes	
row_18	UGT1A8	9703	-0.02922743745148182	0.1882974	Yes	
row_19	UGDH	9974	-0.038204923272132874	0.21096586	Yes	
row_20	XYLB	10267	-0.050102319568395615	0.23246354	Yes	
row_21	UGT2A3	11226	-0.10686424374580383	0.21851872	Yes	
row_22	UGT2B10	11856	-0.16370926797389984	0.22208229	Yes	
row_23	UGT2B7	11973	-0.17733129858970642	0.25294617	Yes	
row_24	UGT2B15	12194	-0.2043152153491974	0.27827546	Yes	
row_25	UGT2A1	17197	-5.027886867523193	0.049121246	No	
row_26	DHDH	17539	-6.475543975830078	0.0680113	No	
