NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ALDOC	611	2.2164785861968994	0.0045214714	Yes	
row_1	G6PD	740	1.8188011646270752	0.034746736	Yes	
row_2	ALDOA	864	1.5844365358352661	0.06523809	Yes	
row_3	GPI	1276	0.9891395568847656	0.080402955	Yes	
row_4	PFKL	1531	0.7905170917510986	0.10392288	Yes	
row_5	FBP1	2093	0.4926726222038269	0.1111052	Yes	
row_6	PGLS	2937	0.2469799965620041	0.103280336	Yes	
row_7	RPE	3379	0.175141379237175	0.11684869	Yes	
row_8	PGD	4498	0.06542424112558365	0.09438916	Yes	
row_9	TALDO1	5296	0.02648111805319786	0.08901228	Yes	
row_10	PFKM	5403	0.023268191143870354	0.12040832	Yes	
row_11	PGM1	5426	0.022804947569966316	0.15627459	Yes	
row_12	TKT	6303	0.005881619639694691	0.14669356	Yes	
row_13	RPEL1	6698	0.0023473091423511505	0.1627631	Yes	
row_14	PFKP	6815	0.001569379586726427	0.19362698	Yes	
row_15	TKTL2	7370	4.2606034185155295E-6	0.20118181	Yes	
row_16	PGM2	7792	-5.590770742855966E-4	0.21581452	Yes	
row_17	FBP2	10137	-0.045071620494127274	0.12811099	Yes	
row_18	H6PD	10326	-0.05237459018826485	0.15514323	Yes	
row_19	PRPS1L1	11474	-0.12576358020305634	0.13114041	Yes	
row_20	DERA	11543	-0.13239037990570068	0.1645587	Yes	
row_21	RBKS	11806	-0.15717200934886932	0.18765289	Yes	
row_22	PRPS2	11939	-0.17325463891029358	0.21766528	Yes	
row_23	TKTL1	11941	-0.17342795431613922	0.2546491	Yes	
row_24	PRPS1	11991	-0.17929232120513916	0.2890785	Yes	
row_25	RPIA	14544	-0.8975356221199036	0.19030586	No	
row_26	ALDOB	15334	-1.4634895324707031	0.18535471	No	
