NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NOS2	107	6.7365336418151855	0.007110801	Yes	
row_1	NUDT12	464	2.774721622467041	9.345158E-4	Yes	
row_2	HSD17B4	662	2.0365288257598877	0.0032427555	Yes	
row_3	ACAA1	796	1.7066172361373901	0.00896615	Yes	
row_4	PEX7	805	1.6789923906326294	0.021359768	Yes	
row_5	IDH1	836	1.6330928802490234	0.03257943	Yes	
row_6	GSTK1	876	1.5593044757843018	0.04331883	Yes	
row_7	PRDX5	1371	0.908857524394989	0.029778618	Yes	
row_8	ABCD4	1444	0.855035662651062	0.038757082	Yes	
row_9	MPV17L	1574	0.7657377123832703	0.044693924	Yes	
row_10	ACSL3	1613	0.730778694152832	0.05548669	Yes	
row_11	SCP2	1912	0.5759162902832031	0.052405387	Yes	
row_12	SOD1	2032	0.5186572074890137	0.058875848	Yes	
row_13	DECR2	2241	0.4389267861843109	0.060597107	Yes	
row_14	EPHX2	2281	0.4247373044490814	0.07133651	Yes	
row_15	DDO	2319	0.41411930322647095	0.08218264	Yes	
row_16	PEX11B	2469	0.3667256236076355	0.08705224	Yes	
row_17	PEX11G	2678	0.30458611249923706	0.088773504	Yes	
row_18	PEX6	3169	0.20562565326690674	0.07544674	Yes	
row_19	ACSL5	3189	0.2020389586687088	0.08725338	Yes	
row_20	MPV17	3238	0.19498565793037415	0.09751252	Yes	
row_21	PEX14	3435	0.1666935235261917	0.099874124	Yes	
row_22	CAT	3453	0.16389185190200806	0.11178748	Yes	
row_23	MVK	3856	0.11611727625131607	0.10315656	Yes	
row_24	MLYCD	3874	0.114651158452034	0.11506992	Yes	
row_25	PEX10	3969	0.1048680767416954	0.122874424	Yes	
row_26	DHRS4	4056	0.09646818041801453	0.13110583	Yes	
row_27	FAR1	4207	0.08567916601896286	0.13592207	Yes	
row_28	PEX16	4424	0.06959522515535355	0.13721643	Yes	
row_29	PEX12	4435	0.06909206509590149	0.14950334	Yes	
row_30	ACOX3	4439	0.06897058337926865	0.16216376	Yes	
row_31	CROT	4713	0.05235422030091286	0.1604165	Yes	
row_32	XDH	5267	0.027545789256691933	0.14372794	Yes	
row_33	PEX2	5307	0.026086121797561646	0.15446734	Yes	
row_34	ECH1	5611	0.017575450241565704	0.15111923	Yes	
row_35	PEX3	5700	0.015698403120040894	0.15924391	Yes	
row_36	ACOT8	5825	0.01307608187198639	0.16544756	Yes	
row_37	PEX13	6213	0.006990591064095497	0.15761706	Yes	
row_38	PEX1	6220	0.006892722100019455	0.17011741	Yes	
row_39	HMGCL	6325	0.005686325486749411	0.17738828	Yes	
row_40	PEX19	6381	0.005200000945478678	0.1872739	Yes	
row_41	SLC25A17	6791	0.0016994408797472715	0.17826945	Yes	
row_42	PXMP4	6853	0.0013547322014346719	0.18783489	Yes	
row_43	PAOX	8185	-0.002710756380110979	0.12963085	No	
row_44	GNPAT	8649	-0.007672868203371763	0.117744856	No	
row_45	SLC27A2	8891	-0.011237910017371178	0.117705174	No	
row_46	ECI2	9109	-0.014998904429376125	0.11894618	No	
row_47	NUDT19	9163	-0.016256291419267654	0.12893851	No	
row_48	PEX5	9209	-0.017127156257629395	0.13935775	No	
row_49	AGPS	9583	-0.02578640915453434	0.13227431	No	
row_50	PMVK	10433	-0.05807024613022804	0.09979066	No	
row_51	ACOX1	10737	-0.07468022406101227	0.09644256	No	
row_52	ABCD3	10765	-0.07604225724935532	0.1078223	No	
row_53	IDH2	11221	-0.10645582526922226	0.096363194	No	
row_54	HAO1	11291	-0.11052609980106354	0.10550175	No	
row_55	ACSL1	11320	-0.11196907609701157	0.11682813	No	
row_56	AGXT	11371	-0.11623837053775787	0.12698056	No	
row_57	DAO	11926	-0.1719805747270584	0.110238634	No	
row_58	AMACR	11930	-0.17225588858127594	0.122899055	No	
row_59	ABCD1	12195	-0.2046060562133789	0.121632054	No	
row_60	PEX11A	12466	-0.24415995180606842	0.12004489	No	
row_61	EHHADH	12816	-0.30981048941612244	0.11424214	No	
row_62	PRDX1	12918	-0.3294200301170349	0.12167311	No	
row_63	PHYH	13304	-0.41485896706581116	0.11394933	No	
row_64	HAO2	13390	-0.43560487031936646	0.12223409	No	
row_65	PEX26	13711	-0.5303278565406799	0.117978826	No	
row_66	FAR2	14137	-0.6884316205978394	0.10812058	No	
row_67	ACOX2	14362	-0.8035571575164795	0.108988054	No	
row_68	HACL1	14791	-1.0461704730987549	0.09896971	No	
row_69	SOD2	15237	-1.36318838596344	0.08804423	No	
row_70	PXMP2	15433	-1.5570719242095947	0.0904592	No	
row_71	ACSL6	15726	-1.8753678798675537	0.087698065	No	
row_72	ACSL4	16564	-3.272271156311035	0.055854756	No	
row_73	CRAT	16583	-3.313584804534912	0.06771476	No	
row_74	PECR	16749	-3.7225351333618164	0.07173058	No	
row_75	BAAT	17157	-4.847928524017334	0.06283284	No	
row_76	ABCD2	17455	-6.0807719230651855	0.059804898	No	
row_77	PIPOX	18519	-15.916030883789062	0.015901824	No	
