NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	UGT1A1	95	7.350045204162598	0.021257216	Yes	
row_1	UGT2B28	199	4.702116012573242	0.04208845	Yes	
row_2	UGT1A6	390	3.1548140048980713	0.05828709	Yes	
row_3	CP	1102	1.2150862216949463	0.046743456	Yes	
row_4	UGT1A9	1151	1.1510004997253418	0.07050334	Yes	
row_5	COX15	1499	0.8139299750328064	0.07834202	Yes	
row_6	UGT1A10	2016	0.5269709825515747	0.07718178	Yes	
row_7	ALAS2	3792	0.12168306857347488	0.008982125	Yes	
row_8	UGT2B11	4022	0.1003425121307373	0.023104092	Yes	
row_9	UGT1A4	5094	0.03356368467211723	-0.007608872	Yes	
row_10	UGT1A7	5109	0.032776616513729095	0.017961444	Yes	
row_11	CPOX	5329	0.025238459929823875	0.032615893	Yes	
row_12	UGT2B4	5525	0.01975565031170845	0.048548296	Yes	
row_13	UGT1A5	5527	0.019730031490325928	0.07481084	Yes	
row_14	COX10	5756	0.014596249908208847	0.088986054	Yes	
row_15	HMOX2	6229	0.006800585892051458	0.09016872	Yes	
row_16	FECH	7015	6.111605907790363E-4	0.074684724	Yes	
row_17	UGT1A3	7177	1.800598402041942E-4	0.09242757	Yes	
row_18	EARS2	7289	3.8498194044223055E-5	0.112832814	Yes	
row_19	MMAB	7414	1.8570039950205341E-9	0.13254583	Yes	
row_20	UROD	7474	-1.4884486517985351E-5	0.15571998	Yes	
row_21	GUSB	8498	-0.00574800418689847	0.12756293	Yes	
row_22	HCCS	8583	-0.006826317869126797	0.14940588	Yes	
row_23	FTH1	9587	-0.025871263816952705	0.12231378	Yes	
row_24	UGT1A8	9703	-0.02922743745148182	0.14250603	Yes	
row_25	BLVRB	10594	-0.06692849099636078	0.121430986	Yes	
row_26	ALAS1	10795	-0.0776880532503128	0.13709715	Yes	
row_27	PPOX	10809	-0.07842880487442017	0.16272071	Yes	
row_28	UGT2A3	11226	-0.10686424374580383	0.16688529	Yes	
row_29	UGT2B10	11856	-0.16370926797389984	0.159708	Yes	
row_30	UGT2B7	11973	-0.17733129858970642	0.179847	Yes	
row_31	UGT2B15	12194	-0.2043152153491974	0.1944482	Yes	
row_32	BLVRA	12200	-0.2048640251159668	0.22049774	Yes	
row_33	HMBS	12276	-0.21689051389694214	0.24281992	Yes	
row_34	UROS	12909	-0.32662612199783325	0.2354829	No	
row_35	ALAD	16186	-2.534092903137207	0.0873578	No	
row_36	UGT2A1	17197	-5.027886867523193	0.059892967	No	
row_37	HMOX1	18585	-18.345664978027344	0.012353593	No	
